"year","alter_gr","sex","mean","median","n","lower_confidence","upper_confidence"
"1989","16-34 Jahre alt","maennlich","7.26","7.5","1798","7.16","7.36"
"1989","16-34 Jahre alt","weiblich","7.2","7.5","1705","7.09","7.31"
"1989","35-65 Jahre alt","maennlich","6.99","6.5","2157","6.89","7.09"
"1989","35-65 Jahre alt","weiblich","6.49","6.5","2128","6.38","6.6"
"1989","66 und älter","maennlich","7.44","7.5","334","7.21","7.67"
"1989","66 und älter","weiblich","7.02","6.5","487","6.81","7.23"
"1990","16-34 Jahre alt","maennlich","","","","",""
"1990","16-34 Jahre alt","weiblich","","","","",""
"1990","35-65 Jahre alt","maennlich","","","","",""
"1990","35-65 Jahre alt","weiblich","","","","",""
"1990","66 und älter","maennlich","","","","",""
"1990","66 und älter","weiblich","","","","",""
"1991","16-34 Jahre alt","maennlich","","","","",""
"1991","16-34 Jahre alt","weiblich","","","","",""
"1991","35-65 Jahre alt","maennlich","","","","",""
"1991","35-65 Jahre alt","weiblich","","","","",""
"1991","66 und älter","maennlich","","","","",""
"1991","66 und älter","weiblich","","","","",""
"1992","16-34 Jahre alt","maennlich","","","","",""
"1992","16-34 Jahre alt","weiblich","","","","",""
"1992","35-65 Jahre alt","maennlich","","","","",""
"1992","35-65 Jahre alt","weiblich","","","","",""
"1992","66 und älter","maennlich","","","","",""
"1992","66 und älter","weiblich","","","","",""
"1993","16-34 Jahre alt","maennlich","7.15","6.5","2265","7.06","7.24"
"1993","16-34 Jahre alt","weiblich","7.1","7.5","2234","7","7.2"
"1993","35-65 Jahre alt","maennlich","6.92","6.5","2819","6.84","7"
"1993","35-65 Jahre alt","weiblich","6.54","6.5","2774","6.45","6.63"
"1993","66 und älter","maennlich","7.49","7.5","385","7.27","7.71"
"1993","66 und älter","weiblich","6.75","6.5","616","6.57","6.93"
"1994","16-34 Jahre alt","maennlich","","","","",""
"1994","16-34 Jahre alt","weiblich","","","","",""
"1994","35-65 Jahre alt","maennlich","","","","",""
"1994","35-65 Jahre alt","weiblich","","","","",""
"1994","66 und älter","maennlich","","","","",""
"1994","66 und älter","weiblich","","","","",""
"1995","16-34 Jahre alt","maennlich","","","","",""
"1995","16-34 Jahre alt","weiblich","","","","",""
"1995","35-65 Jahre alt","maennlich","","","","",""
"1995","35-65 Jahre alt","weiblich","","","","",""
"1995","66 und älter","maennlich","","","","",""
"1995","66 und älter","weiblich","","","","",""
"1996","16-34 Jahre alt","maennlich","","","","",""
"1996","16-34 Jahre alt","weiblich","","","","",""
"1996","35-65 Jahre alt","maennlich","","","","",""
"1996","35-65 Jahre alt","weiblich","","","","",""
"1996","66 und älter","maennlich","","","","",""
"1996","66 und älter","weiblich","","","","",""
"1997","16-34 Jahre alt","maennlich","","","","",""
"1997","16-34 Jahre alt","weiblich","","","","",""
"1997","35-65 Jahre alt","maennlich","","","","",""
