"year","regtyp","sex","mean","median","n","lower_confidence","upper_confidence"
"1989","Laendlicher Raum","männlich","7.15","7.5","884","7.01","7.29"
"1989","Laendlicher Raum","weiblich","6.8","6.5","880","6.64","6.96"
"1989","Staedtischer Raum","männlich","7.15","6.5","3405","7.07","7.23"
"1989","Staedtischer Raum","weiblich","6.84","6.5","3440","6.76","6.92"
"1990","Laendlicher Raum","männlich","","","","",""
"1990","Laendlicher Raum","weiblich","","","","",""
"1990","Staedtischer Raum","männlich","","","","",""
"1990","Staedtischer Raum","weiblich","","","","",""
"1991","Laendlicher Raum","männlich","","","","",""
"1991","Laendlicher Raum","weiblich","","","","",""
"1991","Staedtischer Raum","männlich","","","","",""
"1991","Staedtischer Raum","weiblich","","","","",""
"1992","Laendlicher Raum","männlich","","","","",""
"1992","Laendlicher Raum","weiblich","","","","",""
"1992","Staedtischer Raum","männlich","","","","",""
"1992","Staedtischer Raum","weiblich","","","","",""
"1993","Laendlicher Raum","männlich","6.97","6.5","1838","6.87","7.07"
"1993","Laendlicher Raum","weiblich","6.67","6.5","1887","6.57","6.77"
"1993","Staedtischer Raum","männlich","7.11","7.5","3631","7.04","7.18"
"1993","Staedtischer Raum","weiblich","6.81","6.5","3737","6.73","6.89"
"1994","Laendlicher Raum","männlich","","","","",""
"1994","Laendlicher Raum","weiblich","","","","",""
"1994","Staedtischer Raum","männlich","","","","",""
"1994","Staedtischer Raum","weiblich","","","","",""
"1995","Laendlicher Raum","männlich","","","","",""
"1995","Laendlicher Raum","weiblich","","","","",""
"1995","Staedtischer Raum","männlich","","","","",""
"1995","Staedtischer Raum","weiblich","","","","",""
"1996","Laendlicher Raum","männlich","","","","",""
"1996","Laendlicher Raum","weiblich","","","","",""
"1996","Staedtischer Raum","männlich","","","","",""
"1996","Staedtischer Raum","weiblich","","","","",""
"1997","Laendlicher Raum","männlich","","","","",""
"1997","Laendlicher Raum","weiblich","","","","",""
"1997","Staedtischer Raum","männlich","","","","",""
"1997","Staedtischer Raum","weiblich","","","","",""
"1998","Laendlicher Raum","männlich","","","","",""
"1998","Laendlicher Raum","weiblich","","","","",""
"1998","Staedtischer Raum","männlich","","","","",""
"1998","Staedtischer Raum","weiblich","","","","",""
"1999","Laendlicher Raum","männlich","","","","",""
"1999","Laendlicher Raum","weiblich","","","","",""
"1999","Staedtischer Raum","männlich","","","","",""
"1999","Staedtischer Raum","weiblich","","","","",""
"2000","Laendlicher Raum","männlich","7.12","6.5","3737","7.06","7.18"
"2000","Laendlicher Raum","weiblich","6.98","6.5","3897","6.91","7.05"
