"year","migback","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1989","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"1989","direkter Migrationshintergrund","Westdeutschland","6.2","5.5","2227","6.09","6.31"
"1989","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"1989","indirekter Migrationshintergrund","Westdeutschland","7.53","7.5","235","7.24","7.82"
"1989","kein Migrationshintergrund","Ostdeutschland","","","","",""
"1989","kein Migrationshintergrund","Westdeutschland","7.07","6.5","6147","7.02","7.12"
"1990","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"1990","direkter Migrationshintergrund","Westdeutschland","","","","",""
"1990","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"1990","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"1990","kein Migrationshintergrund","Ostdeutschland","","","","",""
"1990","kein Migrationshintergrund","Westdeutschland","","","","",""
"1991","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"1991","direkter Migrationshintergrund","Westdeutschland","","","","",""
"1991","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"1991","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"1991","kein Migrationshintergrund","Ostdeutschland","","","","",""
"1991","kein Migrationshintergrund","Westdeutschland","","","","",""
"1992","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"1992","direkter Migrationshintergrund","Westdeutschland","","","","",""
"1992","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"1992","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"1992","kein Migrationshintergrund","Ostdeutschland","","","","",""
"1992","kein Migrationshintergrund","Westdeutschland","","","","",""
"1993","direkter Migrationshintergrund","Ostdeutschland","6.51","5.5","96","6.04","6.98"
"1993","direkter Migrationshintergrund","Westdeutschland","6.07","5.5","1925","5.95","6.19"
"1993","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"1993","indirekter Migrationshintergrund","Westdeutschland","6.95","6.5","415","6.73","7.17"
"1993","kein Migrationshintergrund","Ostdeutschland","6.8","6.5","2953","6.72","6.88"
"1993","kein Migrationshintergrund","Westdeutschland","7.07","6.5","5691","7.01","7.13"
"1994","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"1994","direkter Migrationshintergrund","Westdeutschland","","","","",""
"1994","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"1994","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"1994","kein Migrationshintergrund","Ostdeutschland","","","","",""
"1994","kein Migrationshintergrund","Westdeutschland","","","","",""
"1995","direkter Migrationshintergrund","Ostdeutschland","","","","",""
"1995","direkter Migrationshintergrund","Westdeutschland","","","","",""
"1995","indirekter Migrationshintergrund","Ostdeutschland","","","","",""
"1995","indirekter Migrationshintergrund","Westdeutschland","","","","",""
"1995","kein Migrationshintergrund","Ostdeutschland","","","","",""
