"year","bildungsniveau","mean","median","n","lower_confidence","upper_confidence"
"1989","(Fach-)Abitur","7.64","7.5","708","7.49","7.79"
"1989","(noch) kein Abschluss","6.24","6.5","763","6.04","6.44"
"1989","AkademikerIn","8.46","8.5","664","8.33","8.59"
"1989","Hauptschule","6.56","6.5","4761","6.49","6.63"
"1989","Realschule","7.43","7.5","1551","7.34","7.52"
"1990","(Fach-)Abitur","","","","",""
"1990","(noch) kein Abschluss","","","","",""
"1990","AkademikerIn","","","","",""
"1990","Hauptschule","","","","",""
"1990","Realschule","","","","",""
"1991","(Fach-)Abitur","","","","",""
"1991","(noch) kein Abschluss","","","","",""
"1991","AkademikerIn","","","","",""
"1991","Hauptschule","","","","",""
"1991","Realschule","","","","",""
"1992","(Fach-)Abitur","","","","",""
"1992","(noch) kein Abschluss","","","","",""
"1992","AkademikerIn","","","","",""
"1992","Hauptschule","","","","",""
"1992","Realschule","","","","",""
"1993","(Fach-)Abitur","7.64","7.5","843","7.51","7.77"
"1993","(noch) kein Abschluss","5.83","5.5","677","5.62","6.04"
"1993","AkademikerIn","8.12","7.5","1458","8.03","8.21"
"1993","Hauptschule","6.44","6.5","5089","6.38","6.5"
"1993","Realschule","7.16","6.5","2786","7.09","7.23"
"1994","(Fach-)Abitur","","","","",""
"1994","(noch) kein Abschluss","","","","",""
"1994","AkademikerIn","","","","",""
"1994","Hauptschule","","","","",""
"1994","Realschule","","","","",""
"1995","(Fach-)Abitur","","","","",""
"1995","(noch) kein Abschluss","","","","",""
"1995","AkademikerIn","","","","",""
"1995","Hauptschule","","","","",""
"1995","Realschule","","","","",""
"1996","(Fach-)Abitur","","","","",""
"1996","(noch) kein Abschluss","","","","",""
"1996","AkademikerIn","","","","",""
"1996","Hauptschule","","","","",""
"1996","Realschule","","","","",""
"1997","(Fach-)Abitur","","","","",""
"1997","(noch) kein Abschluss","","","","",""
"1997","AkademikerIn","","","","",""
"1997","Hauptschule","","","","",""
"1997","Realschule","","","","",""
"1998","(Fach-)Abitur","","","","",""
"1998","(noch) kein Abschluss","","","","",""
"1998","AkademikerIn","","","","",""
"1998","Hauptschule","","","","",""
"1998","Realschule","","","","",""
"1999","(Fach-)Abitur","","","","",""
"1999","(noch) kein Abschluss","","","","",""
"1999","AkademikerIn","","","","",""
"1999","Hauptschule","","","","",""
"1999","Realschule","","","","",""
"2000","(Fach-)Abitur","7.68","7.5","2275","7.6","7.76"
"2000","(noch) kein Abschluss","5.93","5.5","863","5.75","6.11"
"2000","AkademikerIn","8.22","7.5","3583","8.17","8.27"
"2000","Hauptschule","6.46","6.5","9615","6.42","6.5"
"2000","Realschule","7.27","7.5","5836","7.22","7.32"
"2001","(Fach-)Abitur","","","","",""
"2001","(noch) kein Abschluss","","","","",""
"2001","AkademikerIn","","","","",""
"2001","Hauptschule","","","","",""
"2001","Realschule","","","","",""
"2002","(Fach-)Abitur","","","","",""
"2002","(noch) kein Abschluss","","","","",""
"2002","AkademikerIn","","","","",""
"2002","Hauptschule","","","","",""
"2002","Realschule","","","","",""
"2003","(Fach-)Abitur","","","","",""
"2003","(noch) kein Abschluss","","","","",""
"2003","AkademikerIn","","","","",""
"2003","Hauptschule","","","","",""
"2003","Realschule","","","","",""
"2004","(Fach-)Abitur","7.34","7.5","2317","7.27","7.41"
"2004","(noch) kein Abschluss","5.86","5.5","854","5.69","6.03"
"2004","AkademikerIn","8.16","7.5","4079","8.11","8.21"
"2004","Hauptschule","6.21","5.5","7242","6.16","6.26"
"2004","Realschule","7.02","6.5","5275","6.97","7.07"
"2005","(Fach-)Abitur","","","","",""
"2005","(noch) kein Abschluss","","","","",""
"2005","AkademikerIn","","","","",""
"2005","Hauptschule","","","","",""
"2005","Realschule","","","","",""
"2006","(Fach-)Abitur","","","","",""
"2006","(noch) kein Abschluss","","","","",""
"2006","AkademikerIn","","","","",""
"2006","Hauptschule","","","","",""
"2006","Realschule","","","","",""
"2007","(Fach-)Abitur","","","","",""
"2007","(noch) kein Abschluss","","","","",""
"2007","AkademikerIn","","","","",""
"2007","Hauptschule","","","","",""
"2007","Realschule","","","","",""
"2008","(Fach-)Abitur","7.47","7.5","2100","7.39","7.55"
"2008","(noch) kein Abschluss","5.89","5.5","512","5.66","6.12"
"2008","AkademikerIn","8.4","8.5","4010","8.36","8.44"
"2008","Hauptschule","6.39","6.5","5963","6.34","6.44"
"2008","Realschule","7.2","7.5","4785","7.15","7.25"
"2009","(Fach-)Abitur","","","","",""
"2009","(noch) kein Abschluss","","","","",""
"2009","AkademikerIn","","","","",""
"2009","Hauptschule","","","","",""
"2009","Realschule","","","","",""
"2010","(Fach-)Abitur","","","","",""
"2010","(noch) kein Abschluss","","","","",""
"2010","AkademikerIn","","","","",""
"2010","Hauptschule","","","","",""
"2010","Realschule","","","","",""
"2011","(Fach-)Abitur","","","","",""
"2011","(noch) kein Abschluss","","","","",""
"2011","AkademikerIn","","","","",""
