"year","sampreg","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1989","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"1989","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"1989","Westdeutschland","maennlich","7.15","6.5","4289","5","6","9","10","10","7.08","7.22","0","10","7","7"
"1989","Westdeutschland","weiblich","6.83","6.5","4320","4","5","8","10","10","6.76","6.9","0","10","7","7"
"1990","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"1990","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"1990","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"1990","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"1991","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"1991","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"1991","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"1991","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"1992","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"1992","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"1992","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"1992","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"1993","Ostdeutschland","maennlich","6.89","6.5","1485","5","5","8","9","10","6.79","6.99","0","10","7","7"
"1993","Ostdeutschland","weiblich","6.69","6.5","1577","4","5","8","10","10","6.58","6.8","0","10","7","7"
"1993","Westdeutschland","maennlich","7.11","6.5","3984","4","6","9","10","10","7.04","7.18","0","10","7","7"
"1993","Westdeutschland","weiblich","6.78","6.5","4047","4","5","8","10","10","6.7","6.86","0","10","7","7"
"1994","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"1994","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"1994","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"1994","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"1995","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"1995","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"1995","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"1995","Westdeutschland","weiblich","","","","","","","","","","","","","",""
