"year","alter_gr","bildungsniveau","mean","median","n","lower_confidence","upper_confidence"
"1989","16-34 Jahre alt","(Fach-)Abitur","7.61","8","488","7.43","7.79"
"1989","16-34 Jahre alt","(noch) kein Abschluss","7.03","7","323","6.75","7.31"
"1989","16-34 Jahre alt","AkademikerInnen","","","","",""
"1989","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1989","16-34 Jahre alt","Realschulabschluss","7.54","8","864","7.41","7.67"
"1989","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1989","35-65 Jahre alt","(noch) kein Abschluss","4.66","5","438","4.4","4.92"
"1989","35-65 Jahre alt","AkademikerInnen","8.37","9","413","8.22","8.52"
"1989","35-65 Jahre alt","Hauptschulabschluss","","","","",""
"1989","35-65 Jahre alt","Realschulabschluss","7.1","7","557","6.94","7.26"
"1989","66 und Ã¤lter","(Fach-)Abitur","8.29","8","42","7.67","8.91"
"1989","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1989","66 und Ã¤lter","AkademikerInnen","8.97","9.86","54","8.6","9.34"
"1989","66 und Ã¤lter","Hauptschulabschluss","6.77","7","590","6.59","6.95"
"1989","66 und Ã¤lter","Realschulabschluss","","","","",""
"1990","16-34 Jahre alt","(Fach-)Abitur","","","","",""
"1990","16-34 Jahre alt","(noch) kein Abschluss","","","","",""
"1990","16-34 Jahre alt","AkademikerInnen","","","","",""
"1990","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1990","16-34 Jahre alt","Realschulabschluss","","","","",""
"1990","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1990","35-65 Jahre alt","(noch) kein Abschluss","","","","",""
"1990","35-65 Jahre alt","AkademikerInnen","","","","",""
"1990","35-65 Jahre alt","Hauptschulabschluss","","","","",""
"1990","35-65 Jahre alt","Realschulabschluss","","","","",""
"1990","66 und Ã¤lter","(Fach-)Abitur","","","","",""
"1990","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1990","66 und Ã¤lter","AkademikerInnen","","","","",""
"1990","66 und Ã¤lter","Hauptschulabschluss","","","","",""
"1990","66 und Ã¤lter","Realschulabschluss","","","","",""
"1991","16-34 Jahre alt","(Fach-)Abitur","","","","",""
"1991","16-34 Jahre alt","(noch) kein Abschluss","","","","",""
"1991","16-34 Jahre alt","AkademikerInnen","","","","",""
"1991","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1991","16-34 Jahre alt","Realschulabschluss","","","","",""
"1991","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1991","35-65 Jahre alt","(noch) kein Abschluss","","","","",""
"1991","35-65 Jahre alt","AkademikerInnen","","","","",""
"1991","35-65 Jahre alt","Hauptschulabschluss","","","","",""
"1991","35-65 Jahre alt","Realschulabschluss","","","","",""
"1991","66 und Ã¤lter","(Fach-)Abitur","","","","",""
"1991","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
