year,quintil_oecd_hh,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,1st Quintile,Much Too Small,0.03116,37,936,0.02003,0.04230
1987,1st Quintile,A Bit Too Small,0.12645,168,936,0.10515,0.14776
1987,1st Quintile,Just Right,0.76089,683,936,0.73355,0.78823
1987,1st Quintile,A Bit Too Large,0.06703,48,936,0.05100,0.08305
1987,2nd Quintile,A Bit Too Small,0.10089,135,971,0.08194,0.11985
1987,2nd Quintile,Just Right,0.80515,780,971,0.78022,0.83008
1987,2nd Quintile,A Bit Too Large,0.07065,56,971,0.05453,0.08678
1987,3rd Quintile,A Bit Too Small,0.10819,141,993,0.08886,0.12752
1987,3rd Quintile,Just Right,0.79303,798,993,0.76782,0.81824
1987,3rd Quintile,A Bit Too Large,0.06364,54,993,0.04845,0.07883
1987,4th Quintile,A Bit Too Small,0.11452,130,991,0.09469,0.13436
1987,4th Quintile,Just Right,0.77148,787,991,0.74532,0.79763
1987,4th Quintile,A Bit Too Large,0.08424,74,991,0.06693,0.10154
1987,5th Quintile,A Bit Too Small,0.09132,91,924,0.07274,0.10990
1987,5th Quintile,Just Right,0.76152,736,924,0.73403,0.78901
1987,5th Quintile,A Bit Too Large,0.12351,97,924,0.10229,0.14474
1988,1st Quintile,Much Too Small,0.02262,33,933,0.01307,0.03217
1988,1st Quintile,A Bit Too Small,0.12853,159,933,0.10705,0.15002
1988,1st Quintile,Just Right,0.78380,703,933,0.75737,0.81023
1988,1st Quintile,A Bit Too Large,0.05578,38,933,0.04104,0.07051
1988,2nd Quintile,Much Too Small,0.01867,31,958,0.01010,0.02725
1988,2nd Quintile,A Bit Too Small,0.09562,122,958,0.07698,0.11425
1988,2nd Quintile,Just Right,0.81096,753,958,0.78615,0.83577
1988,2nd Quintile,A Bit Too Large,0.06369,52,958,0.04821,0.07916
1988,3rd Quintile,A Bit Too Small,0.11816,138,950,0.09762,0.13870
1988,3rd Quintile,Just Right,0.78110,760,950,0.75479,0.80741
1988,3rd Quintile,A Bit Too Large,0.06781,52,950,0.05181,0.08380
1988,4th Quintile,A Bit Too Small,0.08690,97,944,0.06892,0.10488
1988,4th Quintile,Just Right,0.77508,763,944,0.74843,0.80173
1988,4th Quintile,A Bit Too Large,0.10452,84,944,0.08499,0.12405
1988,5th Quintile,A Bit Too Small,0.10341,97,874,0.08321,0.12361
1988,5th Quintile,Just Right,0.76645,688,874,0.73838,0.79452
1988,5th Quintile,A Bit Too Large,0.11238,89,874,0.09143,0.13333
1989,1st Quintile,Much Too Small,0.02543,35,901,0.01515,0.03572
1989,1st Quintile,A Bit Too Small,0.11387,150,901,0.09312,0.13462
1989,1st Quintile,Just Right,0.79616,682,901,0.76984,0.82248
1989,1st Quintile,A Bit Too Large,0.04867,34,901,0.03461,0.06273
1989,2nd Quintile,A Bit Too Small,0.11877,141,948,0.09817,0.13938
1989,2nd Quintile,Just Right,0.79767,755,948,0.77208,0.82326
1989,2nd Quintile,A Bit Too Large,0.06113,52,948,0.04587,0.07639
1989,3rd Quintile,A Bit Too Small,0.09668,115,916,0.07753,0.11583
1989,3rd Quintile,Just Right,0.79030,741,916,0.76393,0.81668
1989,3rd Quintile,A Bit Too Large,0.07524,60,916,0.05815,0.09233
1989,4th Quintile,A Bit Too Small,0.09919,96,916,0.07982,0.11856
1989,4th Quintile,Just Right,0.76603,740,916,0.73860,0.79346
1989,4th Quintile,A Bit Too Large,0.10777,80,916,0.08768,0.12786
1989,5th Quintile,A Bit Too Small,0.09989,90,833,0.07952,0.12027
1989,5th Quintile,Just Right,0.76742,654,833,0.73871,0.79613
1989,5th Quintile,A Bit Too Large,0.11281,89,833,0.09132,0.13431
1990,1st Quintile,Much Too Small,0.05836,152,2172,0.04850,0.06822
1990,1st Quintile,A Bit Too Small,0.21142,528,2172,0.19424,0.22860
1990,1st Quintile,Just Right,0.66913,1404,2172,0.64933,0.68892
1990,1st Quintile,A Bit Too Large,0.04832,88,2172,0.03930,0.05734
1990,2nd Quintile,Much Too Small,0.01890,38,1146,0.01101,0.02678
1990,2nd Quintile,A Bit Too Small,0.12745,181,1146,0.10814,0.14677
1990,2nd Quintile,Just Right,0.78161,875,1146,0.75768,0.80554
1990,2nd Quintile,A Bit Too Large,0.05680,52,1146,0.04339,0.07020
1990,3rd Quintile,Much Too Small,0.02014,32,1156,0.01204,0.02825
1990,3rd Quintile,A Bit Too Small,0.09749,145,1156,0.08038,0.11459
1990,3rd Quintile,Just Right,0.80540,917,1156,0.78256,0.82823
1990,3rd Quintile,A Bit Too Large,0.06517,62,1156,0.05094,0.07941
1990,4th Quintile,A Bit Too Small,0.11355,142,1109,0.09487,0.13223
1990,4th Quintile,Just Right,0.77192,885,1109,0.74721,0.79663
1990,4th Quintile,A Bit Too Large,0.08400,82,1109,0.06767,0.10034
1990,5th Quintile,A Bit Too Small,0.08836,95,1039,0.07109,0.10562
1990,5th Quintile,Just Right,0.78654,847,1039,0.76161,0.81147
1990,5th Quintile,A Bit Too Large,0.09892,97,1039,0.08076,0.11708
1991,1st Quintile,Much Too Small,0.04281,98,2016,0.03397,0.05165
1991,1st Quintile,A Bit Too Small,0.18264,428,2016,0.16577,0.19951
1991,1st Quintile,Just Right,0.69465,1386,2016,0.67454,0.71476
1991,1st Quintile,A Bit Too Large,0.05748,104,2016,0.04732,0.06765
1991,2nd Quintile,Much Too Small,0.02898,65,1116,0.01913,0.03883
1991,2nd Quintile,A Bit Too Small,0.15171,209,1116,0.13065,0.17277
1991,2nd Quintile,Just Right,0.73505,792,1116,0.70915,0.76095
1991,2nd Quintile,A Bit Too Large,0.05932,50,1116,0.04546,0.07319
1991,3rd Quintile,Much Too Small,0.01998,48,1146,0.01187,0.02808
1991,3rd Quintile,A Bit Too Small,0.15281,223,1146,0.13197,0.17365
1991,3rd Quintile,Just Right,0.72735,816,1146,0.70155,0.75314
1991,3rd Quintile,A Bit Too Large,0.06810,59,1146,0.05351,0.08270
1991,4th Quintile,A Bit Too Small,0.14197,189,1121,0.12153,0.16241
1991,4th Quintile,Just Right,0.72341,852,1121,0.69721,0.74961
1991,4th Quintile,A Bit Too Large,0.08647,80,1121,0.07001,0.10293
1991,5th Quintile,A Bit Too Small,0.14625,163,1009,0.12444,0.16807
1991,5th Quintile,Just Right,0.67628,733,1009,0.64739,0.70516
1991,5th Quintile,A Bit Too Large,0.11807,113,1009,0.09815,0.13799
1992,1st Quintile,Much Too Small,0.02521,53,1369,0.01691,0.03352
1992,1st Quintile,A Bit Too Small,0.14701,248,1369,0.12824,0.16577
1992,1st Quintile,Just Right,0.74931,995,1369,0.72634,0.77228
1992,1st Quintile,A Bit Too Large,0.05232,73,1369,0.04052,0.06412
1992,2nd Quintile,Much Too Small,0.03136,86,1462,0.02242,0.04030
1992,2nd Quintile,A Bit Too Small,0.17367,312,1462,0.15425,0.19310
1992,2nd Quintile,Just Right,0.70011,979,1462,0.67662,0.72361
1992,2nd Quintile,A Bit Too Large,0.07647,85,1462,0.06284,0.09009
1992,3rd Quintile,Much Too Small,0.03227,62,1312,0.02270,0.04183
1992,3rd Quintile,A Bit Too Small,0.17240,281,1312,0.15195,0.19284
1992,3rd Quintile,Just Right,0.69912,890,1312,0.67429,0.72395
1992,3rd Quintile,A Bit Too Large,0.07206,79,1312,0.05806,0.08606
1992,4th Quintile,Much Too Small,0.02135,35,1250,0.01334,0.02937
1992,4th Quintile,A Bit Too Small,0.16235,225,1250,0.14190,0.18280
1992,4th Quintile,Just Right,0.71245,896,1250,0.68734,0.73755
1992,4th Quintile,A Bit Too Large,0.08823,94,1250,0.07250,0.10396
1992,5th Quintile,A Bit Too Small,0.12375,157,1042,0.10375,0.14376
1992,5th Quintile,Just Right,0.71089,778,1042,0.68335,0.73843
1992,5th Quintile,A Bit Too Large,0.11434,107,1042,0.09501,0.13367
1993,1st Quintile,Much Too Small,0.02838,55,1281,0.01928,0.03748
1993,1st Quintile,A Bit Too Small,0.15424,251,1281,0.13446,0.17403
1993,1st Quintile,Just Right,0.73228,899,1281,0.70803,0.75654
1993,1st Quintile,A Bit Too Large,0.05968,76,1281,0.04670,0.07266
1993,2nd Quintile,Much Too Small,0.03732,82,1452,0.02757,0.04707
1993,2nd Quintile,A Bit Too Small,0.16625,292,1452,0.14709,0.18540
1993,2nd Quintile,Just Right,0.69495,988,1452,0.67126,0.71864
1993,2nd Quintile,A Bit Too Large,0.07242,90,1452,0.05909,0.08576
1993,3rd Quintile,Much Too Small,0.02030,49,1363,0.01281,0.02779
1993,3rd Quintile,A Bit Too Small,0.15941,251,1363,0.13997,0.17885
1993,3rd Quintile,Just Right,0.72697,967,1363,0.70331,0.75063
1993,3rd Quintile,A Bit Too Large,0.07808,96,1363,0.06383,0.09233
1993,4th Quintile,A Bit Too Small,0.15709,224,1223,0.13669,0.17750
1993,4th Quintile,Just Right,0.70668,901,1223,0.68116,0.73221
1993,4th Quintile,A Bit Too Large,0.08896,98,1223,0.07300,0.10492
1993,5th Quintile,A Bit Too Small,0.14710,181,1042,0.12558,0.16862
1993,5th Quintile,Just Right,0.67874,752,1042,0.65037,0.70711
1993,5th Quintile,A Bit Too Large,0.12163,109,1042,0.10178,0.14149
1994,1st Quintile,Much Too Small,0.03078,72,1291,0.02136,0.04021
1994,1st Quintile,A Bit Too Small,0.14397,238,1291,0.12481,0.16312
1994,1st Quintile,Just Right,0.72152,893,1291,0.69706,0.74599
1994,1st Quintile,A Bit Too Large,0.07830,88,1291,0.06364,0.09296
1994,2nd Quintile,Much Too Small,0.02906,60,1376,0.02018,0.03794
1994,2nd Quintile,A Bit Too Small,0.15973,263,1376,0.14036,0.17909
1994,2nd Quintile,Just Right,0.72055,978,1376,0.69683,0.74427
1994,2nd Quintile,A Bit Too Large,0.05976,75,1376,0.04723,0.07229
1994,3rd Quintile,Much Too Small,0.02093,50,1327,0.01322,0.02863
1994,3rd Quintile,A Bit Too Small,0.16769,249,1327,0.14758,0.18780
1994,3rd Quintile,Just Right,0.71040,943,1327,0.68599,0.73481
1994,3rd Quintile,A Bit Too Large,0.06933,85,1327,0.05566,0.08301
1994,4th Quintile,A Bit Too Small,0.14671,209,1180,0.12651,0.16691
1994,4th Quintile,Just Right,0.70694,876,1180,0.68096,0.73292
1994,4th Quintile,A Bit Too Large,0.08915,95,1180,0.07288,0.10542
1994,5th Quintile,A Bit Too Small,0.13220,162,1079,0.11198,0.15242
1994,5th Quintile,Just Right,0.67920,783,1079,0.65134,0.70707
1994,5th Quintile,A Bit Too Large,0.14378,134,1079,0.12283,0.16472
1995,1st Quintile,Much Too Small,0.04191,81,1374,0.03131,0.05251
1995,1st Quintile,A Bit Too Small,0.18805,308,1374,0.16738,0.20872
1995,1st Quintile,Just Right,0.68384,912,1374,0.65925,0.70844
1995,1st Quintile,A Bit Too Large,0.07052,73,1374,0.05698,0.08406
1995,2nd Quintile,Much Too Small,0.02148,57,1441,0.01399,0.02897
1995,2nd Quintile,A Bit Too Small,0.16725,288,1441,0.14797,0.18652
1995,2nd Quintile,Just Right,0.71064,1006,1441,0.68722,0.73406
1995,2nd Quintile,A Bit Too Large,0.07780,90,1441,0.06396,0.09163
1995,3rd Quintile,Much Too Small,0.02085,43,1381,0.01331,0.02839
1995,3rd Quintile,A Bit Too Small,0.16043,257,1381,0.14107,0.17979
1995,3rd Quintile,Just Right,0.70932,974,1381,0.68536,0.73328
1995,3rd Quintile,A Bit Too Large,0.08928,107,1381,0.07423,0.10432
1995,4th Quintile,A Bit Too Small,0.12516,176,1228,0.10665,0.14368
1995,4th Quintile,Just Right,0.73179,933,1228,0.70700,0.75658
1995,4th Quintile,A Bit Too Large,0.10717,119,1228,0.08986,0.12448
1995,5th Quintile,A Bit Too Small,0.12278,148,1093,0.10331,0.14225
1995,5th Quintile,Just Right,0.70061,813,1093,0.67344,0.72777
1995,5th Quintile,A Bit Too Large,0.13505,132,1093,0.11477,0.15532
1996,1st Quintile,Much Too Small,0.03875,84,1386,0.02859,0.04892
1996,1st Quintile,A Bit Too Small,0.14915,259,1386,0.13039,0.16792
1996,1st Quintile,Just Right,0.70882,962,1386,0.68489,0.73275
1996,1st Quintile,A Bit Too Large,0.08179,81,1386,0.06736,0.09623
1996,2nd Quintile,Much Too Small,0.01870,48,1372,0.01153,0.02587
1996,2nd Quintile,A Bit Too Small,0.16982,285,1372,0.14994,0.18969
1996,2nd Quintile,Just Right,0.70674,948,1372,0.68264,0.73084
1996,2nd Quintile,A Bit Too Large,0.07787,91,1372,0.06368,0.09205
1996,3rd Quintile,A Bit Too Small,0.16630,239,1347,0.14641,0.18619
1996,3rd Quintile,Just Right,0.69989,990,1347,0.67541,0.72438
1996,3rd Quintile,A Bit Too Large,0.10089,118,1347,0.08480,0.11699
1996,4th Quintile,A Bit Too Small,0.14704,198,1267,0.12753,0.16655
1996,4th Quintile,Just Right,0.71978,953,1267,0.69504,0.74452
1996,4th Quintile,A Bit Too Large,0.11353,116,1267,0.09606,0.13101
1996,5th Quintile,A Bit Too Small,0.12263,156,1076,0.10302,0.14224
1996,5th Quintile,Just Right,0.68872,782,1076,0.66104,0.71640
1996,5th Quintile,A Bit Too Large,0.15282,138,1076,0.13131,0.17433
1997,1st Quintile,Much Too Small,0.02001,51,1320,0.01245,0.02756
1997,1st Quintile,A Bit Too Small,0.18794,285,1320,0.16685,0.20902
1997,1st Quintile,Just Right,0.68402,912,1320,0.65893,0.70911
1997,1st Quintile,A Bit Too Large,0.08778,72,1320,0.07251,0.10305
1997,2nd Quintile,Much Too Small,0.02815,41,1401,0.01948,0.03681
1997,2nd Quintile,A Bit Too Small,0.15599,244,1401,0.13698,0.17499
1997,2nd Quintile,Just Right,0.72601,1022,1401,0.70265,0.74937
1997,2nd Quintile,A Bit Too Large,0.08008,94,1401,0.06587,0.09430
1997,3rd Quintile,Much Too Small,0.01565,31,1379,0.00909,0.02220
1997,3rd Quintile,A Bit Too Small,0.13963,216,1379,0.12133,0.15793
1997,3rd Quintile,Just Right,0.73437,1023,1379,0.71105,0.75769
1997,3rd Quintile,A Bit Too Large,0.10303,109,1379,0.08698,0.11908
1997,4th Quintile,A Bit Too Small,0.16308,217,1252,0.14260,0.18355
1997,4th Quintile,Just Right,0.70701,920,1252,0.68179,0.73223
1997,4th Quintile,A Bit Too Large,0.09693,115,1252,0.08053,0.11332
1997,5th Quintile,A Bit Too Small,0.13026,156,1072,0.11011,0.15042
1997,5th Quintile,Just Right,0.68545,786,1072,0.65764,0.71326
1997,5th Quintile,A Bit Too Large,0.15275,130,1072,0.13121,0.17430
1998,1st Quintile,Much Too Small,0.04096,84,1454,0.03077,0.05115
1998,1st Quintile,A Bit Too Small,0.18700,287,1454,0.16695,0.20705
1998,1st Quintile,Just Right,0.67917,1013,1454,0.65517,0.70318
1998,1st Quintile,A Bit Too Large,0.05631,70,1454,0.04445,0.06816
1998,2nd Quintile,Much Too Small,0.02877,44,1526,0.02038,0.03715
1998,2nd Quintile,A Bit Too Small,0.15084,273,1526,0.13288,0.16881
1998,2nd Quintile,Just Right,0.69360,1083,1526,0.67046,0.71674
1998,2nd Quintile,A Bit Too Large,0.09058,126,1526,0.07617,0.10499
1998,3rd Quintile,A Bit Too Small,0.13556,231,1468,0.11804,0.15307
1998,3rd Quintile,Just Right,0.71563,1095,1468,0.69255,0.73872
1998,3rd Quintile,A Bit Too Large,0.10740,142,1468,0.09155,0.12324
1998,4th Quintile,A Bit Too Small,0.12785,206,1441,0.11061,0.14510
1998,4th Quintile,Just Right,0.71886,1079,1441,0.69564,0.74208
1998,4th Quintile,A Bit Too Large,0.11718,156,1441,0.10056,0.13379
1998,5th Quintile,A Bit Too Small,0.11182,153,1252,0.09436,0.12929
1998,5th Quintile,Just Right,0.68636,921,1252,0.66065,0.71207
1998,5th Quintile,A Bit Too Large,0.16081,178,1252,0.14046,0.18117
1999,1st Quintile,Much Too Small,0.02878,56,1490,0.02029,0.03727
1999,1st Quintile,A Bit Too Small,0.16235,256,1490,0.14361,0.18108
1999,1st Quintile,Just Right,0.74255,1105,1490,0.72034,0.76476
1999,1st Quintile,A Bit Too Large,0.05729,73,1490,0.04548,0.06909
1999,2nd Quintile,Much Too Small,0.02032,37,1510,0.01320,0.02744
1999,2nd Quintile,A Bit Too Small,0.17298,281,1510,0.15390,0.19206
1999,2nd Quintile,Just Right,0.71606,1085,1510,0.69331,0.73881
1999,2nd Quintile,A Bit Too Large,0.08103,107,1510,0.06726,0.09480
1999,3rd Quintile,A Bit Too Small,0.13326,225,1452,0.11577,0.15074
1999,3rd Quintile,Just Right,0.75727,1112,1452,0.73521,0.77933
1999,3rd Quintile,A Bit Too Large,0.08667,115,1452,0.07219,0.10115
1999,4th Quintile,A Bit Too Small,0.14826,214,1358,0.12935,0.16716
1999,4th Quintile,Just Right,0.72407,1014,1358,0.70029,0.74785
1999,4th Quintile,A Bit Too Large,0.11123,130,1358,0.09450,0.12796
1999,5th Quintile,A Bit Too Small,0.11290,141,1203,0.09501,0.13079
1999,5th Quintile,Just Right,0.69640,880,1203,0.67041,0.72240
1999,5th Quintile,A Bit Too Large,0.16197,182,1203,0.14114,0.18280
2000,1st Quintile,Much Too Small,0.02861,87,2519,0.02210,0.03512
2000,1st Quintile,A Bit Too Small,0.16824,445,2519,0.15362,0.18285
2000,1st Quintile,Just Right,0.72776,1851,2519,0.71037,0.74515
2000,1st Quintile,A Bit Too Large,0.05747,136,2519,0.04838,0.06657
2000,2nd Quintile,Much Too Small,0.01699,50,2684,0.01210,0.02188
2000,2nd Quintile,A Bit Too Small,0.15235,434,2684,0.13875,0.16595
2000,2nd Quintile,Just Right,0.74628,2020,2684,0.72982,0.76275
2000,2nd Quintile,A Bit Too Large,0.07493,180,2684,0.06497,0.08490
2000,3rd Quintile,Much Too Small,0.01377,35,2613,0.00930,0.01824
2000,3rd Quintile,A Bit Too Small,0.12862,361,2613,0.11578,0.14146
2000,3rd Quintile,Just Right,0.74556,1971,2613,0.72886,0.76227
2000,3rd Quintile,A Bit Too Large,0.09463,246,2613,0.08341,0.10586
2000,4th Quintile,Much Too Small,0.01632,35,2566,0.01141,0.02122
2000,4th Quintile,A Bit Too Small,0.11967,307,2566,0.10711,0.13223
2000,4th Quintile,Just Right,0.74504,1957,2566,0.72817,0.76191
2000,4th Quintile,A Bit Too Large,0.10439,267,2566,0.09256,0.11623
2000,5th Quintile,Much Too Small,0.01360,32,2385,0.00895,0.01825
2000,5th Quintile,A Bit Too Small,0.11252,258,2385,0.09984,0.12521
2000,5th Quintile,Just Right,0.71403,1759,2385,0.69589,0.73217
2000,5th Quintile,A Bit Too Large,0.14002,336,2385,0.12609,0.15395
2001,1st Quintile,Much Too Small,0.03136,79,2210,0.02410,0.03863
2001,1st Quintile,A Bit Too Small,0.16192,382,2210,0.14656,0.17729
2001,1st Quintile,Just Right,0.73603,1627,2210,0.71765,0.75441
2001,1st Quintile,A Bit Too Large,0.06087,122,2210,0.05090,0.07084
2001,2nd Quintile,Much Too Small,0.02054,49,2442,0.01491,0.02617
2001,2nd Quintile,A Bit Too Small,0.13501,355,2442,0.12145,0.14857
2001,2nd Quintile,Just Right,0.75790,1876,2442,0.74090,0.77489
2001,2nd Quintile,A Bit Too Large,0.08016,162,2442,0.06939,0.09094
2001,3rd Quintile,Much Too Small,0.01575,40,2400,0.01077,0.02073
2001,3rd Quintile,A Bit Too Small,0.12824,336,2400,0.11486,0.14162
2001,3rd Quintile,Just Right,0.74518,1806,2400,0.72775,0.76262
2001,3rd Quintile,A Bit Too Large,0.09233,218,2400,0.08074,0.10391
2001,4th Quintile,A Bit Too Small,0.12363,288,2309,0.11020,0.13705
2001,4th Quintile,Just Right,0.74062,1770,2309,0.72274,0.75850
2001,4th Quintile,A Bit Too Large,0.11043,251,2309,0.09764,0.12321
2001,5th Quintile,A Bit Too Small,0.11904,245,2131,0.10529,0.13280
2001,5th Quintile,Just Right,0.70347,1578,2131,0.68407,0.72287
2001,5th Quintile,A Bit Too Large,0.14939,308,2131,0.13425,0.16453
2002,1st Quintile,Much Too Small,0.03455,86,2075,0.02669,0.04241
2002,1st Quintile,A Bit Too Small,0.17406,371,2075,0.15774,0.19038
2002,1st Quintile,Just Right,0.70654,1483,2075,0.68694,0.72613
2002,1st Quintile,A Bit Too Large,0.07329,135,2075,0.06208,0.08451
2002,2nd Quintile,Much Too Small,0.02373,57,2207,0.01738,0.03008
2002,2nd Quintile,A Bit Too Small,0.13130,312,2207,0.11721,0.14540
2002,2nd Quintile,Just Right,0.73076,1649,2207,0.71225,0.74927
2002,2nd Quintile,A Bit Too Large,0.09593,189,2207,0.08364,0.10822
2002,3rd Quintile,Much Too Small,0.01413,33,2259,0.00926,0.01899
2002,3rd Quintile,A Bit Too Small,0.13725,317,2259,0.12306,0.15145
2002,3rd Quintile,Just Right,0.73753,1680,2259,0.71938,0.75568
2002,3rd Quintile,A Bit Too Large,0.10510,229,2259,0.09245,0.11775
2002,4th Quintile,Much Too Small,0.01387,36,2359,0.00915,0.01859
2002,4th Quintile,A Bit Too Small,0.13164,325,2359,0.11799,0.14529
2002,4th Quintile,Just Right,0.71228,1697,2359,0.69400,0.73055
2002,4th Quintile,A Bit Too Large,0.11994,264,2359,0.10682,0.13305
2002,4th Quintile,Much Too Large,0.01894,37,2359,0.01344,0.02444
2002,5th Quintile,Much Too Small,0.01477,32,3226,0.01061,0.01894
2002,5th Quintile,A Bit Too Small,0.10952,386,3226,0.09874,0.12030
2002,5th Quintile,Just Right,0.68420,2275,3226,0.66815,0.70024
2002,5th Quintile,A Bit Too Large,0.16179,458,3226,0.14908,0.17450
2002,5th Quintile,Much Too Large,0.02726,75,3226,0.02164,0.03288
2003,1st Quintile,Much Too Small,0.03175,71,2025,0.02411,0.03938
2003,1st Quintile,A Bit Too Small,0.17071,358,2025,0.15432,0.18711
2003,1st Quintile,Just Right,0.71775,1469,2025,0.69814,0.73736
2003,1st Quintile,A Bit Too Large,0.06684,127,2025,0.05596,0.07772
2003,2nd Quintile,Much Too Small,0.02358,55,2185,0.01722,0.02994
2003,2nd Quintile,A Bit Too Small,0.13874,302,2185,0.12424,0.15323
2003,2nd Quintile,Just Right,0.73380,1638,2185,0.71526,0.75234
2003,2nd Quintile,A Bit Too Large,0.09351,190,2185,0.08130,0.10572
2003,3rd Quintile,A Bit Too Small,0.15599,366,2175,0.14074,0.17124
2003,3rd Quintile,Just Right,0.70484,1597,2175,0.68567,0.72402
2003,3rd Quintile,A Bit Too Large,0.10901,212,2175,0.09591,0.12211
2003,4th Quintile,A Bit Too Small,0.12684,302,2220,0.11300,0.14069
2003,4th Quintile,Just Right,0.72016,1634,2220,0.70148,0.73884
2003,4th Quintile,A Bit Too Large,0.12796,284,2220,0.11406,0.14186
2003,5th Quintile,A Bit Too Small,0.11718,326,3004,0.10567,0.12868
2003,5th Quintile,Just Right,0.68748,2168,3004,0.67090,0.70406
2003,5th Quintile,A Bit Too Large,0.16255,454,3004,0.14936,0.17575
2003,5th Quintile,Much Too Large,0.02121,56,3004,0.01605,0.02636
2004,1st Quintile,Much Too Small,0.02967,67,1936,0.02211,0.03723
2004,1st Quintile,A Bit Too Small,0.15107,296,1936,0.13512,0.16703
2004,1st Quintile,Just Right,0.73403,1446,1936,0.71434,0.75372
2004,1st Quintile,A Bit Too Large,0.07082,127,1936,0.05939,0.08225
2004,2nd Quintile,Much Too Small,0.02130,37,2139,0.01518,0.02742
2004,2nd Quintile,A Bit Too Small,0.13273,298,2139,0.11835,0.14712
2004,2nd Quintile,Just Right,0.75437,1640,2139,0.73612,0.77261
