year,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Much Too Small,0.02341,218,5857,0.01954,0.02728
1984,A Bit Too Small,0.12502,914,5857,0.11655,0.13349
1984,Just Right,0.75873,4303,5857,0.74777,0.76969
1984,A Bit Too Large,0.07867,363,5857,0.07178,0.08557
1984,Much Too Large,0.01334,59,5857,0.01040,0.01628
1985,Much Too Small,0.02268,183,5238,0.01865,0.02671
1985,A Bit Too Small,0.11264,759,5238,0.10408,0.12121
1985,Just Right,0.76693,3909,5238,0.75548,0.77838
1985,A Bit Too Large,0.07994,336,5238,0.07260,0.08729
1985,Much Too Large,0.01211,51,5238,0.00915,0.01507
1986,Much Too Small,0.01965,148,4994,0.01580,0.02350
1986,A Bit Too Small,0.11426,699,4994,0.10544,0.12309
1986,Just Right,0.76717,3783,4994,0.75545,0.77889
1986,A Bit Too Large,0.08024,324,4994,0.07271,0.08778
1986,Much Too Large,0.01051,40,4994,0.00768,0.01333
1987,Much Too Small,0.01693,123,4939,0.01333,0.02053
1987,A Bit Too Small,0.10822,665,4939,0.09956,0.11689
1987,Just Right,0.77823,3786,4939,0.76664,0.78981
1987,A Bit Too Large,0.08207,330,4939,0.07442,0.08973
1987,Much Too Large,0.00819,35,4939,0.00567,0.01070
1988,Much Too Small,0.01632,117,4714,0.01270,0.01993
1988,A Bit Too Small,0.10691,614,4714,0.09809,0.11574
1988,Just Right,0.78319,3668,4714,0.77142,0.79495
1988,A Bit Too Large,0.08076,315,4714,0.07298,0.08853
1989,Much Too Small,0.01597,114,4594,0.01234,0.01959
1989,A Bit Too Small,0.10566,592,4594,0.09677,0.11455
1989,Just Right,0.78359,3573,4594,0.77168,0.79550
1989,A Bit Too Large,0.08108,315,4594,0.07319,0.08897
1990,Much Too Small,0.02430,265,6710,0.02061,0.02798
1990,A Bit Too Small,0.12763,1091,6710,0.11964,0.13561
1990,Just Right,0.76270,4928,6710,0.75252,0.77288
1990,A Bit Too Large,0.07062,381,6710,0.06449,0.07675
1990,Much Too Large,0.00819,45,6710,0.00603,0.01034
1991,Much Too Small,0.02559,260,6500,0.02175,0.02943
