year,sampreg,sex,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,male,As soon as possible,0.35640,286,698,0.32085,0.39196
1984,West,male,Next year,0.17152,114,698,0.14354,0.19951
1984,West,male,In the next 2 to 5 years,0.32648,207,698,0.29167,0.36129
1984,West,male,"In the distant future, in more than five years",0.14559,91,698,0.11941,0.17178
1984,West,female,As soon as possible,0.20413,328,1348,0.18260,0.22565
1984,West,female,Next year,0.16263,209,1348,0.14292,0.18234
1984,West,female,In the next 2 to 5 years,0.36510,459,1348,0.33939,0.39081
1984,West,female,"In the distant future, in more than five years",0.26814,352,1348,0.24448,0.29180
1985,West,male,As soon as possible,0.42841,295,631,0.38976,0.46705
1985,West,male,Next year,0.20086,118,631,0.16958,0.23215
1985,West,male,In the next 2 to 5 years,0.25007,147,631,0.21625,0.28388
1985,West,male,"In the distant future, in more than five years",0.12066,71,631,0.09523,0.14610
1985,West,female,As soon as possible,0.27544,292,940,0.24687,0.30402
1985,West,female,Next year,0.24336,207,940,0.21591,0.27080
1985,West,female,In the next 2 to 5 years,0.32548,297,940,0.29551,0.35545
1985,West,female,"In the distant future, in more than five years",0.15572,144,940,0.13252,0.17891
1986,West,male,As soon as possible,0.34921,237,605,0.31119,0.38723
1986,West,male,Next year,0.19437,111,605,0.16281,0.22592
1986,West,male,In the next 2 to 5 years,0.31309,180,605,0.27611,0.35008
1986,West,male,"In the distant future, in more than five years",0.14334,77,605,0.11539,0.17128
1986,West,female,As soon as possible,0.29617,270,926,0.26674,0.32559
1986,West,female,Next year,0.17391,165,926,0.14948,0.19834
1986,West,female,In the next 2 to 5 years,0.30083,294,926,0.27128,0.33039
1986,West,female,"In the distant future, in more than five years",0.22909,197,926,0.20201,0.25617
1987,West,male,As soon as possible,0.38819,244,596,0.34903,0.42734
1987,West,male,Next year,0.19225,119,596,0.16058,0.22391
1987,West,male,In the next 2 to 5 years,0.31477,171,596,0.27745,0.35209
1987,West,male,"In the distant future, in more than five years",0.10480,62,596,0.08019,0.12941
1987,West,female,As soon as possible,0.25318,254,972,0.22583,0.28053
1987,West,female,Next year,0.23222,230,972,0.20566,0.25878
1987,West,female,In the next 2 to 5 years,0.31703,305,972,0.28776,0.34630
1987,West,female,"In the distant future, in more than five years",0.19757,183,972,0.17252,0.22261
1988,West,male,As soon as possible,0.33211,223,581,0.29378,0.37044
1988,West,male,Next year,0.25873,128,581,0.22309,0.29438
1988,West,male,In the next 2 to 5 years,0.30468,170,581,0.26722,0.34214
1988,West,male,"In the distant future, in more than five years",0.10448,60,581,0.07958,0.12937
1988,West,female,As soon as possible,0.22761,220,924,0.20056,0.25466
1988,West,female,Next year,0.23208,217,924,0.20485,0.25932
1988,West,female,In the next 2 to 5 years,0.35999,328,924,0.32902,0.39096
1988,West,female,"In the distant future, in more than five years",0.18031,159,924,0.15551,0.20511
1989,West,male,As soon as possible,0.31613,178,496,0.27517,0.35709
1989,West,male,Next year,0.20844,99,496,0.17266,0.24423
1989,West,male,In the next 2 to 5 years,0.34672,163,496,0.30479,0.38865
1989,West,male,"In the distant future, in more than five years",0.12871,56,496,0.09921,0.15821
1989,West,female,As soon as possible,0.21001,184,823,0.18216,0.23785
1989,West,female,Next year,0.19684,162,823,0.16965,0.22402
1989,West,female,In the next 2 to 5 years,0.39457,323,823,0.36116,0.42798
1989,West,female,"In the distant future, in more than five years",0.19859,154,823,0.17132,0.22586
1990,West,male,As soon as possible,0.27991,147,476,0.23954,0.32029
1990,West,male,Next year,0.22925,114,476,0.19145,0.26705
1990,West,male,In the next 2 to 5 years,0.32194,145,476,0.27992,0.36395
1990,West,male,"In the distant future, in more than five years",0.16890,70,476,0.13521,0.20260
1990,West,female,As soon as possible,0.18493,143,744,0.15701,0.21284
1990,West,female,Next year,0.20996,162,744,0.18067,0.23924
1990,West,female,In the next 2 to 5 years,0.38746,281,744,0.35243,0.42249
1990,West,female,"In the distant future, in more than five years",0.21766,158,744,0.18799,0.24733
1990,East,male,As soon as possible,0.38395,42,73,0.27161,0.49629
1990,East,male,Next year,0.37712,31,73,0.26517,0.48907
1990,East,female,As soon as possible,0.30506,66,218,0.24380,0.36632
1990,East,female,Next year,0.41450,92,218,0.34895,0.48005
1990,East,female,In the next 2 to 5 years,0.25613,60,218,0.19806,0.31421
1991,West,male,As soon as possible,0.31096,138,417,0.26648,0.35545
1991,West,male,Next year,0.24324,94,417,0.20201,0.28447
1991,West,male,In the next 2 to 5 years,0.30426,124,417,0.26004,0.34847
1991,West,male,"In the distant future, in more than five years",0.14154,61,417,0.10804,0.17503
1991,West,female,As soon as possible,0.16014,131,732,0.13356,0.18673
1991,West,female,Next year,0.20849,155,732,0.17905,0.23794
1991,West,female,In the next 2 to 5 years,0.42241,301,732,0.38660,0.45822
1991,West,female,"In the distant future, in more than five years",0.20895,145,732,0.17948,0.23842
1991,East,male,As soon as possible,0.62954,124,165,0.55563,0.70345
1991,East,male,Next year,0.21651,41,165,0.15348,0.27955
1991,East,female,As soon as possible,0.46423,148,317,0.40924,0.51922
1991,East,female,Next year,0.28923,97,317,0.23924,0.33922
1991,East,female,In the next 2 to 5 years,0.22939,72,317,0.18303,0.27574
1992,West,male,As soon as possible,0.31577,147,424,0.27147,0.36006
1992,West,male,Next year,0.21965,90,424,0.18020,0.25911
1992,West,male,In the next 2 to 5 years,0.33174,136,424,0.28687,0.37661
1992,West,male,"In the distant future, in more than five years",0.13284,51,424,0.10050,0.16519
1992,West,female,As soon as possible,0.17462,150,807,0.14841,0.20083
1992,West,female,Next year,0.24465,175,807,0.21497,0.27433
1992,West,female,In the next 2 to 5 years,0.40963,341,807,0.37568,0.44358
1992,West,female,"In the distant future, in more than five years",0.17110,141,807,0.14510,0.19710
1992,East,male,As soon as possible,0.66722,153,231,0.60632,0.72812
1992,East,male,Next year,0.17973,41,231,0.13011,0.22935
1992,East,male,In the next 2 to 5 years,0.13126,37,231,0.08762,0.17490
1992,East,female,As soon as possible,0.55012,234,433,0.50321,0.59703
1992,East,female,Next year,0.29838,131,433,0.25524,0.34153
1992,East,female,In the next 2 to 5 years,0.13141,68,433,0.09955,0.16326
1993,West,male,As soon as possible,0.37896,173,445,0.33383,0.42408
1993,West,male,Next year,0.23518,100,445,0.19573,0.27463
1993,West,male,In the next 2 to 5 years,0.29522,129,445,0.25279,0.33765
1993,West,male,"In the distant future, in more than five years",0.09065,43,445,0.06394,0.11735
1993,West,female,As soon as possible,0.19208,155,811,0.16495,0.21920
1993,West,female,Next year,0.19288,159,811,0.16571,0.22005
1993,West,female,In the next 2 to 5 years,0.45381,354,811,0.41952,0.48809
1993,West,female,"In the distant future, in more than five years",0.16124,143,811,0.13592,0.18657
1993,East,male,As soon as possible,0.61838,143,199,0.55071,0.68604
1993,East,male,Next year,0.21172,56,199,0.15481,0.26862
1993,East,female,As soon as possible,0.60734,248,403,0.55960,0.65508
1993,East,female,Next year,0.22552,92,403,0.18466,0.26637
1993,East,female,In the next 2 to 5 years,0.13757,63,403,0.10390,0.17124
1994,West,male,As soon as possible,0.43801,227,482,0.39367,0.48235
1994,West,male,Next year,0.24285,110,482,0.20453,0.28117
1994,West,male,In the next 2 to 5 years,0.24266,111,482,0.20435,0.28097
1994,West,male,"In the distant future, in more than five years",0.07649,34,482,0.05273,0.10024
1994,West,female,As soon as possible,0.18350,167,867,0.15772,0.20928
1994,West,female,Next year,0.23988,200,867,0.21144,0.26832
1994,West,female,In the next 2 to 5 years,0.41581,353,867,0.38299,0.44864
1994,West,female,"In the distant future, in more than five years",0.16081,147,867,0.13634,0.18528
1994,East,male,As soon as possible,0.63592,150,198,0.56873,0.70311
1994,East,male,Next year,0.19514,48,198,0.13980,0.25048
1994,East,female,As soon as possible,0.61444,244,403,0.56686,0.66202
1994,East,female,Next year,0.17331,73,403,0.13631,0.21031
1994,East,female,In the next 2 to 5 years,0.18052,86,403,0.14292,0.21812
1995,West,male,As soon as possible,0.41473,227,536,0.37298,0.45648
1995,West,male,Next year,0.24798,132,536,0.21138,0.28457
1995,West,male,In the next 2 to 5 years,0.23134,128,536,0.19560,0.26707
1995,West,male,"In the distant future, in more than five years",0.10596,49,536,0.07987,0.13204
1995,West,female,As soon as possible,0.19288,190,988,0.16826,0.21749
1995,West,female,Next year,0.19059,196,988,0.16608,0.21509
1995,West,female,In the next 2 to 5 years,0.45012,434,988,0.41909,0.48116
1995,West,female,"In the distant future, in more than five years",0.16641,168,988,0.14318,0.18965
1995,East,male,As soon as possible,0.59696,121,173,0.52365,0.67027
1995,East,male,Next year,0.22032,52,173,0.15838,0.28226
1995,East,female,As soon as possible,0.50581,190,362,0.45423,0.55738
1995,East,female,Next year,0.23795,83,362,0.19402,0.28188
1995,East,female,In the next 2 to 5 years,0.22254,89,362,0.17964,0.26545
1996,West,male,As soon as possible,0.44697,246,513,0.40390,0.49004
1996,West,male,Next year,0.17979,87,513,0.14653,0.21306
1996,West,male,In the next 2 to 5 years,0.27945,134,513,0.24058,0.31832
1996,West,male,"In the distant future, in more than five years",0.09379,46,513,0.06853,0.11904
1996,West,female,As soon as possible,0.19765,197,967,0.17254,0.22276
1996,West,female,Next year,0.23403,232,967,0.20733,0.26073
1996,West,female,In the next 2 to 5 years,0.39871,379,967,0.36783,0.42959
1996,West,female,"In the distant future, in more than five years",0.16961,159,967,0.14595,0.19328
1996,East,male,As soon as possible,0.59208,148,251,0.53116,0.65300
1996,East,male,Next year,0.20197,56,251,0.15221,0.25174
1996,East,male,In the next 2 to 5 years,0.16228,47,251,0.11657,0.20798
1996,East,female,As soon as possible,0.45512,175,362,0.40375,0.50649
1996,East,female,Next year,0.32185,108,362,0.27366,0.37004
1996,East,female,In the next 2 to 5 years,0.17701,79,362,0.13763,0.21638
1997,West,male,As soon as possible,0.47410,252,514,0.43089,0.51731
1997,West,male,Next year,0.20176,95,514,0.16703,0.23648
1997,West,male,In the next 2 to 5 years,0.21494,117,514,0.17939,0.25048
1997,West,male,"In the distant future, in more than five years",0.10920,50,514,0.08221,0.13619
1997,West,female,As soon as possible,0.22080,219,959,0.19454,0.24707
1997,West,female,Next year,0.20953,186,959,0.18375,0.23530
1997,West,female,In the next 2 to 5 years,0.43752,410,959,0.40611,0.46894
1997,West,female,"In the distant future, in more than five years",0.13215,144,959,0.11070,0.15359
1997,East,male,As soon as possible,0.64855,163,259,0.59030,0.70681
1997,East,male,Next year,0.19374,57,259,0.14551,0.24196
1997,East,male,In the next 2 to 5 years,0.11596,39,259,0.07689,0.15503
1997,East,female,As soon as possible,0.51901,189,346,0.46629,0.57173
1997,East,female,Next year,0.19689,69,346,0.15493,0.23885
1997,East,female,In the next 2 to 5 years,0.23548,88,346,0.19071,0.28025
1998,West,male,As soon as possible,0.46437,250,541,0.42231,0.50644
1998,West,male,Next year,0.20473,105,541,0.17069,0.23876
1998,West,male,In the next 2 to 5 years,0.23604,131,541,0.20022,0.27186
1998,West,male,"In the distant future, in more than five years",0.09486,55,541,0.07014,0.11957
1998,West,female,As soon as possible,0.21233,207,974,0.18663,0.23803
1998,West,female,Next year,0.22718,210,974,0.20085,0.25351
1998,West,female,In the next 2 to 5 years,0.38674,376,974,0.35614,0.41734
1998,West,female,"In the distant future, in more than five years",0.17375,181,974,0.14994,0.19756
1998,East,male,As soon as possible,0.70807,201,291,0.65574,0.76039
1998,East,male,Next year,0.13524,50,291,0.09588,0.17461
1998,East,male,In the next 2 to 5 years,0.11695,40,291,0.07996,0.15394
1998,East,female,As soon as possible,0.50961,201,380,0.45928,0.55994
1998,East,female,Next year,0.20710,92,380,0.16630,0.24790
1998,East,female,In the next 2 to 5 years,0.23791,87,380,0.19504,0.28078
1999,West,male,As soon as possible,0.45039,193,441,0.40390,0.49688
1999,West,male,Next year,0.21039,98,441,0.17230,0.24847
1999,West,male,In the next 2 to 5 years,0.22885,105,441,0.18959,0.26810
1999,West,male,"In the distant future, in more than five years",0.11038,45,441,0.08110,0.13966
1999,West,female,As soon as possible,0.20484,169,855,0.17777,0.23191
1999,West,female,Next year,0.21486,173,855,0.18731,0.24241
1999,West,female,In the next 2 to 5 years,0.43419,367,855,0.40094,0.46743
1999,West,female,"In the distant future, in more than five years",0.14612,146,855,0.12243,0.16981
1999,East,male,As soon as possible,0.67133,161,244,0.61227,0.73039
1999,East,male,Next year,0.15351,45,244,0.10819,0.19884
1999,East,male,In the next 2 to 5 years,0.12158,38,244,0.08049,0.16267
1999,East,female,As soon as possible,0.46208,165,354,0.41007,0.51409
1999,East,female,Next year,0.29475,104,354,0.24719,0.34232
1999,East,female,In the next 2 to 5 years,0.22002,85,354,0.17680,0.26324
2000,West,male,As soon as possible,0.40737,320,781,0.37289,0.44185
2000,West,male,Next year,0.21754,172,781,0.18859,0.24649
2000,West,male,In the next 2 to 5 years,0.25891,203,781,0.22817,0.28965
2000,West,male,"In the distant future, in more than five years",0.11618,86,781,0.09369,0.13867
2000,West,female,As soon as possible,0.17607,266,1585,0.15731,0.19483
2000,West,female,Next year,0.22349,345,1585,0.20297,0.24400
2000,West,female,In the next 2 to 5 years,0.43656,697,1585,0.41214,0.46098
2000,West,female,"In the distant future, in more than five years",0.16388,277,1585,0.14565,0.18211
2000,East,male,As soon as possible,0.61244,239,393,0.56421,0.66067
2000,East,male,Next year,0.21208,89,393,0.17162,0.25255
2000,East,male,In the next 2 to 5 years,0.14074,65,393,0.10631,0.17516
2000,East,female,As soon as possible,0.50616,273,559,0.46467,0.54764
2000,East,female,Next year,0.23819,128,559,0.20285,0.27354
2000,East,female,In the next 2 to 5 years,0.20164,120,559,0.16835,0.23494
2000,East,female,"In the distant future, in more than five years",0.05401,38,559,0.03525,0.07276
2001,West,male,As soon as possible,0.43763,278,682,0.40037,0.47489
2001,West,male,Next year,0.22897,152,682,0.19742,0.26053
2001,West,male,In the next 2 to 5 years,0.23044,175,682,0.19881,0.26206
2001,West,male,"In the distant future, in more than five years",0.10296,77,682,0.08014,0.12579
2001,West,female,As soon as possible,0.17902,232,1381,0.15879,0.19925
2001,West,female,Next year,0.24417,315,1381,0.22151,0.26684
2001,West,female,In the next 2 to 5 years,0.41592,597,1381,0.38992,0.44193
2001,West,female,"In the distant future, in more than five years",0.16088,237,1381,0.14150,0.18027
2001,East,male,As soon as possible,0.65134,247,379,0.60330,0.69938
2001,East,male,Next year,0.17905,74,379,0.14039,0.21770
2001,East,male,In the next 2 to 5 years,0.13035,58,379,0.09641,0.16430
2001,East,female,As soon as possible,0.49267,235,468,0.44733,0.53802
2001,East,female,Next year,0.23757,111,468,0.19897,0.27617
