,Unnamed: 0,year,regtyp,plb0418,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,Urban regions,As soon as possible,0.31349,443,1571,0.29213,0.331
1,1,1985,Urban regions,Next year,0.22728,255,1571,0.21174,0.24136
2,2,1985,Urban regions,In the next 2 to 5 years,0.31084,360,1571,0.29423,0.32721
3,3,1985,Urban regions,"In the distant future, in more than five years",0.14838,173,1571,0.13818,0.15848
4,4,1985,Rural regions,As soon as possible,0.41553,144,1571,0.37577,0.44503
5,5,1985,Rural regions,Next year,0.21971,70,1571,0.20195,0.23483
6,6,1985,Rural regions,In the next 2 to 5 years,0.24525,84,1571,0.22722,0.26239
7,7,1985,Rural regions,"In the distant future, in more than five years",0.11951,42,1571,0.10723,0.13034
8,8,1986,Urban regions,As soon as possible,0.29961,393,1531,0.28058,0.324
9,9,1986,Urban regions,Next year,0.18893,222,1531,0.17308,0.20383
10,10,1986,Urban regions,In the next 2 to 5 years,0.32266,398,1531,0.30444,0.34005
11,11,1986,Urban regions,"In the distant future, in more than five years",0.18881,215,1531,0.17737,0.19951
12,12,1986,Rural regions,As soon as possible,0.37343,114,1531,0.33467,0.41693
13,13,1986,Rural regions,Next year,0.16008,54,1531,0.14083,0.17864
14,14,1986,Rural regions,In the next 2 to 5 years,0.2518,76,1531,0.22807,0.27533
15,15,1986,Rural regions,"In the distant future, in more than five years",0.2147,59,1531,0.19818,0.23065
16,16,1987,Urban regions,As soon as possible,0.28607,382,1568,0.26639,0.31037
17,17,1987,Urban regions,Next year,0.21874,283,1568,0.19996,0.23835
18,18,1987,Urban regions,In the next 2 to 5 years,0.33209,401,1568,0.3119,0.35028
19,19,1987,Urban regions,"In the distant future, in more than five years",0.1631,202,1568,0.15099,0.17367
20,20,1987,Rural regions,As soon as possible,0.36413,116,1568,0.32089,0.40238
21,21,1987,Rural regions,Next year,0.21237,66,1568,0.19136,0.2436
22,22,1987,Rural regions,In the next 2 to 5 years,0.2623,75,1568,0.23888,0.29054
23,23,1987,Rural regions,"In the distant future, in more than five years",0.1612,43,1568,0.14691,0.17756
24,24,1988,Urban regions,As soon as possible,0.25239,340,1505,0.22807,0.27248
25,25,1988,Urban regions,Next year,0.23434,270,1505,0.2129,0.25484
26,26,1988,Urban regions,In the next 2 to 5 years,0.35783,418,1505,0.33376,0.38258
27,27,1988,Urban regions,"In the distant future, in more than five years",0.15545,183,1505,0.14245,0.16703
28,28,1988,Rural regions,As soon as possible,0.32263,103,1505,0.28522,0.36399
29,29,1988,Rural regions,Next year,0.27,75,1505,0.23544,0.30351
30,30,1988,Rural regions,In the next 2 to 5 years,0.27423,80,1505,0.24684,0.30157
31,31,1988,Rural regions,"In the distant future, in more than five years",0.13313,36,1505,0.11474,0.15348
32,32,1989,Urban regions,As soon as possible,0.22909,275,1319,0.20456,0.25314
33,33,1989,Urban regions,Next year,0.19671,207,1319,0.1771,0.21743
34,34,1989,Urban regions,In the next 2 to 5 years,0.40035,402,1319,0.37742,0.42633
35,35,1989,Urban regions,"In the distant future, in more than five years",0.17385,166,1319,0.159,0.19037
36,36,1989,Rural regions,As soon as possible,0.32119,87,1319,0.28173,0.36811
37,37,1989,Rural regions,Next year,0.21614,54,1319,0.19385,0.2357
38,38,1989,Rural regions,In the next 2 to 5 years,0.3007,84,1319,0.27035,0.34011
39,39,1989,Rural regions,"In the distant future, in more than five years",0.16197,44,1319,0.13996,0.18476
40,40,1990,Urban regions,As soon as possible,0.20936,261,1541,0.18383,0.2277
41,41,1990,Urban regions,Next year,0.23786,274,1541,0.21713,0.25748
42,42,1990,Urban regions,In the next 2 to 5 years,0.36537,382,1541,0.3376,0.3883
43,43,1990,Urban regions,"In the distant future, in more than five years",0.18741,190,1541,0.16902,0.20658
44,44,1990,Rural regions,As soon as possible,0.31042,135,1541,0.27243,0.34961
45,45,1990,Rural regions,Next year,0.25504,124,1541,0.22749,0.28315
46,46,1990,Rural regions,In the next 2 to 5 years,0.29119,124,1541,0.25828,0.32162
47,47,1990,Rural regions,"In the distant future, in more than five years",0.14334,51,1541,0.12532,0.16662
48,48,1991,Urban regions,As soon as possible,0.25925,303,1660,0.23609,0.28241
49,49,1991,Urban regions,Next year,0.21212,225,1660,0.19299,0.23267
50,50,1991,Urban regions,In the next 2 to 5 years,0.36246,369,1660,0.34053,0.38963
51,51,1991,Urban regions,"In the distant future, in more than five years",0.16617,167,1660,0.14904,0.18662
52,52,1991,Rural regions,As soon as possible,0.3352,232,1660,0.30698,0.37001
53,53,1991,Rural regions,Next year,0.2629,160,1660,0.23679,0.29169
54,54,1991,Rural regions,In the next 2 to 5 years,0.28281,147,1660,0.25618,0.31224
