year,pgisced97,regtyp,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,No answer / don't know,Next year,0.26828,47,164,0.20027,0.33630
1984,Pre-primary Level,No answer / don't know,In the next 2 to 5 years,0.44033,76,164,0.36412,0.51654
1984,Pre-primary Level,No answer / don't know,"In the distant future, in more than five years",0.23528,41,164,0.17016,0.30040
1984,Primary Level,No answer / don't know,As soon as possible,0.58299,102,102,0.48683,0.67915
1984,Lower Secondary Level,No answer / don't know,As soon as possible,0.26740,186,602,0.23201,0.30279
1984,Lower Secondary Level,No answer / don't know,Next year,0.17799,99,602,0.14741,0.20857
1984,Lower Secondary Level,No answer / don't know,In the next 2 to 5 years,0.35633,197,602,0.31804,0.39462
1984,Lower Secondary Level,No answer / don't know,"In the distant future, in more than five years",0.19828,120,602,0.16640,0.23016
1984,Upper Secondary Level,No answer / don't know,As soon as possible,0.26575,259,882,0.23658,0.29491
1984,Upper Secondary Level,No answer / don't know,Next year,0.14485,122,882,0.12161,0.16809
1984,Upper Secondary Level,No answer / don't know,In the next 2 to 5 years,0.34672,294,882,0.31529,0.37814
1984,Upper Secondary Level,No answer / don't know,"In the distant future, in more than five years",0.24269,207,882,0.21438,0.27100
1985,Pre-primary Level,Urban regions,Next year,0.29789,33,65,0.18585,0.40994
1985,Pre-primary Level,Urban regions,In the next 2 to 5 years,0.29702,32,65,0.18507,0.40897
1985,Primary Level,Urban regions,As soon as possible,0.58960,75,75,0.47752,0.70168
1985,Lower Secondary Level,Urban regions,As soon as possible,0.31779,132,342,0.26837,0.36721
1985,Lower Secondary Level,Urban regions,Next year,0.28362,83,342,0.23577,0.33146
1985,Lower Secondary Level,Urban regions,In the next 2 to 5 years,0.27328,83,342,0.22598,0.32058
1985,Lower Secondary Level,Urban regions,"In the distant future, in more than five years",0.12531,44,342,0.09017,0.16045
1985,Lower Secondary Level,Rural regions,As soon as possible,0.39922,49,49,0.26067,0.53777
1985,Upper Secondary Level,Urban regions,As soon as possible,0.35449,178,497,0.31239,0.39659
1985,Upper Secondary Level,Urban regions,Next year,0.17620,86,497,0.14267,0.20973
1985,Upper Secondary Level,Urban regions,In the next 2 to 5 years,0.33042,165,497,0.28903,0.37182
