year,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,As soon as possible,0.25685,614,2046,0.23791,0.27579
1984,Next year,0.16571,323,2046,0.14959,0.18183
1984,In the next 2 to 5 years,0.35173,666,2046,0.33103,0.37242
1984,"In the distant future, in more than five years",0.22571,443,2046,0.20759,0.24383
1985,As soon as possible,0.33969,587,1571,0.31626,0.36312
1985,Next year,0.22551,325,1571,0.20484,0.24618
1985,In the next 2 to 5 years,0.29381,444,1571,0.27127,0.31634
1985,"In the distant future, in more than five years",0.14099,215,1571,0.12378,0.15821
1986,As soon as possible,0.31725,507,1531,0.29392,0.34057
1986,Next year,0.18204,276,1531,0.16270,0.20137
1986,In the next 2 to 5 years,0.30571,474,1531,0.28262,0.32879
1986,"In the distant future, in more than five years",0.19501,274,1531,0.17516,0.21486
1987,As soon as possible,0.30381,498,1568,0.28104,0.32658
1987,Next year,0.21723,349,1568,0.19681,0.23765
1987,In the next 2 to 5 years,0.31618,476,1568,0.29316,0.33921
1987,"In the distant future, in more than five years",0.16278,245,1568,0.14450,0.18106
1988,As soon as possible,0.26912,443,1505,0.24670,0.29153
1988,Next year,0.24267,345,1505,0.22100,0.26434
1988,In the next 2 to 5 years,0.33802,498,1505,0.31411,0.36193
1988,"In the distant future, in more than five years",0.15019,219,1505,0.13214,0.16825
1989,As soon as possible,0.25207,362,1319,0.22863,0.27551
1989,Next year,0.20144,261,1319,0.17978,0.22309
1989,In the next 2 to 5 years,0.37560,486,1319,0.34946,0.40175
1989,"In the distant future, in more than five years",0.17089,210,1319,0.15057,0.19121
1990,As soon as possible,0.23746,398,1545,0.21623,0.25868
1990,Next year,0.24259,399,1545,0.22121,0.26397
1990,In the next 2 to 5 years,0.34444,506,1545,0.32074,0.36814
1990,"In the distant future, in more than five years",0.17551,242,1545,0.15654,0.19449
1991,As soon as possible,0.28649,541,1671,0.26481,0.30818
1991,Next year,0.22997,387,1671,0.20979,0.25015
1991,In the next 2 to 5 years,0.33401,518,1671,0.31139,0.35663
1991,"In the distant future, in more than five years",0.14953,225,1671,0.13243,0.16663
