year,pgisced97,sex,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,male,In the next 2 to 5 years,0.43243,43,43,0.28260,0.58226
1984,Pre-primary Level,female,In the next 2 to 5 years,0.36727,33,33,0.20024,0.53429
1984,Primary Level,male,As soon as possible,0.15289,40,40,0.03994,0.26584
1984,Primary Level,female,As soon as possible,0.11067,62,62,0.03194,0.18940
1984,Lower Secondary Level,male,As soon as possible,0.06178,77,157,0.02400,0.09956
1984,Lower Secondary Level,male,In the next 2 to 5 years,0.04821,48,157,0.01460,0.08183
1984,Lower Secondary Level,male,"In the distant future, in more than five years",0.03001,32,157,0.00324,0.05678
1984,Lower Secondary Level,female,As soon as possible,0.03067,109,417,0.01410,0.04724
1984,Lower Secondary Level,female,Next year,0.02626,71,417,0.01089,0.04162
1984,Lower Secondary Level,female,In the next 2 to 5 years,0.05287,149,417,0.03136,0.07437
1984,Lower Secondary Level,female,"In the distant future, in more than five years",0.02830,88,417,0.01236,0.04423
1984,Upper Secondary Level,male,As soon as possible,0.03711,142,301,0.01572,0.05850
1984,Upper Secondary Level,male,Next year,0.01506,46,301,0.00128,0.02884
1984,Upper Secondary Level,male,In the next 2 to 5 years,0.02591,80,301,0.00793,0.04389
1984,Upper Secondary Level,male,"In the distant future, in more than five years",0.01133,33,301,-0.00065,0.02331
1984,Upper Secondary Level,female,As soon as possible,0.03690,117,581,0.02155,0.05224
1984,Upper Secondary Level,female,Next year,0.02613,76,581,0.01315,0.03911
1984,Upper Secondary Level,female,In the next 2 to 5 years,0.07434,214,581,0.05299,0.09569
1984,Upper Secondary Level,female,"In the distant future, in more than five years",0.05996,174,581,0.04063,0.07928
1985,Primary Level,male,As soon as possible,0.15537,42,42,0.04448,0.26625
1985,Primary Level,female,As soon as possible,0.11825,49,49,0.02690,0.20960
1985,Lower Secondary Level,male,As soon as possible,0.05908,72,105,0.01376,0.10439
1985,Lower Secondary Level,male,Next year,0.03575,33,105,0.00007,0.07143
1985,Lower Secondary Level,female,As soon as possible,0.03550,109,297,0.01442,0.05658
1985,Lower Secondary Level,female,Next year,0.03337,77,297,0.01291,0.05384
1985,Lower Secondary Level,female,In the next 2 to 5 years,0.03080,80,297,0.01112,0.05048
1985,Lower Secondary Level,female,"In the distant future, in more than five years",0.00988,31,297,-0.00139,0.02114
1985,Upper Secondary Level,male,As soon as possible,0.04578,135,236,0.01906,0.07251
1985,Upper Secondary Level,male,Next year,0.01269,39,236,-0.00162,0.02700
1985,Upper Secondary Level,male,In the next 2 to 5 years,0.01988,62,236,0.00203,0.03773
1985,Upper Secondary Level,female,As soon as possible,0.03763,108,377,0.01839,0.05686
1985,Upper Secondary Level,female,Next year,0.02577,70,377,0.00975,0.04178
1985,Upper Secondary Level,female,In the next 2 to 5 years,0.04744,133,377,0.02595,0.06893
1985,Upper Secondary Level,female,"In the distant future, in more than five years",0.02287,66,377,0.00776,0.03797
1986,Pre-primary Level,male,In the next 2 to 5 years,0.27114,35,35,0.12171,0.42057
1986,Pre-primary Level,female,In the next 2 to 5 years,0.36400,31,31,0.19183,0.53618
1986,Primary Level,female,As soon as possible,0.09522,37,37,-0.00067,0.19110
1986,Lower Secondary Level,male,As soon as possible,0.06371,72,110,0.01786,0.10956
1986,Lower Secondary Level,male,In the next 2 to 5 years,0.04141,38,110,0.00401,0.07882
1986,Lower Secondary Level,female,As soon as possible,0.03957,96,272,0.01636,0.06278
1986,Lower Secondary Level,female,Next year,0.01964,51,272,0.00312,0.03616
1986,Lower Secondary Level,female,In the next 2 to 5 years,0.02596,83,272,0.00703,0.04490
1986,Lower Secondary Level,female,"In the distant future, in more than five years",0.01604,42,272,0.00108,0.03100
1986,Upper Secondary Level,male,As soon as possible,0.03191,106,218,0.00852,0.05530
1986,Upper Secondary Level,male,Next year,0.01335,37,218,-0.00192,0.02863
1986,Upper Secondary Level,male,In the next 2 to 5 years,0.02492,75,218,0.00418,0.04566
1986,Upper Secondary Level,female,As soon as possible,0.03684,96,400,0.01836,0.05533
1986,Upper Secondary Level,female,Next year,0.02875,76,400,0.01236,0.04515
1986,Upper Secondary Level,female,In the next 2 to 5 years,0.04683,125,400,0.02610,0.06756
1986,Upper Secondary Level,female,"In the distant future, in more than five years",0.03697,103,400,0.01845,0.05548
1987,Pre-primary Level,male,In the next 2 to 5 years,0.34736,32,32,0.17975,0.51497
1987,Primary Level,male,As soon as possible,0.15259,34,34,0.02990,0.27528
1987,Primary Level,female,As soon as possible,0.07326,35,35,-0.01433,0.16084
1987,Lower Secondary Level,male,As soon as possible,0.06576,77,155,0.02661,0.10491
1987,Lower Secondary Level,male,Next year,0.02660,36,155,0.00119,0.05202
1987,Lower Secondary Level,male,In the next 2 to 5 years,0.03915,42,155,0.00851,0.06978
1987,Lower Secondary Level,female,As soon as possible,0.03215,82,278,0.01138,0.05293
1987,Lower Secondary Level,female,Next year,0.02214,71,278,0.00481,0.03946
1987,Lower Secondary Level,female,In the next 2 to 5 years,0.02942,79,278,0.00952,0.04932
1987,Lower Secondary Level,female,"In the distant future, in more than five years",0.01681,46,278,0.00167,0.03194
1987,Upper Secondary Level,male,As soon as possible,0.03290,100,214,0.00895,0.05686
1987,Upper Secondary Level,male,Next year,0.01385,39,214,-0.00184,0.02955
1987,Upper Secondary Level,male,In the next 2 to 5 years,0.02710,75,214,0.00529,0.04891
1987,Upper Secondary Level,female,As soon as possible,0.03756,101,415,0.01924,0.05587
1987,Upper Secondary Level,female,Next year,0.03766,93,415,0.01932,0.05600
1987,Upper Secondary Level,female,In the next 2 to 5 years,0.05202,140,415,0.03063,0.07341
1987,Upper Secondary Level,female,"In the distant future, in more than five years",0.03145,81,415,0.01464,0.04826
1988,Primary Level,female,As soon as possible,0.09849,39,39,0.00375,0.19323
1988,Lower Secondary Level,male,As soon as possible,0.07038,80,154,0.02985,0.11091
1988,Lower Secondary Level,male,Next year,0.03457,33,154,0.00562,0.06352
1988,Lower Secondary Level,male,In the next 2 to 5 years,0.03490,41,154,0.00582,0.06399
1988,Lower Secondary Level,female,As soon as possible,0.03105,78,270,0.01032,0.05178
1988,Lower Secondary Level,female,Next year,0.02566,65,270,0.00676,0.04455
1988,Lower Secondary Level,female,In the next 2 to 5 years,0.03508,88,270,0.01309,0.05706
1988,Lower Secondary Level,female,"In the distant future, in more than five years",0.01652,39,270,0.00129,0.03175
1988,Upper Secondary Level,male,As soon as possible,0.03365,100,229,0.01024,0.05706
1988,Upper Secondary Level,male,Next year,0.02306,49,229,0.00358,0.04254
1988,Upper Secondary Level,male,In the next 2 to 5 years,0.02783,80,229,0.00648,0.04917
1988,Upper Secondary Level,female,As soon as possible,0.03556,85,401,0.01741,0.05371
1988,Upper Secondary Level,female,Next year,0.03735,94,401,0.01877,0.05593
1988,Upper Secondary Level,female,In the next 2 to 5 years,0.05932,154,401,0.03617,0.08247
1988,Upper Secondary Level,female,"In the distant future, in more than five years",0.02715,68,401,0.01122,0.04308
1989,Pre-primary Level,male,In the next 2 to 5 years,0.43538,37,37,0.27342,0.59735
1989,Primary Level,female,As soon as possible,0.09361,31,31,-0.01063,0.19784
1989,Lower Secondary Level,male,As soon as possible,0.05195,55,55,-0.00724,0.11114
1989,Lower Secondary Level,female,As soon as possible,0.02354,66,239,0.00428,0.04280
1989,Lower Secondary Level,female,Next year,0.01736,40,239,0.00076,0.03395
1989,Lower Secondary Level,female,In the next 2 to 5 years,0.03570,95,239,0.01213,0.05927
1989,Lower Secondary Level,female,"In the distant future, in more than five years",0.01389,38,239,-0.00098,0.02876
1989,Upper Secondary Level,male,As soon as possible,0.02983,82,202,0.00631,0.05335
1989,Upper Secondary Level,male,Next year,0.01770,46,202,-0.00053,0.03593
1989,Upper Secondary Level,male,In the next 2 to 5 years,0.02469,74,202,0.00324,0.04615
1989,Upper Secondary Level,female,As soon as possible,0.02646,63,338,0.00933,0.04360
1989,Upper Secondary Level,female,Next year,0.02413,61,338,0.00775,0.04052
1989,Upper Secondary Level,female,In the next 2 to 5 years,0.05970,147,338,0.03440,0.08499
1989,Upper Secondary Level,female,"In the distant future, in more than five years",0.02578,67,338,0.00886,0.04270
1990,Lower Secondary Level,male,As soon as possible,0.05607,47,47,-0.01041,0.12256
