,Unnamed: 0,year,migback,sex,plb0418,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,No migration background,male,As soon as possible,0.33138,147,1960,0.31775,0.34421
1,1,1984,No migration background,male,Next year,0.17453,81,1960,0.16449,0.18132
2,2,1984,No migration background,male,In the next 2 to 5 years,0.34179,166,1960,0.32953,0.35434
3,3,1984,No migration background,male,"In the distant future, in more than five years",0.1523,71,1960,0.146,0.15788
4,4,1984,No migration background,female,As soon as possible,0.1805,158,1960,0.17382,0.18589
5,5,1984,No migration background,female,Next year,0.16161,148,1960,0.15457,0.16824
6,6,1984,No migration background,female,In the next 2 to 5 years,0.38525,360,1960,0.37508,0.39447
7,7,1984,No migration background,female,"In the distant future, in more than five years",0.27264,263,1960,0.266,0.27816
8,8,1984,Direct migration background,male,As soon as possible,0.73431,136,1960,0.60614,0.85881
9,9,1984,Direct migration background,male,In the next 2 to 5 years,0.26569,32,1960,0.1742,0.37813
10,10,1984,Direct migration background,female,As soon as possible,0.38094,162,1960,0.32027,0.45476
11,11,1984,Direct migration background,female,Next year,0.17132,59,1960,0.12501,0.21447
12,12,1984,Direct migration background,female,In the next 2 to 5 years,0.21386,94,1960,0.16088,0.25386
13,13,1984,Direct migration background,female,"In the distant future, in more than five years",0.23387,83,1960,0.18814,0.28725
14,14,1985,No migration background,male,As soon as possible,0.40949,171,1467,0.39193,0.4293
15,15,1985,No migration background,male,Next year,0.20902,90,1467,0.19938,0.22071
16,16,1985,No migration background,male,In the next 2 to 5 years,0.25186,115,1467,0.23767,0.26553
17,17,1985,No migration background,male,"In the distant future, in more than five years",0.12964,59,1467,0.12359,0.13589
18,18,1985,No migration background,female,As soon as possible,0.25834,150,1467,0.24629,0.26982
19,19,1985,No migration background,female,Next year,0.24766,151,1467,0.2376,0.25946
20,20,1985,No migration background,female,In the next 2 to 5 years,0.33568,218,1467,0.32382,0.34459
21,21,1985,No migration background,female,"In the distant future, in more than five years",0.15832,104,1467,0.15241,0.16433
22,22,1985,Direct migration background,male,As soon as possible,1.0,119,1467,0.84952,1.19319
23,23,1985,Direct migration background,female,As soon as possible,0.41727,137,1467,0.35045,0.48475
24,24,1985,Direct migration background,female,Next year,0.18903,47,1467,0.14048,0.24361
25,25,1985,Direct migration background,female,In the next 2 to 5 years,0.2531,72,1467,0.20151,0.31121
26,26,1985,Direct migration background,female,"In the distant future, in more than five years",0.1406,34,1467,0.09347,0.19015
27,27,1986,No migration background,male,As soon as possible,0.31438,121,1448,0.29212,0.33321
28,28,1986,No migration background,male,Next year,0.21204,84,1448,0.19234,0.22975
29,29,1986,No migration background,male,In the next 2 to 5 years,0.32485,133,1448,0.3049,0.34496
