year,bula_h,quintil_oecd,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Lower Saxony,1st Quintile,As soon as possible,0.30345,40,71,0.19575,0.41116
1984,Lower Saxony,1st Quintile,In the next 2 to 5 years,0.36388,31,71,0.25117,0.47659
1984,North Rhine-Westphalia,1st Quintile,As soon as possible,0.41971,96,199,0.35097,0.48846
1984,North Rhine-Westphalia,1st Quintile,In the next 2 to 5 years,0.29894,61,199,0.23517,0.36270
1984,North Rhine-Westphalia,1st Quintile,"In the distant future, in more than five years",0.16371,42,199,0.11217,0.21525
1984,North Rhine-Westphalia,2nd Quintile,As soon as possible,0.17717,36,89,0.09740,0.25695
1984,North Rhine-Westphalia,2nd Quintile,In the next 2 to 5 years,0.42206,53,89,0.31887,0.52526
1984,North Rhine-Westphalia,3rd Quintile,In the next 2 to 5 years,0.42440,43,43,0.27492,0.57388
1984,North Rhine-Westphalia,4th Quintile,In the next 2 to 5 years,0.35833,33,33,0.19219,0.52448
1984,Baden-Wuerttemberg,1st Quintile,As soon as possible,0.18417,34,34,0.05192,0.31642
1984,Bavaria,1st Quintile,As soon as possible,0.28619,36,36,0.13645,0.43593
1985,North Rhine-Westphalia,1st Quintile,As soon as possible,0.48505,90,170,0.40970,0.56040
1985,North Rhine-Westphalia,1st Quintile,Next year,0.18806,34,170,0.12915,0.24698
1985,North Rhine-Westphalia,1st Quintile,In the next 2 to 5 years,0.26011,46,170,0.19397,0.32625
1985,North Rhine-Westphalia,2nd Quintile,In the next 2 to 5 years,0.36393,37,37,0.20676,0.52110
1985,Hesse,1st Quintile,As soon as possible,0.44386,32,32,0.26896,0.61876
1985,Baden-Wuerttemberg,1st Quintile,As soon as possible,0.30617,35,35,0.15125,0.46110
1986,North Rhine-Westphalia,1st Quintile,As soon as possible,0.46565,82,162,0.38860,0.54270
1986,North Rhine-Westphalia,1st Quintile,Next year,0.19319,33,162,0.13221,0.25418
1986,North Rhine-Westphalia,1st Quintile,In the next 2 to 5 years,0.23109,47,162,0.16597,0.29620
1986,North Rhine-Westphalia,2nd Quintile,As soon as possible,0.29703,31,68,0.18761,0.40645
1986,North Rhine-Westphalia,2nd Quintile,In the next 2 to 5 years,0.37539,37,68,0.25944,0.49134
1986,North Rhine-Westphalia,3rd Quintile,In the next 2 to 5 years,0.38040,33,33,0.21219,0.54861
1986,Hesse,1st Quintile,As soon as possible,0.39829,31,31,0.22311,0.57347
1987,North Rhine-Westphalia,1st Quintile,As soon as possible,0.42650,73,154,0.34813,0.50486
1987,North Rhine-Westphalia,1st Quintile,Next year,0.24494,42,154,0.17679,0.31308
1987,North Rhine-Westphalia,1st Quintile,In the next 2 to 5 years,0.23184,39,154,0.16497,0.29871
1987,North Rhine-Westphalia,2nd Quintile,As soon as possible,0.23895,34,106,0.15738,0.32052
1987,North Rhine-Westphalia,2nd Quintile,Next year,0.19566,31,106,0.11978,0.27154
1987,North Rhine-Westphalia,2nd Quintile,In the next 2 to 5 years,0.38433,41,106,0.29129,0.47737
1987,Baden-Wuerttemberg,1st Quintile,As soon as possible,0.31641,32,32,0.15269,0.48013
1987,Baden-Wuerttemberg,2nd Quintile,In the next 2 to 5 years,0.38702,35,35,0.22330,0.55074
1988,North Rhine-Westphalia,1st Quintile,As soon as possible,0.34606,66,159,0.27188,0.42024
1988,North Rhine-Westphalia,1st Quintile,Next year,0.25516,35,159,0.18718,0.32314
1988,North Rhine-Westphalia,1st Quintile,In the next 2 to 5 years,0.31340,58,159,0.24106,0.38573
1988,North Rhine-Westphalia,2nd Quintile,In the next 2 to 5 years,0.32916,35,35,0.17121,0.48712
1988,North Rhine-Westphalia,3rd Quintile,In the next 2 to 5 years,0.42087,35,35,0.25492,0.58682
1989,North Rhine-Westphalia,1st Quintile,As soon as possible,0.41969,56,126,0.33317,0.50620
1989,North Rhine-Westphalia,1st Quintile,Next year,0.21501,35,126,0.14299,0.28703
1989,North Rhine-Westphalia,1st Quintile,In the next 2 to 5 years,0.20948,35,126,0.13814,0.28082
1989,North Rhine-Westphalia,2nd Quintile,In the next 2 to 5 years,0.36857,31,31,0.19594,0.54120
