year,age_gr,sampreg,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,West,As soon as possible,0.07467,295,1195,0.05976,0.08958
1984,17-29 y.,West,Next year,0.07057,229,1195,0.05605,0.08510
1984,17-29 y.,West,In the next 2 to 5 years,0.14085,441,1195,0.12112,0.16058
1984,17-29 y.,West,"In the distant future, in more than five years",0.06956,230,1195,0.05513,0.08399
1984,30-45 y.,West,As soon as possible,0.04579,201,644,0.02963,0.06195
1984,30-45 y.,West,Next year,0.01674,62,644,0.00682,0.02666
1984,30-45 y.,West,In the next 2 to 5 years,0.05231,185,644,0.03510,0.06952
1984,30-45 y.,West,"In the distant future, in more than five years",0.05570,196,644,0.03797,0.07342
1984,46-65 y.,West,As soon as possible,0.02463,118,190,0.00253,0.04673
1984,46-65 y.,West,Next year,0.00891,32,190,-0.00449,0.02232
1984,46-65 y.,West,In the next 2 to 5 years,0.01166,40,190,-0.00364,0.02696
1985,17-29 y.,West,As soon as possible,0.07214,265,934,0.05554,0.08875
1985,17-29 y.,West,Next year,0.07846,230,934,0.06120,0.09571
1985,17-29 y.,West,In the next 2 to 5 years,0.09871,304,934,0.07957,0.11785
1985,17-29 y.,West,"In the distant future, in more than five years",0.04348,135,934,0.03040,0.05657
1985,30-45 y.,West,As soon as possible,0.05240,192,454,0.03188,0.07292
1985,30-45 y.,West,Next year,0.01877,65,454,0.00628,0.03127
1985,30-45 y.,West,In the next 2 to 5 years,0.03663,121,454,0.01933,0.05393
1985,30-45 y.,West,"In the distant future, in more than five years",0.02373,76,454,0.00971,0.03775
1985,46-65 y.,West,As soon as possible,0.03276,130,130,0.00204,0.06348
1986,17-29 y.,West,As soon as possible,0.06418,219,895,0.04811,0.08024
1986,17-29 y.,West,Next year,0.06267,196,895,0.04679,0.07856
1986,17-29 y.,West,In the next 2 to 5 years,0.09667,318,895,0.07730,0.11604
1986,17-29 y.,West,"In the distant future, in more than five years",0.05492,162,895,0.03999,0.06986
1986,30-45 y.,West,As soon as possible,0.04964,162,454,0.02964,0.06964
1986,30-45 y.,West,Next year,0.01528,54,454,0.00398,0.02657
1986,30-45 y.,West,In the next 2 to 5 years,0.04040,131,454,0.02227,0.05853
1986,30-45 y.,West,"In the distant future, in more than five years",0.03667,107,454,0.01936,0.05398
1986,46-65 y.,West,As soon as possible,0.03038,126,126,0.00029,0.06047
1987,17-29 y.,West,As soon as possible,0.05988,205,883,0.04422,0.07554
1987,17-29 y.,West,Next year,0.06918,232,883,0.05243,0.08593
1987,17-29 y.,West,In the next 2 to 5 years,0.09957,309,883,0.07981,0.11934
1987,17-29 y.,West,"In the distant future, in more than five years",0.04413,137,883,0.03058,0.05769
1987,30-45 y.,West,As soon as possible,0.04696,152,459,0.02759,0.06634
1987,30-45 y.,West,Next year,0.02350,76,459,0.00962,0.03737
1987,30-45 y.,West,In the next 2 to 5 years,0.04518,134,459,0.02615,0.06420
1987,30-45 y.,West,"In the distant future, in more than five years",0.03409,97,459,0.01747,0.05071
1987,46-65 y.,West,As soon as possible,0.03432,140,214,0.00987,0.05877
1987,46-65 y.,West,Next year,0.01299,41,214,-0.00222,0.02819
1987,46-65 y.,West,In the next 2 to 5 years,0.01097,33,214,-0.00302,0.02495
1988,17-29 y.,West,As soon as possible,0.05379,192,855,0.03865,0.06892
1988,17-29 y.,West,Next year,0.07269,202,855,0.05528,0.09011
1988,17-29 y.,West,In the next 2 to 5 years,0.11768,333,855,0.09607,0.13930
1988,17-29 y.,West,"In the distant future, in more than five years",0.04608,128,855,0.03202,0.06014
1988,30-45 y.,West,As soon as possible,0.04304,129,433,0.02390,0.06218
1988,30-45 y.,West,Next year,0.03446,92,433,0.01726,0.05167
1988,30-45 y.,West,In the next 2 to 5 years,0.04514,132,433,0.02557,0.06472
1988,30-45 y.,West,"In the distant future, in more than five years",0.02797,80,433,0.01242,0.04352
1988,46-65 y.,West,As soon as possible,0.03232,122,206,0.00811,0.05653
1988,46-65 y.,West,Next year,0.01441,51,206,-0.00190,0.03073
1988,46-65 y.,West,In the next 2 to 5 years,0.01000,33,206,-0.00362,0.02362
1989,17-29 y.,West,As soon as possible,0.04328,155,778,0.02897,0.05758
1989,17-29 y.,West,Next year,0.05978,163,778,0.04311,0.07645
1989,17-29 y.,West,In the next 2 to 5 years,0.11554,323,778,0.09307,0.13802
1989,17-29 y.,West,"In the distant future, in more than five years",0.04852,137,778,0.03341,0.06362
1989,30-45 y.,West,As soon as possible,0.03544,97,362,0.01636,0.05451
1989,30-45 y.,West,Next year,0.02242,66,362,0.00715,0.03770
1989,30-45 y.,West,In the next 2 to 5 years,0.04606,134,362,0.02443,0.06768
1989,30-45 y.,West,"In the distant future, in more than five years",0.02623,65,362,0.00974,0.04271
1989,46-65 y.,West,As soon as possible,0.02888,110,142,0.00123,0.05652
1989,46-65 y.,West,Next year,0.00867,32,142,-0.00663,0.02397
1990,17-29 y.,West,As soon as possible,0.03836,123,744,0.02455,0.05217
1990,17-29 y.,West,Next year,0.06371,178,744,0.04615,0.08127
1990,17-29 y.,West,In the next 2 to 5 years,0.11138,295,744,0.08876,0.13400
1990,17-29 y.,West,"In the distant future, in more than five years",0.05652,148,744,0.03992,0.07313
1990,17-29 y.,East,As soon as possible,0.05605,65,215,0.02523,0.08687
1990,17-29 y.,East,Next year,0.07871,84,215,0.04263,0.11479
1990,17-29 y.,East,In the next 2 to 5 years,0.05401,66,215,0.02372,0.08429
1990,30-45 y.,West,As soon as possible,0.02980,84,327,0.01134,0.04826
1990,30-45 y.,West,Next year,0.02211,64,327,0.00615,0.03807
1990,30-45 y.,West,In the next 2 to 5 years,0.03885,104,327,0.01787,0.05982
1990,30-45 y.,West,"In the distant future, in more than five years",0.02854,75,327,0.01046,0.04661
