year,plb0418,migback,pgisced97,proportion,n,lower_confidence,upper_confidence
1984,As soon as possible,No migration background,middle vocational,0.2789115646258503,16099,0.271983943189328,0.28583918606237263
1984,As soon as possible,Direct migration background,general elementary,0.15816326530612246,16099,0.15252658545345424,0.16379994515879068
1984,As soon as possible,Direct migration background,middle vocational,0.14965986394557823,16099,0.14414917835429303,0.15517054953686343
1984,As soon as possible,Direct migration background,inadequately,0.141156462585034,16099,0.13577792719787907,0.14653499797218894
1984,As soon as possible,No migration background,general elementary,0.1360544217687075,16099,0.13075832215956334,0.14135052137785165
1984,As soon as possible,No migration background,higher education,0.03231292517006803,16099,0.02958135583416451,0.035044494505971545
1984,As soon as possible,No migration background,inadequately,0.02040816326530612,16099,0.0182240198087829,0.022592306721829342
1984,As soon as possible,Direct migration background,vocational + Abi,0.015306122448979591,16099,0.013409679284312581,0.017202565613646602
1984,As soon as possible,Direct migration background,higher vocational,0.013605442176870748,16099,0.011815915053050852,0.015394969300690644
1984,As soon as possible,Indirect migration background,middle vocational,0.01020408163265306,16099,0.008651635954672766,0.011756527310633355
1984,As soon as possible,No migration background,higher vocational,0.01020408163265306,16099,0.008651635954672766,0.011756527310633355
1984,As soon as possible,No migration background,vocational + Abi,0.01020408163265306,16099,0.008651635954672766,0.011756527310633355
1984,As soon as possible,No migration background,in school,0.008503401360544218,16099,0.007085001843765749,0.009921800877322688
1984,As soon as possible,Direct migration background,higher education,0.006802721088435374,16099,0.00553297841870683,0.008072463758163919
1984,As soon as possible,Indirect migration background,general elementary,0.00510204081632653,16099,0.0040014703472171596,0.006202611285435901
1984,As soon as possible,Direct migration background,in school,0.0017006802721088435,16099,0.001064180363380701,0.002337180180836986
1984,As soon as possible,Indirect migration background,in school,0.0017006802721088435,16099,0.001064180363380701,0.002337180180836986
1984,Next year,No migration background,middle vocational,0.36329588014981273,16099,0.35586644685701957,0.3707253134426059
1984,Next year,No migration background,general elementary,0.19850187265917604,16099,0.19234031976189161,0.20466342555646047
1984,Next year,Direct migration background,general elementary,0.09737827715355805,16099,0.09279853997924079,0.10195801432787532
1984,Next year,Direct migration background,middle vocational,0.0749063670411985,16099,0.07083997886162222,0.07897275522077479
1984,Next year,No migration background,in school,0.06741573033707865,16099,0.06354242899878759,0.07128903167536971
1984,Next year,Direct migration background,inadequately,0.0599250936329588,16099,0.056258673644878805,0.0635915136210388
1984,Next year,No migration background,higher vocational,0.026217228464419477,16099,0.02374902445309353,0.028685432475745426
1984,Next year,No migration background,vocational + Abi,0.02247191011235955,16099,0.020182406997805137,0.024761413226913963
1984,Next year,Direct migration background,vocational + Abi,0.02247191011235955,16099,0.020182406997805137,0.024761413226913963
1984,Next year,No migration background,higher education,0.018726591760299626,16099,0.016632570881230567,0.020820612639368685
1984,Next year,No migration background,inadequately,0.0149812734082397,16099,0.013104753269047514,0.016857793547431887
1984,Next year,Indirect migration background,middle vocational,0.0149812734082397,16099,0.013104753269047514,0.016857793547431887
1984,Next year,Direct migration background,higher education,0.00749063670411985,16099,0.00615870089650408,0.008822572511735622
1984,Next year,Indirect migration background,in school,0.003745318352059925,16099,0.0028017221632124,0.00468891454090745
1984,Next year,Indirect migration background,general elementary,0.003745318352059925,16099,0.0028017221632124,0.00468891454090745
1984,Next year,Direct migration background,higher vocational,0.003745318352059925,16099,0.0028017221632124,0.00468891454090745
1984,In the next 2 to 5 years,No migration background,middle vocational,0.4359861591695502,16099,0.42832599895424384,0.44364631938485655
1984,In the next 2 to 5 years,No migration background,general elementary,0.2231833910034602,16099,0.21675137956023807,0.22961540244668235
1984,In the next 2 to 5 years,Direct migration background,middle vocational,0.05709342560553633,16099,0.053509293540289736,0.06067755767078293
1984,In the next 2 to 5 years,Direct migration background,general elementary,0.05536332179930796,16099,0.05183067601487562,0.0588959675837403
1984,In the next 2 to 5 years,No migration background,in school,0.05363321799307959,16099,0.05015302528414224,0.057113410702016934
1984,In the next 2 to 5 years,No migration background,vocational + Abi,0.0328719723183391,16099,0.03011767076420786,0.03562627387247033
1984,In the next 2 to 5 years,No migration background,higher education,0.031141868512110725,16099,0.02845863142021813,0.03382510560400332
1984,In the next 2 to 5 years,No migration background,higher vocational,0.031141868512110725,16099,0.02845863142021813,0.03382510560400332
1984,In the next 2 to 5 years,Direct migration background,inadequately,0.025951557093425604,16099,0.023495555695305228,0.02840755849154598
1984,In the next 2 to 5 years,Direct migration background,higher education,0.015570934256055362,16099,0.013658413440399645,0.01748345507171108
1984,In the next 2 to 5 years,Direct migration background,vocational + Abi,0.01384083044982699,16099,0.01203610474494064,0.01564555615471334
