year,age_gr,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,As soon as possible,0.07467,295,1195,0.05976,0.08958
1984,17-29 y.,Next year,0.07057,229,1195,0.05605,0.08510
1984,17-29 y.,In the next 2 to 5 years,0.14085,441,1195,0.12112,0.16058
1984,17-29 y.,"In the distant future, in more than five years",0.06956,230,1195,0.05513,0.08399
1984,30-45 y.,As soon as possible,0.04579,201,644,0.02963,0.06195
1984,30-45 y.,Next year,0.01674,62,644,0.00682,0.02666
1984,30-45 y.,In the next 2 to 5 years,0.05231,185,644,0.03510,0.06952
1984,30-45 y.,"In the distant future, in more than five years",0.05570,196,644,0.03797,0.07342
1984,46-65 y.,As soon as possible,0.02463,118,190,0.00253,0.04673
1984,46-65 y.,Next year,0.00891,32,190,-0.00449,0.02232
1984,46-65 y.,In the next 2 to 5 years,0.01166,40,190,-0.00364,0.02696
1985,17-29 y.,As soon as possible,0.07214,265,934,0.05554,0.08875
1985,17-29 y.,Next year,0.07846,230,934,0.06120,0.09571
1985,17-29 y.,In the next 2 to 5 years,0.09871,304,934,0.07957,0.11785
1985,17-29 y.,"In the distant future, in more than five years",0.04348,135,934,0.03040,0.05657
1985,30-45 y.,As soon as possible,0.05240,192,454,0.03188,0.07292
1985,30-45 y.,Next year,0.01877,65,454,0.00628,0.03127
1985,30-45 y.,In the next 2 to 5 years,0.03663,121,454,0.01933,0.05393
1985,30-45 y.,"In the distant future, in more than five years",0.02373,76,454,0.00971,0.03775
1985,46-65 y.,As soon as possible,0.03276,130,130,0.00204,0.06348
1986,17-29 y.,As soon as possible,0.06418,219,895,0.04811,0.08024
1986,17-29 y.,Next year,0.06267,196,895,0.04679,0.07856
1986,17-29 y.,In the next 2 to 5 years,0.09667,318,895,0.07730,0.11604
1986,17-29 y.,"In the distant future, in more than five years",0.05492,162,895,0.03999,0.06986
1986,30-45 y.,As soon as possible,0.04964,162,454,0.02964,0.06964
1986,30-45 y.,Next year,0.01528,54,454,0.00398,0.02657
1986,30-45 y.,In the next 2 to 5 years,0.04040,131,454,0.02227,0.05853
1986,30-45 y.,"In the distant future, in more than five years",0.03667,107,454,0.01936,0.05398
1986,46-65 y.,As soon as possible,0.03038,126,126,0.00029,0.06047
1987,17-29 y.,As soon as possible,0.05988,205,883,0.04422,0.07554
1987,17-29 y.,Next year,0.06918,232,883,0.05243,0.08593
1987,17-29 y.,In the next 2 to 5 years,0.09957,309,883,0.07981,0.11934
1987,17-29 y.,"In the distant future, in more than five years",0.04413,137,883,0.03058,0.05769
1987,30-45 y.,As soon as possible,0.04696,152,459,0.02759,0.06634
1987,30-45 y.,Next year,0.02350,76,459,0.00962,0.03737
1987,30-45 y.,In the next 2 to 5 years,0.04518,134,459,0.02615,0.06420
1987,30-45 y.,"In the distant future, in more than five years",0.03409,97,459,0.01747,0.05071
1987,46-65 y.,As soon as possible,0.03432,140,214,0.00987,0.05877
1987,46-65 y.,Next year,0.01299,41,214,-0.00222,0.02819
1987,46-65 y.,In the next 2 to 5 years,0.01097,33,214,-0.00302,0.02495
1988,17-29 y.,As soon as possible,0.05379,192,855,0.03865,0.06892
1988,17-29 y.,Next year,0.07269,202,855,0.05528,0.09011
1988,17-29 y.,In the next 2 to 5 years,0.11768,333,855,0.09607,0.13930
1988,17-29 y.,"In the distant future, in more than five years",0.04608,128,855,0.03202,0.06014
1988,30-45 y.,As soon as possible,0.04304,129,433,0.02390,0.06218
1988,30-45 y.,Next year,0.03446,92,433,0.01726,0.05167
1988,30-45 y.,In the next 2 to 5 years,0.04514,132,433,0.02557,0.06472
1988,30-45 y.,"In the distant future, in more than five years",0.02797,80,433,0.01242,0.04352
1988,46-65 y.,As soon as possible,0.03232,122,206,0.00811,0.05653
1988,46-65 y.,Next year,0.01441,51,206,-0.00190,0.03073
1988,46-65 y.,In the next 2 to 5 years,0.01000,33,206,-0.00362,0.02362
1989,17-29 y.,As soon as possible,0.04328,155,778,0.02897,0.05758
1989,17-29 y.,Next year,0.05978,163,778,0.04311,0.07645
1989,17-29 y.,In the next 2 to 5 years,0.11554,323,778,0.09307,0.13802
1989,17-29 y.,"In the distant future, in more than five years",0.04852,137,778,0.03341,0.06362
1989,30-45 y.,As soon as possible,0.03544,97,362,0.01636,0.05451
1989,30-45 y.,Next year,0.02242,66,362,0.00715,0.03770
1989,30-45 y.,In the next 2 to 5 years,0.04606,134,362,0.02443,0.06768
1989,30-45 y.,"In the distant future, in more than five years",0.02623,65,362,0.00974,0.04271
1989,46-65 y.,As soon as possible,0.02888,110,142,0.00123,0.05652
1989,46-65 y.,Next year,0.00867,32,142,-0.00663,0.02397
1990,17-29 y.,As soon as possible,0.04205,188,970,0.02941,0.05469
1990,17-29 y.,Next year,0.06684,262,970,0.05111,0.08256
1990,17-29 y.,In the next 2 to 5 years,0.09942,361,970,0.08058,0.11826
1990,17-29 y.,"In the distant future, in more than five years",0.04617,159,970,0.03296,0.05939
1990,30-45 y.,As soon as possible,0.02756,113,390,0.01129,0.04383
1990,30-45 y.,Next year,0.02052,88,390,0.00643,0.03460
1990,30-45 y.,In the next 2 to 5 years,0.03216,112,390,0.01463,0.04969
1990,30-45 y.,"In the distant future, in more than five years",0.02299,77,390,0.00809,0.03788
1990,46-65 y.,As soon as possible,0.02106,97,177,-0.00016,0.04227
1990,46-65 y.,Next year,0.00967,47,177,-0.00479,0.02413
1990,46-65 y.,In the next 2 to 5 years,0.00862,33,177,-0.00504,0.02227
1991,17-29 y.,As soon as possible,0.04912,211,937,0.03528,0.06297
1991,17-29 y.,Next year,0.05842,223,937,0.04340,0.07345
1991,17-29 y.,In the next 2 to 5 years,0.09694,354,937,0.07798,0.11589
1991,17-29 y.,"In the distant future, in more than five years",0.04150,149,937,0.02872,0.05428
1991,30-45 y.,As soon as possible,0.03696,187,504,0.02047,0.05345
1991,30-45 y.,Next year,0.02536,112,504,0.01162,0.03910
1991,30-45 y.,In the next 2 to 5 years,0.03756,134,504,0.02094,0.05417
1991,30-45 y.,"In the distant future, in more than five years",0.02117,71,504,0.00859,0.03375
1991,46-65 y.,As soon as possible,0.02725,142,194,0.00428,0.05023
1991,46-65 y.,Next year,0.01193,52,194,-0.00339,0.02724
1992,17-29 y.,As soon as possible,0.05996,235,1009,0.04530,0.07462
1992,17-29 y.,Next year,0.06823,235,1009,0.05267,0.08380
1992,17-29 y.,In the next 2 to 5 years,0.10903,400,1009,0.08979,0.12827
1992,17-29 y.,"In the distant future, in more than five years",0.03891,139,1009,0.02697,0.05085
1992,30-45 y.,As soon as possible,0.04944,249,622,0.03239,0.06649
1992,30-45 y.,Next year,0.03316,141,622,0.01908,0.04725
1992,30-45 y.,In the next 2 to 5 years,0.04187,163,622,0.02612,0.05762
1992,30-45 y.,"In the distant future, in more than five years",0.01964,69,622,0.00873,0.03055
1992,46-65 y.,As soon as possible,0.03748,198,258,0.01426,0.06070
1992,46-65 y.,Next year,0.01405,60,258,-0.00034,0.02845
1993,17-29 y.,As soon as possible,0.07024,260,1039,0.05469,0.08578
1993,17-29 y.,Next year,0.06187,221,1039,0.04722,0.07653
1993,17-29 y.,In the next 2 to 5 years,0.11955,406,1039,0.09981,0.13928
1993,17-29 y.,"In the distant future, in more than five years",0.04082,152,1039,0.02878,0.05286
1993,30-45 y.,As soon as possible,0.05299,263,594,0.03496,0.07101
1993,30-45 y.,Next year,0.02491,118,594,0.01237,0.03746
1993,30-45 y.,In the next 2 to 5 years,0.04413,151,594,0.02760,0.06066
1993,30-45 y.,"In the distant future, in more than five years",0.01645,62,594,0.00622,0.02669
1993,46-65 y.,As soon as possible,0.04117,195,263,0.01711,0.06523
1993,46-65 y.,Next year,0.01772,68,263,0.00174,0.03369
1994,17-29 y.,As soon as possible,0.07993,290,1037,0.06342,0.09645
1994,17-29 y.,Next year,0.07498,231,1037,0.05894,0.09102
1994,17-29 y.,In the next 2 to 5 years,0.12181,383,1037,0.10190,0.14173
1994,17-29 y.,"In the distant future, in more than five years",0.03878,133,1037,0.02703,0.05054
1994,30-45 y.,As soon as possible,0.05907,288,660,0.04107,0.07708
1994,30-45 y.,Next year,0.03108,133,660,0.01783,0.04433
1994,30-45 y.,In the next 2 to 5 years,0.04264,166,660,0.02721,0.05806
1994,30-45 y.,"In the distant future, in more than five years",0.01933,73,660,0.00882,0.02985
1994,46-65 y.,As soon as possible,0.04556,207,273,0.02078,0.07034
1994,46-65 y.,Next year,0.01778,66,273,0.00208,0.03349
1995,17-29 y.,As soon as possible,0.06901,224,1059,0.05373,0.08428
