year,age_gr,regtyp,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No answer / don't know,As soon as possible,0.20995,295,1195,0.18684,0.23305
1984,17-29 y.,No answer / don't know,Next year,0.19843,229,1195,0.17581,0.22106
1984,17-29 y.,No answer / don't know,In the next 2 to 5 years,0.39603,441,1195,0.36829,0.42377
1984,17-29 y.,No answer / don't know,"In the distant future, in more than five years",0.19559,230,1195,0.17309,0.21809
1984,30-45 y.,No answer / don't know,As soon as possible,0.26851,201,644,0.23425,0.30276
1984,30-45 y.,No answer / don't know,Next year,0.09816,62,644,0.07516,0.12116
1984,30-45 y.,No answer / don't know,In the next 2 to 5 years,0.30673,185,644,0.27108,0.34237
1984,30-45 y.,No answer / don't know,"In the distant future, in more than five years",0.32660,196,644,0.29035,0.36285
1984,46-65 y.,No answer / don't know,As soon as possible,0.48909,118,190,0.41783,0.56036
1984,46-65 y.,No answer / don't know,Next year,0.17701,32,190,0.12259,0.23142
1984,46-65 y.,No answer / don't know,In the next 2 to 5 years,0.23151,40,190,0.17137,0.29164
1985,17-29 y.,Urban regions,As soon as possible,0.22639,204,746,0.19634,0.25644
1985,17-29 y.,Urban regions,Next year,0.25702,177,746,0.22564,0.28840
1985,17-29 y.,Urban regions,In the next 2 to 5 years,0.35805,252,746,0.32362,0.39248
1985,17-29 y.,Urban regions,"In the distant future, in more than five years",0.15854,113,746,0.13232,0.18477
1985,17-29 y.,Rural regions,As soon as possible,0.30836,61,166,0.23789,0.37883
1985,17-29 y.,Rural regions,Next year,0.30187,53,166,0.23182,0.37192
1985,17-29 y.,Rural regions,In the next 2 to 5 years,0.27236,52,166,0.20443,0.34029
1985,30-45 y.,Urban regions,As soon as possible,0.36628,140,345,0.31536,0.41719
1985,30-45 y.,Urban regions,Next year,0.15702,54,345,0.11857,0.19546
1985,30-45 y.,Urban regions,In the next 2 to 5 years,0.29539,95,345,0.24718,0.34360
1985,30-45 y.,Urban regions,"In the distant future, in more than five years",0.18132,56,345,0.14060,0.22203
1985,30-45 y.,Rural regions,As soon as possible,0.48123,52,52,0.34410,0.61836
1985,46-65 y.,Urban regions,As soon as possible,0.63568,100,100,0.54088,0.73048
1986,17-29 y.,Urban regions,As soon as possible,0.22146,176,727,0.19126,0.25167
1986,17-29 y.,Urban regions,Next year,0.23404,158,727,0.20324,0.26484
1986,17-29 y.,Urban regions,In the next 2 to 5 years,0.36765,270,727,0.33258,0.40272
1986,17-29 y.,Urban regions,"In the distant future, in more than five years",0.17685,123,727,0.14909,0.20460
1986,17-29 y.,Rural regions,As soon as possible,0.26089,43,168,0.19429,0.32749
1986,17-29 y.,Rural regions,Next year,0.19492,38,168,0.13484,0.25500
1986,17-29 y.,Rural regions,In the next 2 to 5 years,0.27825,48,168,0.21028,0.34622
1986,17-29 y.,Rural regions,"In the distant future, in more than five years",0.26594,39,168,0.19893,0.33295
1986,30-45 y.,Urban regions,As soon as possible,0.32936,122,361,0.28081,0.37791
1986,30-45 y.,Urban regions,Next year,0.09811,41,361,0.06738,0.12884
1986,30-45 y.,Urban regions,In the next 2 to 5 years,0.30464,111,361,0.25710,0.35219
1986,30-45 y.,Urban regions,"In the distant future, in more than five years",0.26789,87,361,0.22214,0.31364
1986,30-45 y.,Rural regions,As soon as possible,0.41428,40,40,0.25968,0.56889
1986,46-65 y.,Urban regions,As soon as possible,0.62299,96,96,0.52553,0.72044
1987,17-29 y.,Urban regions,As soon as possible,0.21649,161,717,0.18632,0.24666
1987,17-29 y.,Urban regions,Next year,0.24743,183,717,0.21582,0.27904
1987,17-29 y.,Urban regions,In the next 2 to 5 years,0.38431,262,717,0.34868,0.41994
1987,17-29 y.,Urban regions,"In the distant future, in more than five years",0.15177,111,717,0.12549,0.17805
1987,17-29 y.,Rural regions,As soon as possible,0.23030,44,140,0.16031,0.30029
1987,17-29 y.,Rural regions,Next year,0.27565,49,140,0.20136,0.34993
1987,17-29 y.,Rural regions,In the next 2 to 5 years,0.29665,47,140,0.22071,0.37258
1987,30-45 y.,Urban regions,As soon as possible,0.27157,112,370,0.22619,0.31695
1987,30-45 y.,Urban regions,Next year,0.16660,65,370,0.12858,0.20462
1987,30-45 y.,Urban regions,In the next 2 to 5 years,0.31547,112,370,0.26805,0.36288
1987,30-45 y.,Urban regions,"In the distant future, in more than five years",0.24636,81,370,0.20240,0.29033
1987,30-45 y.,Rural regions,As soon as possible,0.44653,40,40,0.29050,0.60255
1987,46-65 y.,Urban regions,As soon as possible,0.53680,108,145,0.45536,0.61825
1987,46-65 y.,Urban regions,Next year,0.23383,37,145,0.16470,0.30297
1987,46-65 y.,Rural regions,As soon as possible,0.66839,32,32,0.50266,0.83412
1988,17-29 y.,Urban regions,As soon as possible,0.17723,151,698,0.14888,0.20558
1988,17-29 y.,Urban regions,Next year,0.23800,157,698,0.20639,0.26962
1988,17-29 y.,Urban regions,In the next 2 to 5 years,0.43307,286,698,0.39628,0.46985
1988,17-29 y.,Urban regions,"In the distant future, in more than five years",0.15170,104,698,0.12507,0.17834
1988,17-29 y.,Rural regions,As soon as possible,0.21325,41,133,0.14337,0.28312
1988,17-29 y.,Rural regions,Next year,0.29350,45,133,0.21582,0.37118
1988,17-29 y.,Rural regions,In the next 2 to 5 years,0.31008,47,133,0.23118,0.38899
1988,30-45 y.,Urban regions,As soon as possible,0.25559,94,343,0.20936,0.30182
1988,30-45 y.,Urban regions,Next year,0.22251,73,343,0.17843,0.26660
1988,30-45 y.,Urban regions,In the next 2 to 5 years,0.31420,107,343,0.26500,0.36340
1988,30-45 y.,Urban regions,"In the distant future, in more than five years",0.20769,69,343,0.16470,0.25069
1988,30-45 y.,Rural regions,As soon as possible,0.37915,35,35,0.21606,0.54224
1988,46-65 y.,Urban regions,As soon as possible,0.53961,96,137,0.45584,0.62338
1988,46-65 y.,Urban regions,Next year,0.24126,41,137,0.16935,0.31316
