year,migback,regtyp,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,No answer / don't know,As soon as possible,0.23299,305,1393,0.21078,0.25520
1984,No migration background,No answer / don't know,Next year,0.16611,229,1393,0.14656,0.18567
1984,No migration background,No answer / don't know,In the next 2 to 5 years,0.37009,525,1393,0.34472,0.39545
1984,No migration background,No answer / don't know,"In the distant future, in more than five years",0.23080,334,1393,0.20867,0.25294
1984,Direct migration background,No answer / don't know,As soon as possible,0.44675,298,607,0.40717,0.48634
1984,Direct migration background,No answer / don't know,Next year,0.15567,87,607,0.12681,0.18454
1984,Direct migration background,No answer / don't know,In the next 2 to 5 years,0.21228,126,607,0.17972,0.24484
1984,Direct migration background,No answer / don't know,"In the distant future, in more than five years",0.18529,96,607,0.15435,0.21622
1985,No migration background,Urban regions,As soon as possible,0.28979,216,788,0.25809,0.32148
1985,No migration background,Urban regions,Next year,0.23660,183,788,0.20690,0.26629
1985,No migration background,Urban regions,In the next 2 to 5 years,0.31764,262,788,0.28512,0.35017
1985,No migration background,Urban regions,"In the distant future, in more than five years",0.15597,127,788,0.13062,0.18132
1985,No migration background,Rural regions,As soon as possible,0.41227,105,270,0.35345,0.47110
1985,No migration background,Rural regions,Next year,0.21720,58,270,0.16793,0.26648
1985,No migration background,Rural regions,In the next 2 to 5 years,0.25123,71,270,0.19939,0.30306
1985,No migration background,Rural regions,"In the distant future, in more than five years",0.11930,36,270,0.08056,0.15803
1985,Direct migration background,Urban regions,As soon as possible,0.49361,221,408,0.44504,0.54219
1985,Direct migration background,Urban regions,Next year,0.15862,62,408,0.12312,0.19411
1985,Direct migration background,Urban regions,In the next 2 to 5 years,0.25386,86,408,0.21157,0.29614
1985,Direct migration background,Urban regions,"In the distant future, in more than five years",0.09391,39,408,0.06557,0.12225
1985,Direct migration background,Rural regions,As soon as possible,0.44210,35,35,0.27516,0.60904
1986,No migration background,Urban regions,As soon as possible,0.27268,196,788,0.24157,0.30379
1986,No migration background,Urban regions,Next year,0.19552,150,788,0.16781,0.22323
1986,No migration background,Urban regions,In the next 2 to 5 years,0.33540,279,788,0.30242,0.36839
1986,No migration background,Urban regions,"In the distant future, in more than five years",0.19639,163,788,0.16864,0.22415
1986,No migration background,Rural regions,As soon as possible,0.36912,81,237,0.30755,0.43069
