year,migback,sampreg,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,West,As soon as possible,0.02863,305,1393,0.01987,0.03739
1984,No migration background,West,Next year,0.02041,229,1393,0.01298,0.02784
1984,No migration background,West,In the next 2 to 5 years,0.04547,525,1393,0.03452,0.05641
1984,No migration background,West,"In the distant future, in more than five years",0.02836,334,1393,0.01964,0.03708
1984,Direct migration background,West,As soon as possible,0.07161,298,607,0.05108,0.09214
1984,Direct migration background,West,Next year,0.02495,87,607,0.01253,0.03737
1984,Direct migration background,West,In the next 2 to 5 years,0.03403,126,607,0.01959,0.04846
1984,Direct migration background,West,"In the distant future, in more than five years",0.02970,96,607,0.01618,0.04322
1985,No migration background,West,As soon as possible,0.03316,321,1058,0.02237,0.04396
1985,No migration background,West,Next year,0.02379,241,1058,0.01460,0.03298
1985,No migration background,West,In the next 2 to 5 years,0.03083,333,1058,0.02041,0.04125
1985,No migration background,West,"In the distant future, in more than five years",0.01503,163,1058,0.00769,0.02236
1985,Direct migration background,West,As soon as possible,0.06730,256,470,0.04462,0.08997
1985,Direct migration background,West,Next year,0.02342,73,470,0.00973,0.03711
1985,Direct migration background,West,In the next 2 to 5 years,0.03407,98,470,0.01766,0.05049
1985,Direct migration background,West,"In the distant future, in more than five years",0.01403,43,470,0.00339,0.02467
1986,No migration background,West,As soon as possible,0.02996,277,1025,0.01952,0.04041
1986,No migration background,West,Next year,0.01889,193,1025,0.01055,0.02723
1986,No migration background,West,In the next 2 to 5 years,0.03186,340,1025,0.02110,0.04261
1986,No migration background,West,"In the distant future, in more than five years",0.02030,215,1025,0.01166,0.02893
1986,Direct migration background,West,As soon as possible,0.06206,219,460,0.03999,0.08413
1986,Direct migration background,West,Next year,0.01934,79,460,0.00674,0.03194
1986,Direct migration background,West,In the next 2 to 5 years,0.03187,117,460,0.01580,0.04794
1986,Direct migration background,West,"In the distant future, in more than five years",0.01899,45,460,0.00651,0.03148
1987,No migration background,West,As soon as possible,0.02861,265,1044,0.01849,0.03873
1987,No migration background,West,Next year,0.02289,238,1044,0.01381,0.03196
1987,No migration background,West,In the next 2 to 5 years,0.03387,356,1044,0.02289,0.04485
1987,No migration background,West,"In the distant future, in more than five years",0.01775,185,1044,0.00974,0.02576
1987,Direct migration background,West,As soon as possible,0.06733,223,466,0.04455,0.09010
1987,Direct migration background,West,Next year,0.02498,96,466,0.01079,0.03916
1987,Direct migration background,West,In the next 2 to 5 years,0.03018,96,466,0.01463,0.04572
1987,Direct migration background,West,"In the distant future, in more than five years",0.01442,51,466,0.00359,0.02526
1988,No migration background,West,As soon as possible,0.02648,224,991,0.01648,0.03649
1988,No migration background,West,Next year,0.02625,241,991,0.01629,0.03621
1988,No migration background,West,In the next 2 to 5 years,0.03688,363,991,0.02514,0.04861
1988,No migration background,West,"In the distant future, in more than five years",0.01604,163,991,0.00822,0.02387
1988,Direct migration background,West,As soon as possible,0.05529,202,439,0.03388,0.07669
1988,Direct migration background,West,Next year,0.02966,89,439,0.01377,0.04555
1988,Direct migration background,West,In the next 2 to 5 years,0.03577,102,439,0.01837,0.05316
1988,Direct migration background,West,"In the distant future, in more than five years",0.01861,46,439,0.00595,0.03127
1988,Indirect migration background,West,In the next 2 to 5 years,0.01614,33,33,-0.02752,0.05979
1989,No migration background,West,As soon as possible,0.02200,186,858,0.01218,0.03182
1989,No migration background,West,Next year,0.01961,185,858,0.01032,0.02889
1989,No migration background,West,In the next 2 to 5 years,0.03584,333,858,0.02339,0.04829
1989,No migration background,West,"In the distant future, in more than five years",0.01671,154,858,0.00813,0.02529
1989,Direct migration background,West,As soon as possible,0.04715,159,365,0.02538,0.06893
1989,Direct migration background,West,Next year,0.02047,58,365,0.00593,0.03502
1989,Direct migration background,West,In the next 2 to 5 years,0.04035,110,365,0.02013,0.06056
1989,Direct migration background,West,"In the distant future, in more than five years",0.01496,38,365,0.00249,0.02744
1989,Indirect migration background,West,In the next 2 to 5 years,0.02831,43,43,-0.02185,0.07847
1990,No migration background,West,As soon as possible,0.01854,143,781,0.00907,0.02800
1990,No migration background,West,Next year,0.01989,183,781,0.01009,0.02968
1990,No migration background,West,In the next 2 to 5 years,0.03323,291,781,0.02065,0.04581
1990,No migration background,West,"In the distant future, in more than five years",0.01865,164,781,0.00915,0.02814
1990,No migration background,East,As soon as possible,0.01823,105,303,0.00314,0.03332
1990,No migration background,East,Next year,0.02170,119,303,0.00527,0.03814
1990,No migration background,East,In the next 2 to 5 years,0.01333,79,303,0.00040,0.02627
1990,Direct migration background,West,As soon as possible,0.03991,134,339,0.01904,0.06078
1990,Direct migration background,West,Next year,0.02285,66,339,0.00692,0.03879
1990,Direct migration background,West,In the next 2 to 5 years,0.03606,97,339,0.01618,0.05593
1990,Direct migration background,West,"In the distant future, in more than five years",0.01696,42,339,0.00319,0.03073
1990,Indirect migration background,West,In the next 2 to 5 years,0.02316,38,38,-0.02531,0.07163
1991,No migration background,West,As soon as possible,0.01604,133,740,0.00698,0.02510
1991,No migration background,West,Next year,0.01796,157,740,0.00838,0.02753
1991,No migration background,West,In the next 2 to 5 years,0.03345,306,740,0.02048,0.04641
1991,No migration background,West,"In the distant future, in more than five years",0.01578,144,740,0.00679,0.02476
1991,No migration background,East,As soon as possible,0.04980,262,489,0.03050,0.06910
1991,No migration background,East,Next year,0.02532,135,489,0.01138,0.03926
1991,No migration background,East,In the next 2 to 5 years,0.01711,92,489,0.00561,0.02862
1991,Direct migration background,West,As soon as possible,0.04038,119,307,0.01832,0.06243
1991,Direct migration background,West,Next year,0.02660,68,307,0.00857,0.04463
1991,Direct migration background,West,In the next 2 to 5 years,0.02753,80,307,0.00919,0.04586
1991,Direct migration background,West,"In the distant future, in more than five years",0.01545,40,307,0.00163,0.02926
1991,Indirect migration background,West,In the next 2 to 5 years,0.01801,39,39,-0.02427,0.06030
1992,No migration background,West,As soon as possible,0.01675,132,778,0.00773,0.02577
1992,No migration background,West,Next year,0.02190,189,778,0.01161,0.03219
1992,No migration background,West,In the next 2 to 5 years,0.03487,328,778,0.02197,0.04777
1992,No migration background,West,"In the distant future, in more than five years",0.01407,129,778,0.00579,0.02235
1992,No migration background,East,As soon as possible,0.08001,377,644,0.05904,0.10098
1992,No migration background,East,Next year,0.03315,165,644,0.01931,0.04698
1992,No migration background,East,In the next 2 to 5 years,0.01713,102,644,0.00710,0.02717
1992,Direct migration background,West,As soon as possible,0.05312,137,324,0.02866,0.07758
