"year","bildungsniveau","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"1984","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1984","(Fach-)Abitur","Westdeutschland","7.55","7.5","436","5","6","9","10","10","7.33","7.77","0","10","8","8"
"1984","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1984","(noch) kein Abschluss","Westdeutschland","7","7.5","647","3","5","9","10","10","6.81","7.19","0","10","8","8"
"1984","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1984","AkademikerIn","Westdeutschland","7.83","7.5","613","5","7","9","10","10","7.67","7.99","0","10","8","8"
"1984","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1984","Hauptschule","Westdeutschland","7.69","7.5","4078","5","7","10","10","10","7.62","7.76","0","10","8","8"
"1984","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1984","Realschule","Westdeutschland","7.76","7.5","1154","5","7","10","10","10","7.63","7.89","0","10","8","8"
"1985","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1985","(Fach-)Abitur","Westdeutschland","7.14","7.5","397","4","6","9","10","10","6.9","7.38","0","10","8","8"
"1985","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1985","(noch) kein Abschluss","Westdeutschland","7.18","7.5","503","4","5","9","10","10","6.98","7.38","0","10","8","8"
"1985","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1985","AkademikerIn","Westdeutschland","7.65","7.5","583","5","7","9","10","10","7.49","7.81","0","10","8","8"
"1985","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Hauptschule","Westdeutschland","7.52","7.5","3620","5","6","9","10","10","7.45","7.59","0","10","8","8"
"1985","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Realschule","Westdeutschland","7.6","7.5","1116","5","7","9","10","10","7.48","7.72","0","10","8","8"
"1986","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1986","(Fach-)Abitur","Westdeutschland","7.19","7.5","431","4","6","9","10","10","6.97","7.41","0","10","8","8"
"1986","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1986","(noch) kein Abschluss","Westdeutschland","7.22","7.5","470","4","6","9","10","10","7","7.44","0","10","7","8"
"1986","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1986","AkademikerIn","Westdeutschland","7.59","7.5","581","5","7","9","10","10","7.44","7.74","0","10","8","8"
"1986","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Hauptschule","Westdeutschland","7.4","7.5","3488","5","6","9","10","10","7.33","7.47","0","10","8","8"
"1986","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Realschule","Westdeutschland","7.44","7.5","1079","5","6","9","10","10","7.32","7.56","0","10","8","8"
"1987","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1987","(Fach-)Abitur","Westdeutschland","7.19","7.5","420","4","6","9","10","10","6.99","7.39","0","10","8","8"
"1987","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1987","(noch) kein Abschluss","Westdeutschland","7.23","7.5","455","5","6","9","10","10","7.03","7.43","0","10","7","8"
"1987","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1987","AkademikerIn","Westdeutschland","7.62","7.5","573","5","7","9","10","10","7.46","7.78","0","10","8","8"
"1987","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Hauptschule","Westdeutschland","7.4","7.5","3462","5","6","9","10","10","7.33","7.47","0","10","8","8"
"1987","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Realschule","Westdeutschland","7.45","7.5","1112","5","6","9","10","10","7.33","7.57","0","10","8","8"
"1988","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1988","(Fach-)Abitur","Westdeutschland","7.09","7.5","392","3","6","9","10","10","6.88","7.3","0","10","7","8"
"1988","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1988","(noch) kein Abschluss","Westdeutschland","6.94","6.5","403","4","5","8","10","10","6.73","7.15","0","10","7","8"
"1988","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1988","AkademikerIn","Westdeutschland","7.42","7.5","549","5","7","9","10","10","7.26","7.58","0","10","8","8"
"1988","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Hauptschule","Westdeutschland","7.24","7.5","3279","5","6","9","10","10","7.17","7.31","0","10","8","8"
"1988","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Realschule","Westdeutschland","7.32","7.5","1081","5","6","9","10","10","7.2","7.44","0","10","8","8"
"1989","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1989","(Fach-)Abitur","Westdeutschland","7.21","7.5","402","4","6","9","10","10","7.01","7.41","0","10","7","8"
"1989","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1989","(noch) kein Abschluss","Westdeutschland","6.69","6.5","387","4","5","8","10","10","6.47","6.91","0","10","7","7"
"1989","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1989","AkademikerIn","Westdeutschland","7.73","7.5","547","5","7","9","10","10","7.58","7.88","0","10","8","8"
"1989","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Hauptschule","Westdeutschland","7.18","7.5","3155","5","6","9","10","10","7.11","7.25","0","10","8","8"
"1989","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Realschule","Westdeutschland","7.34","7.5","1071","5","6","9","10","10","7.22","7.46","0","10","8","8"
"1990","(Fach-)Abitur","Ostdeutschland","7.04","7.5","81","4","6","8","10","10","6.51","7.57","0","10","7","8"
"1990","(Fach-)Abitur","Westdeutschland","7.12","6.5","411","5","6","9","9","10","6.93","7.31","0","10","7","8"
"1990","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1990","(noch) kein Abschluss","Westdeutschland","6.93","6.5","378","4","5","9","10","10","6.72","7.14","0","10","7","8"
"1990","AkademikerIn","Ostdeutschland","7","7.5","849","4","5","8","10","10","6.84","7.16","0","10","7","8"
"1990","AkademikerIn","Westdeutschland","7.39","7.5","547","5","7","9","9","10","7.23","7.55","0","10","8","8"
"1990","Hauptschule","Ostdeutschland","7.63","7.5","1095","5","6","10","10","10","7.5","7.76","0","10","8","8"
"1990","Hauptschule","Westdeutschland","7.19","7.5","3109","5","6","9","10","10","7.12","7.26","0","10","8","8"
