"year","age_gr","migback","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"1984","17-34","direkter Migrationshintergrund","7.25","7.5","844","4","5","9","10","10","7.08","7.42","0","10","8","8"
"1984","17-34","indirekter Migrationshintergrund","7.95","8.5","49","4","6","10","10","10","7.25","8.65","0","10","8","10"
"1984","17-34","kein Migrationshintergrund","7.56","7.5","1950","5","6","9","10","10","7.46","7.66","0","10","8","8"
"1984","17-34","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1984","35-65","direkter Migrationshintergrund","7.6","7.5","1373","4","6","10","10","10","7.47","7.73","0","10","8","8"
"1984","35-65","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1984","35-65","kein Migrationshintergrund","7.83","7.5","2700","5","7","10","10","10","7.75","7.91","0","10","8","8"
"1984","35-65","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1984","66 +","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"1984","66 +","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1984","66 +","kein Migrationshintergrund","8.36","8.5","44","5","8","10","10","10","7.78","8.94","3","10","8","10"
"1984","66 +","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1985","17-34","direkter Migrationshintergrund","7.27","7.5","702","5","6","9","10","10","7.1","7.44","0","10","8","8"
"1985","17-34","indirekter Migrationshintergrund","7.58","6.5","53","5","5","10","10","10","7.09","8.07","4","10","8","10"
"1985","17-34","kein Migrationshintergrund","7.45","7.5","1835","5","6","9","10","10","7.35","7.55","0","10","8","8"
"1985","17-34","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1985","35-65","direkter Migrationshintergrund","7.39","7.5","1182","4","6","9","10","10","7.26","7.52","0","10","8","8"
"1985","35-65","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1985","35-65","kein Migrationshintergrund","7.63","7.5","2473","5","7","9","10","10","7.55","7.71","0","10","8","8"
"1985","35-65","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1985","66 +","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"1985","66 +","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1985","66 +","kein Migrationshintergrund","6.8","7.5","38","2","5","10","10","10","5.87","7.73","0","10","6","9"
"1985","66 +","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1986","17-34","direkter Migrationshintergrund","7.28","7.5","674","5","6","9","10","10","7.11","7.45","0","10","8","8"
"1986","17-34","indirekter Migrationshintergrund","7.39","7.5","67","5","6","9","10","10","6.94","7.84","2","10","8","9"
"1986","17-34","kein Migrationshintergrund","7.36","7.5","1867","5","6","9","10","10","7.26","7.46","0","10","8","8"
"1986","17-34","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1986","35-65","direkter Migrationshintergrund","7.43","7.5","1152","5","6","9","10","10","7.3","7.56","0","10","8","8"
"1986","35-65","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1986","35-65","kein Migrationshintergrund","7.44","7.5","2330","5","6","9","10","10","7.36","7.52","0","10","8","8"
"1986","35-65","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1986","66 +","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"1986","66 +","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1986","66 +","kein Migrationshintergrund","","","","","","","","","","","","","",""
"1986","66 +","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1987","17-34","direkter Migrationshintergrund","7.26","7.5","667","5","6","9","10","10","7.1","7.42","0","10","8","8"
"1987","17-34","indirekter Migrationshintergrund","6.71","7.5","74","4","5","8","9","10","6.15","7.27","0","10","7","8"
"1987","17-34","kein Migrationshintergrund","7.32","7.5","1866","4","6","9","10","10","7.22","7.42","0","10","8","8"
"1987","17-34","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1987","35-65","direkter Migrationshintergrund","7.41","7.5","1137","5","6","9","10","10","7.29","7.53","0","10","8","8"
"1987","35-65","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1987","35-65","kein Migrationshintergrund","7.49","7.5","2328","5","6","9","10","10","7.41","7.57","0","10","8","8"
"1987","35-65","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1987","66 +","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"1987","66 +","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1987","66 +","kein Migrationshintergrund","7.87","7.5","34","5","7","10","10","10","7.08","8.66","1","10","7","10"
"1987","66 +","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1988","17-34","direkter Migrationshintergrund","7.21","6.5","647","4","6","9","10","10","7.04","7.38","0","10","7","8"
"1988","17-34","indirekter Migrationshintergrund","7.84","7.5","101","5","7","10","10","10","7.45","8.23","2","10","8","8"
"1988","17-34","kein Migrationshintergrund","7.27","7.5","1729","4","6","9","10","10","7.17","7.37","0","10","8","8"
"1988","17-34","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1988","35-65","direkter Migrationshintergrund","7.22","7.5","1044","4","6","9","10","10","7.09","7.35","0","10","7","8"
"1988","35-65","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1988","35-65","kein Migrationshintergrund","7.23","7.5","2244","5","6","9","10","10","7.14","7.32","0","10","8","8"
"1988","35-65","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1988","66 +","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"1988","66 +","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1988","66 +","kein Migrationshintergrund","8.58","8.5","30","5","8","10","10","10","7.84","9.32","3","10","8","10"
"1988","66 +","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1989","17-34","direkter Migrationshintergrund","7.27","7.5","613","5","6","9","10","10","7.1","7.44","0","10","7","8"
"1989","17-34","indirekter Migrationshintergrund","7.68","7.5","110","5","7","9","10","10","7.32","8.04","0","10","8","8"
"1989","17-34","kein Migrationshintergrund","7.25","7.5","1735","5","6","9","10","10","7.15","7.35","0","10","8","8"
"1989","17-34","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1989","35-65","direkter Migrationshintergrund","7.08","6.5","1026","5","6","8","10","10","6.96","7.2","0","10","7","8"
"1989","35-65","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
