"year","bildungsniveau","migback","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","(Fach-)Abitur","direkter Migrationshintergrund","7.08","7.5","176","3","6","9","10","10","6.68","7.48","0","10","7","8"
"1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1984","(Fach-)Abitur","kein Migrationshintergrund","7.64","7.5","259","5","7","9","10","10","7.38","7.9","0","10","8","8"
"1984","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1984","(noch) kein Abschluss","direkter Migrationshintergrund","7.14","7.5","616","3","5","10","10","10","6.94","7.34","0","10","8","8"
"1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1984","(noch) kein Abschluss","kein Migrationshintergrund","","","","","","","","","","","","","",""
"1984","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1984","AkademikerIn","direkter Migrationshintergrund","7.43","7.5","91","4","6","9","10","10","6.97","7.89","0","10","8","9"
"1984","AkademikerIn","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1984","AkademikerIn","kein Migrationshintergrund","7.85","7.5","519","5","7","9","10","10","7.68","8.02","0","10","8","8"
"1984","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1984","Hauptschule","direkter Migrationshintergrund","7.62","7.5","1219","4","6","10","10","10","7.48","7.76","0","10","8","8"
"1984","Hauptschule","indirekter Migrationshintergrund","8.35","9.5","42","4","7","10","10","10","7.66","9.04","2","10","8","10"
"1984","Hauptschule","kein Migrationshintergrund","7.7","7.5","2817","5","7","10","10","10","7.62","7.78","0","10","8","8"
"1984","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1984","Realschule","direkter Migrationshintergrund","7.65","7.5","77","5","7","9","10","10","7.14","8.16","0","10","8","9"
"1984","Realschule","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1984","Realschule","kein Migrationshintergrund","7.77","7.5","1063","5","7","10","10","10","7.64","7.9","0","10","8","8"
"1984","Realschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
