"year","migback","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1985","direkter Migrationshintergrund","Ländlicher Raum","7.5","7.5","234","5","6","9","10","10","7.21","7.79","0","10","8","8"
"1985","direkter Migrationshintergrund","Städtischer Raum","7.32","7.5","1651","5","6","9","10","10","7.21","7.43","0","10","8","8"
"1985","indirekter Migrationshintergrund","Ländlicher Raum","","","","","","","","","","","","","",""
"1985","indirekter Migrationshintergrund","Städtischer Raum","7.66","7.5","54","5","7","9","10","10","7.15","8.17","3","10","8","10"
"1985","kein Migrationshintergrund","Ländlicher Raum","7.53","7.5","1056","5","6","9","10","10","7.41","7.65","0","10","8","8"
"1985","kein Migrationshintergrund","Städtischer Raum","7.55","7.5","3290","5","6","9","10","10","7.48","7.62","0","10","8","8"
"1985","Migrationshintergrund - n. w. differenzierbar","Ländlicher Raum","","","","","","","","","","","","","",""
"1985","Migrationshintergrund - n. w. differenzierbar","Städtischer Raum","","","","","","","","","","","","","",""
"1986","direkter Migrationshintergrund","Ländlicher Raum","7.69","7.5","234","5","7","10","10","10","7.4","7.98","0","10","8","8"
"1986","direkter Migrationshintergrund","Städtischer Raum","7.32","7.5","1592","5","6","9","10","10","7.21","7.43","0","10","8","8"
"1986","indirekter Migrationshintergrund","Ländlicher Raum","","","","","","","","","","","","","",""
"1986","indirekter Migrationshintergrund","Städtischer Raum","7.41","7.5","66","4","7","9","10","10","6.92","7.9","2","10","8","9"
"1986","kein Migrationshintergrund","Ländlicher Raum","7.4","7.5","1038","5","6","9","10","10","7.27","7.53","0","10","8","8"
"1986","kein Migrationshintergrund","Städtischer Raum","7.42","7.5","3187","5","6","9","10","10","7.35","7.49","0","10","8","8"
"1986","Migrationshintergrund - n. w. differenzierbar","Ländlicher Raum","","","","","","","","","","","","","",""
"1986","Migrationshintergrund - n. w. differenzierbar","Städtischer Raum","","","","","","","","","","","","","",""
"1987","direkter Migrationshintergrund","Ländlicher Raum","7.2","7.5","242","4","6","9","10","10","6.9","7.5","0","10","8","8"
"1987","direkter Migrationshintergrund","Städtischer Raum","7.39","7.5","1563","5","6","9","10","10","7.29","7.49","0","10","8","8"
"1987","indirekter Migrationshintergrund","Ländlicher Raum","","","","","","","","","","","","","",""
"1987","indirekter Migrationshintergrund","Städtischer Raum","7.24","7.5","74","5","6","9","9","10","6.72","7.76","0","10","7","8"
