year,age_gr,regtyp,pld0043,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,17-29 y.,Urban regions,Very often,0.10316,261,2610,0.09149,0.11483
2003,17-29 y.,Urban regions,Often,0.33101,868,2610,0.31295,0.34907
2003,17-29 y.,Urban regions,Sometimes,0.36888,970,2610,0.35037,0.38740
2003,17-29 y.,Urban regions,Seldom,0.15081,389,2610,0.13708,0.16454
2003,17-29 y.,Urban regions,Never,0.04330,122,2610,0.03549,0.05111
2003,17-29 y.,Rural regions,Very often,0.08238,113,1390,0.06792,0.09684
2003,17-29 y.,Rural regions,Often,0.25517,366,1390,0.23224,0.27809
2003,17-29 y.,Rural regions,Sometimes,0.39476,571,1390,0.36905,0.42046
2003,17-29 y.,Rural regions,Seldom,0.20789,277,1390,0.18655,0.22923
2003,17-29 y.,Rural regions,Never,0.05850,63,1390,0.04616,0.07085
2003,30-45 y.,Urban regions,Very often,0.04503,220,4653,0.03907,0.05099
2003,30-45 y.,Urban regions,Often,0.20161,926,4653,0.19008,0.21314
2003,30-45 y.,Urban regions,Sometimes,0.41500,1913,4653,0.40084,0.42916
2003,30-45 y.,Urban regions,Seldom,0.23813,1145,4653,0.22589,0.25037
2003,30-45 y.,Urban regions,Never,0.09574,449,4653,0.08729,0.10420
2003,30-45 y.,Rural regions,Very often,0.04636,90,2258,0.03769,0.05503
2003,30-45 y.,Rural regions,Often,0.18901,424,2258,0.17285,0.20516
2003,30-45 y.,Rural regions,Sometimes,0.38640,896,2258,0.36631,0.40649
2003,30-45 y.,Rural regions,Seldom,0.27713,643,2258,0.25867,0.29560
2003,30-45 y.,Rural regions,Never,0.09721,205,2258,0.08499,0.10943
2003,46-65 y.,Urban regions,Very often,0.03248,145,5020,0.02758,0.03738
2003,46-65 y.,Urban regions,Often,0.12100,650,5020,0.11197,0.13002
2003,46-65 y.,Urban regions,Sometimes,0.34476,1774,5020,0.33161,0.35791
2003,46-65 y.,Urban regions,Seldom,0.30526,1598,5020,0.29252,0.31800
2003,46-65 y.,Urban regions,Never,0.19138,853,5020,0.18050,0.20227
2003,46-65 y.,Rural regions,Very often,0.02029,56,2510,0.01477,0.02581
2003,46-65 y.,Rural regions,Often,0.11158,281,2510,0.09926,0.12390
2003,46-65 y.,Rural regions,Sometimes,0.29302,783,2510,0.27521,0.31083
2003,46-65 y.,Rural regions,Seldom,0.33977,866,2510,0.32124,0.35831
2003,46-65 y.,Rural regions,Never,0.22948,524,2510,0.21302,0.24593
2003,66 and older,Urban regions,Often,0.05884,148,2336,0.04930,0.06839
2003,66 and older,Urban regions,Sometimes,0.20646,519,2336,0.19004,0.22287
2003,66 and older,Urban regions,Seldom,0.30086,731,2336,0.28226,0.31946
2003,66 and older,Urban regions,Never,0.40880,938,2336,0.38886,0.42874
2003,66 and older,Rural regions,Often,0.04492,57,1230,0.03334,0.05650
2003,66 and older,Rural regions,Sometimes,0.19512,258,1230,0.17296,0.21728
2003,66 and older,Rural regions,Seldom,0.28843,373,1230,0.26311,0.31376
2003,66 and older,Rural regions,Never,0.45577,542,1230,0.42793,0.48362
2008,17-29 y.,Urban regions,Very often,0.05434,141,2085,0.04461,0.06407
2008,17-29 y.,Urban regions,Often,0.23786,567,2085,0.21958,0.25614
2008,17-29 y.,Urban regions,Sometimes,0.39412,856,2085,0.37314,0.41510
2008,17-29 y.,Urban regions,Seldom,0.18397,401,2085,0.16734,0.20061
2008,17-29 y.,Urban regions,Never,0.05536,120,2085,0.04555,0.06518
2008,17-29 y.,Rural regions,Very often,0.05987,65,1065,0.04561,0.07413
2008,17-29 y.,Rural regions,Often,0.22122,260,1065,0.19628,0.24616
2008,17-29 y.,Rural regions,Sometimes,0.37433,423,1065,0.34525,0.40341
2008,17-29 y.,Rural regions,Seldom,0.19240,236,1065,0.16871,0.21608
2008,17-29 y.,Rural regions,Never,0.07463,81,1065,0.05884,0.09042
2008,30-45 y.,Urban regions,Very often,0.04508,148,3433,0.03814,0.05202
2008,30-45 y.,Urban regions,Often,0.18689,662,3433,0.17385,0.19993
2008,30-45 y.,Urban regions,Sometimes,0.40107,1387,3433,0.38468,0.41747
2008,30-45 y.,Urban regions,Seldom,0.27081,927,3433,0.25595,0.28568
2008,30-45 y.,Urban regions,Never,0.09285,309,3433,0.08314,0.10256
2008,30-45 y.,Rural regions,Very often,0.03320,57,1718,0.02472,0.04167
2008,30-45 y.,Rural regions,Often,0.15842,274,1718,0.14115,0.17569
2008,30-45 y.,Rural regions,Sometimes,0.36695,662,1718,0.34415,0.38975
2008,30-45 y.,Rural regions,Seldom,0.31460,535,1718,0.29263,0.33656
2008,30-45 y.,Rural regions,Never,0.12340,190,1718,0.10784,0.13895
2008,46-65 y.,Urban regions,Very often,0.02348,108,4295,0.01895,0.02801
2008,46-65 y.,Urban regions,Often,0.14221,658,4295,0.13176,0.15266
2008,46-65 y.,Urban regions,Sometimes,0.32022,1458,4295,0.30627,0.33418
2008,46-65 y.,Urban regions,Seldom,0.31295,1362,4295,0.29908,0.32682
2008,46-65 y.,Urban regions,Never,0.18989,709,4295,0.17816,0.20162
2008,46-65 y.,Rural regions,Very often,0.01669,40,2349,0.01151,0.02187
2008,46-65 y.,Rural regions,Often,0.11686,291,2349,0.10387,0.12986
2008,46-65 y.,Rural regions,Sometimes,0.29233,733,2349,0.27393,0.31072
2008,46-65 y.,Rural regions,Seldom,0.34781,816,2349,0.32854,0.36707
2008,46-65 y.,Rural regions,Never,0.21907,469,2349,0.20234,0.23580
2008,66 and older,Urban regions,Very often,0.01155,36,2758,0.00756,0.01554
2008,66 and older,Urban regions,Often,0.07380,210,2758,0.06404,0.08356
2008,66 and older,Urban regions,Sometimes,0.23711,693,2758,0.22124,0.25299
2008,66 and older,Urban regions,Seldom,0.30339,895,2758,0.28623,0.32055
2008,66 and older,Urban regions,Never,0.35401,924,2758,0.33616,0.37186
2008,66 and older,Rural regions,Often,0.05956,90,1458,0.04741,0.07171
2008,66 and older,Rural regions,Sometimes,0.22832,348,1458,0.20676,0.24987
2008,66 and older,Rural regions,Seldom,0.32730,492,1458,0.30320,0.35139
2008,66 and older,Rural regions,Never,0.35901,528,1458,0.33438,0.38365
2013,17-29 y.,Urban regions,Very often,0.03275,122,2319,0.02550,0.03999
2013,17-29 y.,Urban regions,Often,0.19937,596,2319,0.18310,0.21563
2013,17-29 y.,Urban regions,Sometimes,0.27683,895,2319,0.25861,0.29504
2013,17-29 y.,Urban regions,Seldom,0.17143,526,2319,0.15609,0.18677
2013,17-29 y.,Urban regions,Never,0.05081,180,2319,0.04187,0.05975
2013,17-29 y.,Rural regions,Very often,0.03452,52,1242,0.02436,0.04468
2013,17-29 y.,Rural regions,Often,0.16478,277,1242,0.14414,0.18542
2013,17-29 y.,Rural regions,Sometimes,0.33091,459,1242,0.30473,0.35709
2013,17-29 y.,Rural regions,Seldom,0.20543,343,1242,0.18295,0.22790
2013,17-29 y.,Rural regions,Never,0.06105,111,1242,0.04773,0.07437
2013,30-45 y.,Urban regions,Very often,0.03450,195,5124,0.02951,0.03950
2013,30-45 y.,Urban regions,Often,0.15449,997,5124,0.14460,0.16439
2013,30-45 y.,Urban regions,Sometimes,0.32947,1977,5124,0.31660,0.34235
2013,30-45 y.,Urban regions,Seldom,0.23000,1472,5124,0.21847,0.24152
2013,30-45 y.,Urban regions,Never,0.06406,483,5124,0.05736,0.07077
2013,30-45 y.,Rural regions,Very often,0.02209,69,2862,0.01670,0.02748
2013,30-45 y.,Rural regions,Often,0.14547,457,2862,0.13255,0.15838
2013,30-45 y.,Rural regions,Sometimes,0.33548,1066,2862,0.31818,0.35278
2013,30-45 y.,Rural regions,Seldom,0.30136,961,2862,0.28455,0.31818
2013,30-45 y.,Rural regions,Never,0.08317,309,2862,0.07305,0.09329
2013,46-65 y.,Urban regions,Very often,0.01409,108,5531,0.01098,0.01719
2013,46-65 y.,Urban regions,Often,0.13234,865,5531,0.12341,0.14127
2013,46-65 y.,Urban regions,Sometimes,0.33575,2031,5531,0.32330,0.34819
2013,46-65 y.,Urban regions,Seldom,0.32065,1827,5531,0.30835,0.33296
2013,46-65 y.,Urban regions,Never,0.12649,700,5531,0.11773,0.13525
2013,46-65 y.,Rural regions,Very often,0.01267,62,3427,0.00893,0.01642
2013,46-65 y.,Rural regions,Often,0.11679,424,3427,0.10603,0.12754
2013,46-65 y.,Rural regions,Sometimes,0.31984,1165,3427,0.30422,0.33546
2013,46-65 y.,Rural regions,Seldom,0.33935,1178,3427,0.32350,0.35521
2013,46-65 y.,Rural regions,Never,0.17351,598,3427,0.16083,0.18619
2013,66 and older,Urban regions,Very often,0.01666,48,3146,0.01219,0.02114
2013,66 and older,Urban regions,Often,0.07808,294,3146,0.06871,0.08746
2013,66 and older,Urban regions,Sometimes,0.22225,746,3146,0.20772,0.23678
2013,66 and older,Urban regions,Seldom,0.34905,1133,3146,0.33239,0.36571
2013,66 and older,Urban regions,Never,0.31376,925,3146,0.29755,0.32998
2013,66 and older,Rural regions,Often,0.07185,117,1742,0.05972,0.08398
2013,66 and older,Rural regions,Sometimes,0.23929,435,1742,0.21925,0.25934
2013,66 and older,Rural regions,Seldom,0.32494,611,1742,0.30294,0.34694
2013,66 and older,Rural regions,Never,0.33727,579,1742,0.31507,0.35948
2018,17-29 y.,Urban regions,Very often,0.06472,204,2915,0.05578,0.07365
2018,17-29 y.,Urban regions,Often,0.22304,717,2915,0.20792,0.23815
2018,17-29 y.,Urban regions,Sometimes,0.32763,1051,2915,0.31058,0.34467
2018,17-29 y.,Urban regions,Seldom,0.22641,695,2915,0.21122,0.24161
2018,17-29 y.,Urban regions,Never,0.07638,248,2915,0.06674,0.08602
2018,17-29 y.,Rural regions,Very often,0.04602,68,1353,0.03485,0.05719
2018,17-29 y.,Rural regions,Often,0.20747,278,1353,0.18585,0.22908
2018,17-29 y.,Rural regions,Sometimes,0.34369,503,1353,0.31838,0.36901
2018,17-29 y.,Rural regions,Seldom,0.21797,365,1353,0.19596,0.23998
2018,17-29 y.,Rural regions,Never,0.08510,139,1353,0.07022,0.09997
2018,30-45 y.,Urban regions,Very often,0.05129,220,4502,0.04485,0.05774
2018,30-45 y.,Urban regions,Often,0.19248,900,4502,0.18096,0.20400
2018,30-45 y.,Urban regions,Sometimes,0.36680,1646,4502,0.35272,0.38088
2018,30-45 y.,Urban regions,Seldom,0.27736,1225,4502,0.26428,0.29044
2018,30-45 y.,Urban regions,Never,0.09715,511,4502,0.08850,0.10580
2018,30-45 y.,Rural regions,Very often,0.02605,58,2218,0.01942,0.03268
2018,30-45 y.,Rural regions,Often,0.18902,350,2218,0.17273,0.20532
2018,30-45 y.,Rural regions,Sometimes,0.35844,813,2218,0.33848,0.37840
2018,30-45 y.,Rural regions,Seldom,0.28661,676,2218,0.26779,0.30544
2018,30-45 y.,Rural regions,Never,0.12581,321,2218,0.11200,0.13961
2018,46-65 y.,Urban regions,Very often,0.03405,226,6050,0.02948,0.03862
2018,46-65 y.,Urban regions,Often,0.16860,1028,6050,0.15917,0.17804
2018,46-65 y.,Urban regions,Sometimes,0.36666,2251,6050,0.35452,0.37880
2018,46-65 y.,Urban regions,Seldom,0.28913,1758,6050,0.27770,0.30055
2018,46-65 y.,Urban regions,Never,0.13451,787,6050,0.12592,0.14311
2018,46-65 y.,Rural regions,Very often,0.02566,102,3551,0.02046,0.03086
2018,46-65 y.,Rural regions,Often,0.14730,472,3551,0.13564,0.15896
2018,46-65 y.,Rural regions,Sometimes,0.34666,1238,3551,0.33100,0.36231
