year,pgisced97,pld0043,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Pre-primary Level,Very often,0.10438,75,605,0.07999,0.12876
2003,Pre-primary Level,Often,0.42090,250,605,0.38152,0.46027
2003,Pre-primary Level,Sometimes,0.33001,210,605,0.29251,0.36751
2003,Pre-primary Level,Seldom,0.11752,70,605,0.09184,0.14321
2003,Primary Level,Sometimes,0.27809,72,232,0.22031,0.33587
2003,Primary Level,Seldom,0.20883,65,232,0.15641,0.26125
2003,Primary Level,Never,0.33523,95,232,0.27435,0.39611
2003,Lower Secondary Level,Very often,0.03439,105,2706,0.02753,0.04126
2003,Lower Secondary Level,Often,0.13036,384,2706,0.11767,0.14304
2003,Lower Secondary Level,Sometimes,0.27338,796,2706,0.25659,0.29018
2003,Lower Secondary Level,Seldom,0.23677,643,2706,0.22075,0.25279
2003,Lower Secondary Level,Never,0.31522,778,2706,0.29771,0.33273
2003,Upper Secondary Level,Very often,0.03878,421,11035,0.03518,0.04238
2003,Upper Secondary Level,Often,0.13750,1618,11035,0.13107,0.14392
2003,Upper Secondary Level,Sometimes,0.32321,3716,11035,0.31448,0.33194
2003,Upper Secondary Level,Seldom,0.28776,3210,11035,0.27931,0.29620
2003,Upper Secondary Level,Never,0.20637,2070,11035,0.19882,0.21392
2003,Post-secondary Non-tertiary Level,Very often,0.04427,45,1152,0.03238,0.05615
2003,Post-secondary Non-tertiary Level,Often,0.18862,228,1152,0.16602,0.21122
2003,Post-secondary Non-tertiary Level,Sometimes,0.39570,464,1152,0.36745,0.42395
2003,Post-secondary Non-tertiary Level,Seldom,0.25541,285,1152,0.23022,0.28061
2003,Post-secondary Non-tertiary Level,Never,0.11390,130,1152,0.09555,0.13226
2003,First Stage of Tertiary Education,Very often,0.03784,54,1679,0.02871,0.04697
2003,First Stage of Tertiary Education,Often,0.17064,289,1679,0.15264,0.18864
2003,First Stage of Tertiary Education,Sometimes,0.35684,615,1679,0.33392,0.37976
2003,First Stage of Tertiary Education,Seldom,0.25698,488,1679,0.23607,0.27789
2003,First Stage of Tertiary Education,Never,0.17076,233,1679,0.15276,0.18877
2003,Second Stage of Tertiary Education,Very often,0.03915,179,4334,0.03337,0.04492
2003,Second Stage of Tertiary Education,Often,0.20611,857,4334,0.19407,0.21816
2003,Second Stage of Tertiary Education,Sometimes,0.38834,1727,4334,0.37382,0.40285
2003,Second Stage of Tertiary Education,Seldom,0.26595,1210,4334,0.25279,0.27911
2003,Second Stage of Tertiary Education,Never,0.09470,361,4334,0.08598,0.10341
2008,Pre-primary Level,Very often,0.05233,37,346,0.02883,0.07582
2008,Pre-primary Level,Often,0.19876,122,346,0.15665,0.24088
2008,Pre-primary Level,Sometimes,0.24054,141,346,0.19544,0.28565
2008,Pre-primary Level,Seldom,0.08383,46,346,0.05458,0.11307
2008,Primary Level,Sometimes,0.21716,44,162,0.15347,0.28085
2008,Primary Level,Seldom,0.30757,44,162,0.23629,0.37886
2008,Primary Level,Never,0.35396,74,162,0.28009,0.42783
2008,Lower Secondary Level,Very often,0.02301,46,1989,0.01642,0.02960
2008,Lower Secondary Level,Often,0.10937,231,1989,0.09565,0.12309
2008,Lower Secondary Level,Sometimes,0.25923,561,1989,0.23996,0.27849
2008,Lower Secondary Level,Seldom,0.25836,532,1989,0.23912,0.27760
2008,Lower Secondary Level,Never,0.31457,619,1989,0.29416,0.33498
2008,Upper Secondary Level,Very often,0.02850,268,9657,0.02518,0.03182
2008,Upper Secondary Level,Often,0.13475,1340,9657,0.12794,0.14156
2008,Upper Secondary Level,Sometimes,0.32518,3172,9657,0.31583,0.33452
2008,Upper Secondary Level,Seldom,0.29790,2968,9657,0.28878,0.30702
2008,Upper Secondary Level,Never,0.20362,1909,9657,0.19559,0.21165
2008,Post-secondary Non-tertiary Level,Very often,0.03336,41,1091,0.02270,0.04402
2008,Post-secondary Non-tertiary Level,Often,0.19470,212,1091,0.17119,0.21820
2008,Post-secondary Non-tertiary Level,Sometimes,0.37347,419,1091,0.34476,0.40219
2008,Post-secondary Non-tertiary Level,Seldom,0.28795,300,1091,0.26107,0.31484
2008,Post-secondary Non-tertiary Level,Never,0.10789,119,1091,0.08948,0.12631
2008,First Stage of Tertiary Education,Very often,0.02198,35,1403,0.01430,0.02965
2008,First Stage of Tertiary Education,Often,0.14056,199,1403,0.12237,0.15875
2008,First Stage of Tertiary Education,Sometimes,0.35786,487,1403,0.33276,0.38295
2008,First Stage of Tertiary Education,Seldom,0.32786,500,1403,0.30329,0.35243
2008,First Stage of Tertiary Education,Never,0.14114,182,1403,0.12291,0.15936
2008,Second Stage of Tertiary Education,Very often,0.03979,159,4172,0.03386,0.04572
2008,Second Stage of Tertiary Education,Often,0.19713,812,4172,0.18505,0.20920
2008,Second Stage of Tertiary Education,Sometimes,0.37362,1612,4172,0.35894,0.38830
2008,Second Stage of Tertiary Education,Seldom,0.28903,1209,4172,0.27527,0.30278
2008,Second Stage of Tertiary Education,Never,0.09511,380,4172,0.08621,0.10401
2013,Pre-primary Level,Often,0.12161,145,395,0.08934,0.15388
2013,Pre-primary Level,Sometimes,0.20321,167,395,0.16348,0.24295
2013,Pre-primary Level,Seldom,0.07290,83,395,0.04723,0.09856
2013,Primary Level,Often,0.05522,37,313,0.02987,0.08056
2013,Primary Level,Sometimes,0.14961,71,313,0.11003,0.18919
2013,Primary Level,Seldom,0.22672,95,313,0.18026,0.27318
2013,Primary Level,Never,0.23845,110,313,0.19117,0.28574
2013,Lower Secondary Level,Very often,0.02033,82,2563,0.01487,0.02580
2013,Lower Secondary Level,Often,0.09333,347,2563,0.08206,0.10459
2013,Lower Secondary Level,Sometimes,0.20841,714,2563,0.19269,0.22414
2013,Lower Secondary Level,Seldom,0.24534,775,2563,0.22868,0.26200
2013,Lower Secondary Level,Never,0.24236,645,2563,0.22576,0.25895
2013,Upper Secondary Level,Very often,0.01768,259,12363,0.01535,0.02000
2013,Upper Secondary Level,Often,0.12128,1692,12363,0.11552,0.12703
2013,Upper Secondary Level,Sometimes,0.29479,4048,12363,0.28675,0.30283
2013,Upper Secondary Level,Seldom,0.31118,4109,12363,0.30301,0.31934
2013,Upper Secondary Level,Never,0.18375,2255,12363,0.17692,0.19058
2013,Post-secondary Non-tertiary Level,Very often,0.02686,51,1766,0.01932,0.03440
2013,Post-secondary Non-tertiary Level,Often,0.14684,320,1766,0.13033,0.16336
2013,Post-secondary Non-tertiary Level,Sometimes,0.33089,685,1766,0.30894,0.35285
2013,Post-secondary Non-tertiary Level,Seldom,0.25918,553,1766,0.23873,0.27962
2013,Post-secondary Non-tertiary Level,Never,0.07516,157,1766,0.06286,0.08746
2013,First Stage of Tertiary Education,Very often,0.02248,35,1672,0.01538,0.02959
2013,First Stage of Tertiary Education,Often,0.12475,239,1672,0.10891,0.14059
2013,First Stage of Tertiary Education,Sometimes,0.36483,603,1672,0.34175,0.38791
2013,First Stage of Tertiary Education,Seldom,0.34328,602,1672,0.32051,0.36604
2013,First Stage of Tertiary Education,Never,0.12832,193,1672,0.11228,0.14435
2013,Second Stage of Tertiary Education,Very often,0.02851,187,5816,0.02424,0.03279
2013,Second Stage of Tertiary Education,Often,0.17698,1127,5816,0.16717,0.18679
2013,Second Stage of Tertiary Education,Sometimes,0.35422,2323,5816,0.34193,0.36651
2013,Second Stage of Tertiary Education,Seldom,0.28209,1735,5816,0.27053,0.29366
2013,Second Stage of Tertiary Education,Never,0.07154,444,5816,0.06491,0.07816
2018,Pre-primary Level,Often,0.14196,101,293,0.10193,0.18199
2018,Pre-primary Level,Sometimes,0.19078,118,293,0.14572,0.23585
2018,Pre-primary Level,Seldom,0.13889,74,293,0.09922,0.17856
2018,Primary Level,Often,0.11773,71,467,0.08846,0.14699
2018,Primary Level,Sometimes,0.19406,129,467,0.15815,0.22996
2018,Primary Level,Seldom,0.21699,118,467,0.17956,0.25441
2018,Primary Level,Never,0.29455,149,467,0.25316,0.33593
2018,Lower Secondary Level,Very often,0.03151,107,2681,0.02490,0.03813
2018,Lower Secondary Level,Often,0.10298,364,2681,0.09147,0.11449
2018,Lower Secondary Level,Sometimes,0.28677,806,2681,0.26965,0.30390
2018,Lower Secondary Level,Seldom,0.28981,767,2681,0.27263,0.30698
2018,Lower Secondary Level,Never,0.23857,637,2681,0.22243,0.25471
2018,Upper Secondary Level,Very often,0.03241,395,11493,0.02917,0.03565
2018,Upper Secondary Level,Often,0.14969,1695,11493,0.14317,0.15621
2018,Upper Secondary Level,Sometimes,0.32448,3835,11493,0.31592,0.33304
2018,Upper Secondary Level,Seldom,0.30677,3577,11493,0.29834,0.31520
2018,Upper Secondary Level,Never,0.17940,1991,11493,0.17239,0.18642
2018,Post-secondary Non-tertiary Level,Very often,0.04719,80,2124,0.03817,0.05621
2018,Post-secondary Non-tertiary Level,Often,0.20003,403,2124,0.18301,0.21705
2018,Post-secondary Non-tertiary Level,Sometimes,0.36036,796,2124,0.33994,0.38079
2018,Post-secondary Non-tertiary Level,Seldom,0.27435,584,2124,0.25537,0.29333
2018,Post-secondary Non-tertiary Level,Never,0.11262,261,2124,0.09917,0.12607
2018,First Stage of Tertiary Education,Very often,0.02803,38,1453,0.01954,0.03652
2018,First Stage of Tertiary Education,Often,0.17592,243,1453,0.15634,0.19550
2018,First Stage of Tertiary Education,Sometimes,0.36615,535,1453,0.34137,0.39093
2018,First Stage of Tertiary Education,Seldom,0.30883,462,1453,0.28507,0.33259
2018,First Stage of Tertiary Education,Never,0.12071,175,1453,0.10396,0.13747
2018,Second Stage of Tertiary Education,Very often,0.03836,275,6348,0.03363,0.04308
2018,Second Stage of Tertiary Education,Often,0.21157,1286,6348,0.20152,0.22162
