year,age_gr,pgisced97,pld0043,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,17-29 y.,Pre-primary Level,Very often,0.10506,75,604,0.08058,0.12953
2003,17-29 y.,Pre-primary Level,Often,0.42364,250,604,0.38420,0.46308
2003,17-29 y.,Pre-primary Level,Sometimes,0.33002,209,604,0.29249,0.36755
2003,17-29 y.,Pre-primary Level,Seldom,0.11829,70,604,0.09251,0.14407
2003,17-29 y.,Lower Secondary Level,Very often,0.08349,75,818,0.06452,0.10246
2003,17-29 y.,Lower Secondary Level,Often,0.29797,238,818,0.26661,0.32933
2003,17-29 y.,Lower Secondary Level,Sometimes,0.37578,322,818,0.34257,0.40899
2003,17-29 y.,Lower Secondary Level,Seldom,0.17892,136,818,0.15264,0.20521
2003,17-29 y.,Lower Secondary Level,Never,0.05921,47,818,0.04303,0.07540
2003,17-29 y.,Upper Secondary Level,Very often,0.11159,164,1746,0.09681,0.12636
2003,17-29 y.,Upper Secondary Level,Often,0.28427,508,1746,0.26311,0.30543
2003,17-29 y.,Upper Secondary Level,Sometimes,0.37389,666,1746,0.35119,0.39660
2003,17-29 y.,Upper Secondary Level,Seldom,0.17370,321,1746,0.15592,0.19147
2003,17-29 y.,Upper Secondary Level,Never,0.05429,87,1746,0.04366,0.06492
2003,17-29 y.,Post-secondary Non-tertiary Level,Often,0.27289,68,248,0.21734,0.32844
2003,17-29 y.,Post-secondary Non-tertiary Level,Sometimes,0.41354,134,248,0.35212,0.47496
2003,17-29 y.,Post-secondary Non-tertiary Level,Seldom,0.20485,46,248,0.15452,0.25518
2003,17-29 y.,First Stage of Tertiary Education,Sometimes,0.43166,35,35,0.26517,0.59815
2003,17-29 y.,Second Stage of Tertiary Education,Often,0.32658,70,157,0.25299,0.40017
2003,17-29 y.,Second Stage of Tertiary Education,Sometimes,0.47990,87,157,0.40150,0.55830
2003,30-45 y.,Lower Secondary Level,Often,0.12458,60,414,0.09273,0.15642
2003,30-45 y.,Lower Secondary Level,Sometimes,0.38630,170,414,0.33934,0.43326
2003,30-45 y.,Lower Secondary Level,Seldom,0.23786,103,414,0.19679,0.27892
2003,30-45 y.,Lower Secondary Level,Never,0.18588,81,414,0.14837,0.22340
2003,30-45 y.,Upper Secondary Level,Very often,0.04367,155,3568,0.03697,0.05038
2003,30-45 y.,Upper Secondary Level,Often,0.17861,623,3568,0.16604,0.19118
2003,30-45 y.,Upper Secondary Level,Sometimes,0.40224,1429,3568,0.38614,0.41833
2003,30-45 y.,Upper Secondary Level,Seldom,0.26664,979,3568,0.25213,0.28115
2003,30-45 y.,Upper Secondary Level,Never,0.10591,382,3568,0.09581,0.11601
2003,30-45 y.,Post-secondary Non-tertiary Level,Often,0.21949,126,522,0.18395,0.25503
2003,30-45 y.,Post-secondary Non-tertiary Level,Sometimes,0.43577,224,522,0.39319,0.47834
2003,30-45 y.,Post-secondary Non-tertiary Level,Seldom,0.21751,123,522,0.18208,0.25293
2003,30-45 y.,Post-secondary Non-tertiary Level,Never,0.08818,49,522,0.06383,0.11253
2003,30-45 y.,First Stage of Tertiary Education,Often,0.20640,142,670,0.17573,0.23706
2003,30-45 y.,First Stage of Tertiary Education,Sometimes,0.41866,294,670,0.38128,0.45605
2003,30-45 y.,First Stage of Tertiary Education,Seldom,0.24770,187,670,0.21499,0.28041
2003,30-45 y.,First Stage of Tertiary Education,Never,0.07648,47,670,0.05634,0.09662
2003,30-45 y.,Second Stage of Tertiary Education,Very often,0.05339,86,1575,0.04228,0.06449
2003,30-45 y.,Second Stage of Tertiary Education,Often,0.26131,386,1575,0.23961,0.28302
2003,30-45 y.,Second Stage of Tertiary Education,Sometimes,0.40938,665,1575,0.38508,0.43367
2003,30-45 y.,Second Stage of Tertiary Education,Seldom,0.22788,369,1575,0.20716,0.24861
2003,30-45 y.,Second Stage of Tertiary Education,Never,0.04294,69,1575,0.03292,0.05295
2003,46-65 y.,Primary Level,Never,0.41442,41,41,0.26175,0.56708
2003,46-65 y.,Lower Secondary Level,Often,0.07265,48,676,0.05307,0.09223
2003,46-65 y.,Lower Secondary Level,Sometimes,0.26780,179,676,0.23439,0.30121
2003,46-65 y.,Lower Secondary Level,Seldom,0.28275,206,676,0.24878,0.31673
2003,46-65 y.,Lower Secondary Level,Never,0.35204,243,676,0.31601,0.38807
2003,46-65 y.,Upper Secondary Level,Very often,0.02355,87,3866,0.01877,0.02833
2003,46-65 y.,Upper Secondary Level,Often,0.09872,399,3866,0.08932,0.10813
2003,46-65 y.,Upper Secondary Level,Sometimes,0.31542,1249,3866,0.30077,0.33007
2003,46-65 y.,Upper Secondary Level,Seldom,0.34124,1335,3866,0.32629,0.35618
2003,46-65 y.,Upper Secondary Level,Never,0.21545,796,3866,0.20249,0.22842
2003,46-65 y.,Post-secondary Non-tertiary Level,Often,0.11346,31,228,0.07220,0.15472
2003,46-65 y.,Post-secondary Non-tertiary Level,Sometimes,0.36367,80,228,0.30109,0.42625
2003,46-65 y.,Post-secondary Non-tertiary Level,Seldom,0.30824,80,228,0.24817,0.36832
2003,46-65 y.,Post-secondary Non-tertiary Level,Never,0.17059,37,228,0.12166,0.21952
2003,46-65 y.,First Stage of Tertiary Education,Often,0.17421,103,623,0.14440,0.20402
