year,hhtyp,rentown,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Single-person household,Owner,Yes,0.92138,910,980,0.90452,0.93824
2015,Single-person household,Owner,No,0.07862,70,980,0.06176,0.09548
2015,Single-person household,Tenant,Yes,0.84929,2240,2624,0.83560,0.86298
2015,Single-person household,Tenant,No,0.15071,384,2624,0.13702,0.16440
2015,Couple without children,Owner,Yes,0.95555,2181,2296,0.94712,0.96398
2015,Couple without children,Owner,No,0.04445,115,2296,0.03602,0.05288
2015,Couple without children,Tenant,Yes,0.89610,1835,2061,0.88293,0.90928
2015,Couple without children,Tenant,No,0.10390,226,2061,0.09072,0.11707
2015,Single parent,Owner,Yes,0.90829,377,377,0.87911,0.93746
2015,Single parent,Tenant,Yes,0.85992,1114,1296,0.84102,0.87883
2015,Single parent,Tenant,No,0.14008,182,1296,0.12117,0.15898
2015,Couple with children,Owner,Yes,0.94660,2756,2900,0.93841,0.95478
2015,Couple with children,Owner,No,0.05340,144,2900,0.04522,0.06159
2015,Couple with children,Tenant,Yes,0.84321,2361,2734,0.82957,0.85684
2015,Couple with children,Tenant,No,0.15679,373,2734,0.14316,0.17043
2015,Multi-generational household,Owner,Yes,0.94637,57,57,0.88737,1.00538
2015,Multi-generational household,Tenant,Yes,0.77008,62,62,0.66449,0.87568
2015,Other Combinations,Owner,Yes,0.89576,65,65,0.82090,0.97063
2015,Other Combinations,Tenant,Yes,0.84665,146,178,0.79356,0.89973
2015,Other Combinations,Tenant,No,0.15335,32,178,0.10027,0.20644
2016,Single-person household,Owner,Yes,0.93742,874,930,0.92184,0.95299
2016,Single-person household,Owner,No,0.06258,56,930,0.04701,0.07816
2016,Single-person household,Tenant,Yes,0.89192,2182,2448,0.87962,0.90422
2016,Single-person household,Tenant,No,0.10808,266,2448,0.09578,0.12038
2016,Couple without children,Owner,Yes,0.96902,2150,2222,0.96182,0.97623
2016,Couple without children,Owner,No,0.03098,72,2222,0.02377,0.03818
2016,Couple without children,Tenant,Yes,0.93418,1729,1873,0.92295,0.94541
2016,Couple without children,Tenant,No,0.06582,144,1873,0.05459,0.07705
2016,Single parent,Owner,Yes,0.94666,364,364,0.92355,0.96978
2016,Single parent,Tenant,Yes,0.87914,1008,1139,0.86020,0.89808
2016,Single parent,Tenant,No,0.12086,131,1139,0.10192,0.13980
2016,Couple with children,Owner,Yes,0.96232,2565,2660,0.95508,0.96956
2016,Couple with children,Owner,No,0.03768,95,2660,0.03044,0.04492
2016,Couple with children,Tenant,Yes,0.89368,2088,2322,0.88114,0.90622
2016,Couple with children,Tenant,No,0.10632,234,2322,0.09378,0.11886
2016,Multi-generational household,Owner,Yes,0.97323,48,48,0.92708,1.01938
2016,Multi-generational household,Tenant,Yes,0.85836,49,49,0.75972,0.95700
2016,Other Combinations,Owner,Yes,0.95738,50,50,0.90081,1.01394
2016,Other Combinations,Tenant,Yes,0.87892,124,124,0.82127,0.93657
2017,Single-person household,Owner,Yes,0.94535,967,1017,0.93137,0.95933
2017,Single-person household,Owner,No,0.05465,50,1017,0.04067,0.06863
2017,Single-person household,Tenant,Yes,0.88158,2509,2808,0.86963,0.89353
2017,Single-person household,Tenant,No,0.11842,299,2808,0.10647,0.13037
2017,Couple without children,Owner,Yes,0.97708,2465,2529,0.97124,0.98291
2017,Couple without children,Owner,No,0.02292,64,2529,0.01709,0.02876
2017,Couple without children,Tenant,Yes,0.93047,1936,2080,0.91954,0.94140
2017,Couple without children,Tenant,No,0.06953,144,2080,0.05860,0.08046
2017,Single parent,Owner,Yes,0.96834,392,392,0.95098,0.98569
2017,Single parent,Tenant,Yes,0.88801,1014,1128,0.86960,0.90642
2017,Single parent,Tenant,No,0.11199,114,1128,0.09358,0.13040
2017,Couple with children,Owner,Yes,0.97679,2888,2956,0.97137,0.98222
2017,Couple with children,Owner,No,0.02321,68,2956,0.01778,0.02863
2017,Couple with children,Tenant,Yes,0.90324,2167,2357,0.89130,0.91518
2017,Couple with children,Tenant,No,0.09676,190,2357,0.08482,0.10870
2017,Multi-generational household,Owner,Yes,0.96998,53,53,0.92360,1.01636
2017,Multi-generational household,Tenant,Yes,0.80456,48,48,0.69119,0.91793
2017,Other Combinations,Owner,Yes,0.93352,87,87,0.88087,0.98617
2017,Other Combinations,Tenant,Yes,0.85044,151,151,0.79336,0.90751
2018,Single-person household,Owner,Yes,0.95757,964,1008,0.94512,0.97002
2018,Single-person household,Owner,No,0.04243,44,1008,0.02998,0.05488
2018,Single-person household,Tenant,Yes,0.91438,2744,3008,0.90438,0.92438
2018,Single-person household,Tenant,No,0.08562,264,3008,0.07562,0.09562
2018,Couple without children,Owner,Yes,0.98059,2401,2462,0.97514,0.98604
2018,Couple without children,Owner,No,0.01941,61,2462,0.01396,0.02486
2018,Couple without children,Tenant,Yes,0.94118,1966,2080,0.93106,0.95129
2018,Couple without children,Tenant,No,0.05882,114,2080,0.04871,0.06894
2018,Single parent,Owner,Yes,0.96881,368,368,0.95102,0.98659
2018,Single parent,Tenant,Yes,0.90927,1047,1128,0.89250,0.92604
2018,Single parent,Tenant,No,0.09073,81,1128,0.07396,0.10750
2018,Couple with children,Owner,Yes,0.96965,2703,2760,0.96325,0.97605
2018,Couple with children,Owner,No,0.03035,57,2760,0.02395,0.03675
2018,Couple with children,Tenant,Yes,0.92443,2077,2259,0.91352,0.93533
2018,Couple with children,Tenant,No,0.07557,182,2259,0.06467,0.08648
2018,Multi-generational household,Owner,Yes,0.99563,54,54,0.97787,1.01339
2018,Multi-generational household,Tenant,Yes,0.98875,60,60,0.96184,1.01566
2018,Other Combinations,Owner,Yes,0.94119,78,78,0.88864,0.99374
2018,Other Combinations,Tenant,Yes,0.92125,131,131,0.87494,0.96755
