year,regtyp,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Urban regions,Yes,0.89323,9236,10325,0.88728,0.89919
2015,Urban regions,No,0.10677,1089,10325,0.10081,0.11272
2015,Rural regions,Yes,0.90444,4868,5359,0.89657,0.91231
2015,Rural regions,No,0.09556,491,5359,0.08769,0.10343
2016,Urban regions,Yes,0.92075,8622,9360,0.91528,0.92623
2016,Urban regions,No,0.07925,738,9360,0.07377,0.08472
2016,Rural regions,Yes,0.93990,4610,4919,0.93326,0.94654
2016,Rural regions,No,0.06010,309,4919,0.05346,0.06674
2017,Urban regions,Yes,0.92647,9560,10228,0.92141,0.93153
2017,Urban regions,No,0.07353,668,10228,0.06847,0.07859
2017,Rural regions,Yes,0.93420,5117,5428,0.92760,0.94080
2017,Rural regions,No,0.06580,311,5428,0.05920,0.07240
2018,Urban regions,Yes,0.94320,9591,10165,0.93870,0.94770
2018,Urban regions,No,0.05680,574,10165,0.05230,0.06130
2018,Rural regions,Yes,0.94740,5002,5268,0.94137,0.95343
2018,Rural regions,No,0.05260,266,5268,0.04657,0.05863
2019,Urban regions,Yes,0.94568,7812,8243,0.94079,0.95057
2019,Urban regions,No,0.05432,431,8243,0.04943,0.05921
2019,Rural regions,Yes,0.94616,4174,4375,0.93947,0.95285
2019,Rural regions,No,0.05384,201,4375,0.04715,0.06053
2020,Urban regions,Yes,0.93700,10094,10989,0.93245,0.94154
2020,Urban regions,No,0.06300,895,10989,0.05846,0.06755
2020,Rural regions,Yes,0.94282,4977,5292,0.93656,0.94907
2020,Rural regions,No,0.05718,315,5292,0.05093,0.06344
2021,Urban regions,Yes,0.93778,6176,6616,0.93196,0.94360
2021,Urban regions,No,0.06222,440,6616,0.05640,0.06804
2021,Rural regions,Yes,0.95091,3169,3340,0.94358,0.95824
2021,Rural regions,No,0.04909,171,3340,0.04176,0.05642
2022,Urban regions,Yes,0.93583,12103,13117,0.93164,0.94003
2022,Urban regions,No,0.06417,1014,13117,0.05997,0.06836
2022,Rural regions,Yes,0.94125,5682,6062,0.93533,0.94717
2022,Rural regions,No,0.05875,380,6062,0.05283,0.06467
