year,regtyp,sampreg,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Urban regions,West,Yes,0.89601,8176,9132,0.88975,0.90227
2015,Urban regions,West,No,0.10399,956,9132,0.09773,0.11025
2015,Urban regions,East,Yes,0.86758,1060,1193,0.84834,0.88682
2015,Urban regions,East,No,0.13242,133,1193,0.11318,0.15166
2015,Rural regions,West,Yes,0.91758,3011,3293,0.90818,0.92697
2015,Rural regions,West,No,0.08242,282,3293,0.07303,0.09182
2015,Rural regions,East,Yes,0.88102,1857,2066,0.86706,0.89499
2015,Rural regions,East,No,0.11898,209,2066,0.10501,0.13294
2016,Urban regions,West,Yes,0.92242,7605,8239,0.91664,0.92820
2016,Urban regions,West,No,0.07758,634,8239,0.07180,0.08336
2016,Urban regions,East,Yes,0.90511,1017,1121,0.88795,0.92227
2016,Urban regions,East,No,0.09489,104,1121,0.07773,0.11205
2016,Rural regions,West,Yes,0.94423,2792,2970,0.93597,0.95248
2016,Rural regions,West,No,0.05577,178,2970,0.04752,0.06403
2016,Rural regions,East,Yes,0.93222,1818,1949,0.92105,0.94338
2016,Rural regions,East,No,0.06778,131,1949,0.05662,0.07895
2017,Urban regions,West,Yes,0.92870,8423,8997,0.92338,0.93401
2017,Urban regions,West,No,0.07130,574,8997,0.06599,0.07662
2017,Urban regions,East,Yes,0.90518,1137,1231,0.88880,0.92155
2017,Urban regions,East,No,0.09482,94,1231,0.07845,0.11120
2017,Rural regions,West,Yes,0.94062,3068,3247,0.93249,0.94875
2017,Rural regions,West,No,0.05938,179,3247,0.05125,0.06751
2017,Rural regions,East,Yes,0.92278,2049,2181,0.91157,0.93399
2017,Rural regions,East,No,0.07722,132,2181,0.06601,0.08843
2018,Urban regions,West,Yes,0.94471,8418,8917,0.93996,0.94945
2018,Urban regions,West,No,0.05529,499,8917,0.05055,0.06004
2018,Urban regions,East,Yes,0.92885,1173,1248,0.91458,0.94312
2018,Urban regions,East,No,0.07115,75,1248,0.05688,0.08542
2018,Rural regions,West,Yes,0.95036,2943,3091,0.94270,0.95802
2018,Rural regions,West,No,0.04964,148,3091,0.04198,0.05730
2018,Rural regions,East,Yes,0.94211,2059,2177,0.93230,0.95193
2018,Rural regions,East,No,0.05789,118,2177,0.04807,0.06770
2019,Urban regions,West,Yes,0.94780,6853,7223,0.94267,0.95293
2019,Urban regions,West,No,0.05220,370,7223,0.04707,0.05733
2019,Urban regions,East,Yes,0.92527,959,1020,0.90913,0.94142
2019,Urban regions,East,No,0.07473,61,1020,0.05858,0.09087
2019,Rural regions,West,Yes,0.94739,2434,2550,0.93872,0.95606
2019,Rural regions,West,No,0.05261,116,2550,0.04394,0.06128
2019,Rural regions,East,Yes,0.94400,1740,1825,0.93345,0.95455
2019,Rural regions,East,No,0.05600,85,1825,0.04545,0.06655
2020,Urban regions,West,Yes,0.93802,8900,9701,0.93322,0.94282
2020,Urban regions,West,No,0.06198,801,9701,0.05718,0.06678
2020,Urban regions,East,Yes,0.92729,1194,1288,0.91311,0.94148
2020,Urban regions,East,No,0.07271,94,1288,0.05852,0.08689
2020,Rural regions,West,Yes,0.93999,2938,3145,0.93169,0.94829
2020,Rural regions,West,No,0.06001,207,3145,0.05171,0.06831
2020,Rural regions,East,Yes,0.94781,2039,2147,0.93840,0.95722
2020,Rural regions,East,No,0.05219,108,2147,0.04278,0.06160
2021,Urban regions,West,Yes,0.93731,5412,5803,0.93108,0.94355
2021,Urban regions,West,No,0.06269,391,5803,0.05645,0.06892
2021,Urban regions,East,Yes,0.94278,764,813,0.92680,0.95875
2021,Urban regions,East,No,0.05722,49,813,0.04125,0.07320
2021,Rural regions,West,Yes,0.94623,1862,1972,0.93627,0.95618
2021,Rural regions,West,No,0.05377,110,1972,0.04382,0.06373
2021,Rural regions,East,Yes,0.95920,1307,1368,0.94871,0.96969
2021,Rural regions,East,No,0.04080,61,1368,0.03031,0.05129
2022,Urban regions,West,Yes,0.93650,10612,11491,0.93204,0.94096
2022,Urban regions,West,No,0.06350,879,11491,0.05904,0.06796
2022,Urban regions,East,Yes,0.92963,1491,1626,0.91719,0.94206
2022,Urban regions,East,No,0.07037,135,1626,0.05794,0.08281
2022,Rural regions,West,Yes,0.93827,3273,3491,0.93028,0.94625
2022,Rural regions,West,No,0.06173,218,3491,0.05375,0.06972
2022,Rural regions,East,Yes,0.94712,2409,2571,0.93847,0.95577
2022,Rural regions,East,No,0.05288,162,2571,0.04423,0.06153
