year,hhtyp,sampreg,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Single-person household,West,Yes,0.87665,2389,2737,0.86433,0.88897
2015,Single-person household,West,No,0.12335,348,2737,0.11103,0.13567
2015,Single-person household,East,Yes,0.85562,761,867,0.83221,0.87903
2015,Single-person household,East,No,0.14438,106,867,0.12097,0.16779
2015,Couple without children,West,Yes,0.93704,3049,3296,0.92874,0.94533
2015,Couple without children,West,No,0.06296,247,3296,0.05467,0.07126
2015,Couple without children,East,Yes,0.90155,967,1061,0.88362,0.91949
2015,Couple without children,East,No,0.09845,94,1061,0.08051,0.11638
2015,Single parent,West,Yes,0.86864,1170,1338,0.85053,0.88674
2015,Single parent,West,No,0.13136,168,1338,0.11326,0.14947
2015,Single parent,East,Yes,0.89393,321,362,0.86216,0.92569
2015,Single parent,East,No,0.10607,41,362,0.07431,0.13784
2015,Couple with children,West,Yes,0.91140,4302,4725,0.90330,0.91951
2015,Couple with children,West,No,0.08860,423,4725,0.08049,0.09670
2015,Couple with children,East,Yes,0.87507,815,909,0.85357,0.89658
2015,Couple with children,East,No,0.12493,94,909,0.10342,0.14643
2015,Multi-generational household,West,Yes,0.86513,95,95,0.79607,0.93418
2015,Other Combinations,West,Yes,0.85940,182,215,0.81282,0.90597
2015,Other Combinations,West,No,0.14060,33,215,0.09403,0.18718
2016,Single-person household,West,Yes,0.90456,2274,2528,0.89310,0.91602
2016,Single-person household,West,No,0.09544,254,2528,0.08398,0.10690
2016,Single-person household,East,Yes,0.91617,783,851,0.89754,0.93480
2016,Single-person household,East,No,0.08383,68,851,0.06520,0.10246
2016,Couple without children,West,Yes,0.95956,2928,3083,0.95260,0.96651
2016,Couple without children,West,No,0.04044,155,3083,0.03349,0.04740
2016,Couple without children,East,Yes,0.93191,951,1012,0.91638,0.94744
2016,Couple without children,East,No,0.06809,61,1012,0.05256,0.08362
2016,Single parent,West,Yes,0.89601,1071,1185,0.87863,0.91340
2016,Single parent,West,No,0.10399,114,1185,0.08660,0.12137
2016,Single parent,East,Yes,0.91217,301,335,0.88182,0.94253
2016,Single parent,East,No,0.08783,34,335,0.05747,0.11818
2016,Couple with children,West,Yes,0.93651,3898,4162,0.92910,0.94392
2016,Couple with children,West,No,0.06349,264,4162,0.05608,0.07090
2016,Couple with children,East,Yes,0.92472,755,820,0.90665,0.94279
2016,Couple with children,East,No,0.07528,65,820,0.05721,0.09335
2016,Multi-generational household,West,Yes,0.92600,77,77,0.86715,0.98486
2016,Other Combinations,West,Yes,0.90482,149,149,0.85754,0.95210
2017,Single-person household,West,Yes,0.90494,2592,2857,0.89418,0.91570
2017,Single-person household,West,No,0.09506,265,2857,0.08430,0.10582
2017,Single-person household,East,Yes,0.89185,884,968,0.87228,0.91143
2017,Single-person household,East,No,0.10815,84,968,0.08857,0.12772
2017,Couple without children,West,Yes,0.96156,3327,3476,0.95517,0.96795
2017,Couple without children,West,No,0.03844,149,3476,0.03205,0.04483
2017,Couple without children,East,Yes,0.94325,1074,1133,0.92977,0.95673
2017,Couple without children,East,No,0.05675,59,1133,0.04327,0.07023
2017,Single parent,West,Yes,0.91057,1084,1196,0.89439,0.92675
2017,Single parent,West,No,0.08943,112,1196,0.07325,0.10561
2017,Single parent,East,Yes,0.92193,322,322,0.89258,0.95128
2017,Couple with children,West,Yes,0.95043,4206,4404,0.94402,0.95684
2017,Couple with children,West,No,0.04957,198,4404,0.04316,0.05598
2017,Couple with children,East,Yes,0.93002,849,909,0.91343,0.94662
