year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,n
1984,,,,,,,,,
1985,,,,,,,,,
1986,,,,,,,,,
1987,,,,,,,,,
1988,,,,,,,,,
1989,,,,,,,,,
1990,,,,,,,,,
1991,,,,,,,,,
1992,,,,,,,,,
1993,,,,,,,,,
1994,,,,,,,,,
1995,,,,,,,,,
1996,,,,,,,,,
1997,,,,,,,,,
1998,,,,,,,,,
1999,,,,,,,,,
2000,,,,,,,,,
2001,,,,,,,,,
2002,,,,,,,,,
2003,,,,,,,,,
2004,,,,,,,,,
2005,4.45067,4.43385,4.46749,3.66667,4.33333,5.33333,1.16667,7.00000,20366.00000
2006,,,,,,,,,
2007,,,,,,,,,
2008,,,,,,,,,
2009,4.34413,4.32614,4.36211,3.66667,4.33333,5.33333,1.16667,7.00000,17714.00000
2010,,,,,,,,,
2011,,,,,,,,,
2012,4.64789,4.62048,4.67530,4.00000,4.66667,5.33333,2.00000,7.00000,7038.00000
2013,4.55161,4.53435,4.56887,3.66667,4.66667,5.33333,1.16667,7.00000,18558.00000
2014,,,,,,,,,
2015,,,,,,,,,
2016,,,,,,,,,
2017,4.63810,4.62422,4.65198,4.00000,4.66667,5.66667,1.50000,7.00000,28196.00000
2018,,,,,,,,,
2019,4.52859,4.51378,4.54340,3.66667,4.66667,5.33333,1.16667,7.00000,25351.00000
2020,,,,,,,,,
2021,,,,,,,,,
2022,,,,,,,,,
