"year","bildungsniveau","migback","mean","median","n","lower_confidence","upper_confidence"
"2005","(Fach-)Abitur","direkter Migrationshintergrund","4.53","4.5","371","4.41","4.65"
"2005","(Fach-)Abitur","indirekter Migrationshintergrund","4.91","4.83","141","4.72","5.1"
"2005","(Fach-)Abitur","kein Migrationshintergrund","4.72","4.58","1779","4.67","4.77"
"2005","(noch) kein Abschluss","direkter Migrationshintergrund","4","3.83","217","3.8","4.2"
"2005","(noch) kein Abschluss","indirekter Migrationshintergrund","4.8","4.5","97","4.57","5.03"
"2005","(noch) kein Abschluss","kein Migrationshintergrund","4.65","4.83","584","4.55","4.75"
"2005","AkademikerIn","direkter Migrationshintergrund","4.84","4.5","335","4.71","4.97"
"2005","AkademikerIn","indirekter Migrationshintergrund","5.07","4.83","69","4.85","5.29"
"2005","AkademikerIn","kein Migrationshintergrund","4.8","4.83","3754","4.76","4.84"
"2005","Hauptschule","direkter Migrationshintergrund","3.99","3.83","1176","3.92","4.06"
"2005","Hauptschule","indirekter Migrationshintergrund","4.47","4.17","261","4.32","4.62"
"2005","Hauptschule","kein Migrationshintergrund","4.22","4.17","6082","4.19","4.25"
"2005","Realschule","direkter Migrationshintergrund","4.88","4.83","196","4.71","5.05"
"2005","Realschule","indirekter Migrationshintergrund","4.75","4.5","195","4.59","4.91"
"2005","Realschule","kein Migrationshintergrund","4.5","4.58","4981","4.47","4.53"
"2006","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"2006","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"2006","(Fach-)Abitur","kein Migrationshintergrund","","","","",""
"2006","(noch) kein Abschluss","direkter Migrationshintergrund","","","","",""
"2006","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"2006","(noch) kein Abschluss","kein Migrationshintergrund","","","","",""
"2006","AkademikerIn","direkter Migrationshintergrund","","","","",""
"2006","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"2006","AkademikerIn","kein Migrationshintergrund","","","","",""
"2006","Hauptschule","direkter Migrationshintergrund","","","","",""
"2006","Hauptschule","indirekter Migrationshintergrund","","","","",""
"2006","Hauptschule","kein Migrationshintergrund","","","","",""
"2006","Realschule","direkter Migrationshintergrund","","","","",""
"2006","Realschule","indirekter Migrationshintergrund","","","","",""
"2006","Realschule","kein Migrationshintergrund","","","","",""
"2007","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"2007","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"2007","(Fach-)Abitur","kein Migrationshintergrund","","","","",""
"2007","(noch) kein Abschluss","direkter Migrationshintergrund","","","","",""
"2007","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"2007","(noch) kein Abschluss","kein Migrationshintergrund","","","","",""
"2007","AkademikerIn","direkter Migrationshintergrund","","","","",""
"2007","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"2007","AkademikerIn","kein Migrationshintergrund","","","","",""
"2007","Hauptschule","direkter Migrationshintergrund","","","","",""
"2007","Hauptschule","indirekter Migrationshintergrund","","","","",""
"2007","Hauptschule","kein Migrationshintergrund","","","","",""
"2007","Realschule","direkter Migrationshintergrund","","","","",""
"2007","Realschule","indirekter Migrationshintergrund","","","","",""
"2007","Realschule","kein Migrationshintergrund","","","","",""
"2008","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"2008","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"2008","(Fach-)Abitur","kein Migrationshintergrund","","","","",""
"2008","(noch) kein Abschluss","direkter Migrationshintergrund","","","","",""
"2008","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"2008","(noch) kein Abschluss","kein Migrationshintergrund","","","","",""
"2008","AkademikerIn","direkter Migrationshintergrund","","","","",""
"2008","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"2008","AkademikerIn","kein Migrationshintergrund","","","","",""
"2008","Hauptschule","direkter Migrationshintergrund","","","","",""
"2008","Hauptschule","indirekter Migrationshintergrund","","","","",""
"2008","Hauptschule","kein Migrationshintergrund","","","","",""
"2008","Realschule","direkter Migrationshintergrund","","","","",""
"2008","Realschule","indirekter Migrationshintergrund","","","","",""
"2008","Realschule","kein Migrationshintergrund","","","","",""
"2009","(Fach-)Abitur","direkter Migrationshintergrund","4.65","4.5","291","4.51","4.79"
"2009","(Fach-)Abitur","indirekter Migrationshintergrund","4.79","4.83","104","4.56","5.02"
"2009","(Fach-)Abitur","kein Migrationshintergrund","4.58","4.5","1602","4.52","4.64"
"2009","(noch) kein Abschluss","direkter Migrationshintergrund","3.72","3.58","111","3.45","3.99"
"2009","(noch) kein Abschluss","indirekter Migrationshintergrund","4.43","4.5","56","4.11","4.75"
"2009","(noch) kein Abschluss","kein Migrationshintergrund","4.39","4.17","312","4.25","4.53"
"2009","AkademikerIn","direkter Migrationshintergrund","4.66","4.5","292","4.52","4.8"
"2009","AkademikerIn","indirekter Migrationshintergrund","5.06","4.83","87","4.84","5.28"
"2009","AkademikerIn","kein Migrationshintergrund","4.69","4.58","3642","4.65","4.73"
