year,age_gr,pgisced97,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,17-29 y.,Pre-primary Level,Difficult,0.65027,123,123,0.56564,0.73489
1987,17-29 y.,Primary Level,Difficult,0.31390,48,48,0.18123,0.44658
1987,17-29 y.,Lower Secondary Level,Easy,0.06574,65,340,0.03936,0.09213
1987,17-29 y.,Lower Secondary Level,Difficult,0.17943,212,340,0.13858,0.22027
1987,17-29 y.,Lower Secondary Level,Almost impossible,0.07210,63,340,0.04457,0.09963
1987,17-29 y.,Upper Secondary Level,Easy,0.06424,95,353,0.03862,0.08985
1987,17-29 y.,Upper Secondary Level,Difficult,0.15307,214,353,0.11546,0.19069
1987,17-29 y.,Upper Secondary Level,Almost impossible,0.03206,44,353,0.01365,0.05046
1987,30-45 y.,Primary Level,Difficult,0.19946,47,99,0.12035,0.27858
1987,30-45 y.,Primary Level,Almost impossible,0.19626,52,99,0.11763,0.27490
1987,30-45 y.,Lower Secondary Level,Difficult,0.20875,111,168,0.14711,0.27039
1987,30-45 y.,Lower Secondary Level,Almost impossible,0.10667,57,168,0.05985,0.15349
1987,30-45 y.,Upper Secondary Level,Easy,0.03446,57,361,0.01562,0.05331
1987,30-45 y.,Upper Secondary Level,Difficult,0.14916,242,361,0.11236,0.18596
1987,30-45 y.,Upper Secondary Level,Almost impossible,0.03768,62,361,0.01801,0.05736
1987,46-65 y.,Primary Level,Almost impossible,0.22682,79,79,0.13388,0.31975
1987,46-65 y.,Lower Secondary Level,Difficult,0.13063,120,285,0.09143,0.16982
1987,46-65 y.,Lower Secondary Level,Almost impossible,0.17684,165,285,0.13246,0.22121
1987,46-65 y.,Upper Secondary Level,Difficult,0.07562,120,266,0.04378,0.10745
1987,46-65 y.,Upper Secondary Level,Almost impossible,0.09969,146,266,0.06362,0.13576
1988,17-29 y.,Pre-primary Level,Easy,0.14401,31,130,0.08342,0.20460
1988,17-29 y.,Pre-primary Level,Difficult,0.64825,99,130,0.56585,0.73066
1988,17-29 y.,Primary Level,Difficult,0.25955,35,35,0.11219,0.40691
1988,17-29 y.,Lower Secondary Level,Easy,0.08712,78,333,0.05679,0.11746
1988,17-29 y.,Lower Secondary Level,Difficult,0.19465,193,333,0.15206,0.23724
1988,17-29 y.,Lower Secondary Level,Almost impossible,0.05436,62,333,0.02997,0.07875
1988,17-29 y.,Upper Secondary Level,Easy,0.07217,94,364,0.04555,0.09879
1988,17-29 y.,Upper Secondary Level,Difficult,0.16606,224,364,0.12778,0.20434
1988,17-29 y.,Upper Secondary Level,Almost impossible,0.03863,46,364,0.01880,0.05845
1988,30-45 y.,Primary Level,Difficult,0.19158,45,85,0.10742,0.27574
1988,30-45 y.,Primary Level,Almost impossible,0.21299,40,85,0.12543,0.30055
1988,30-45 y.,Lower Secondary Level,Difficult,0.21147,106,156,0.14718,0.27575
1988,30-45 y.,Lower Secondary Level,Almost impossible,0.10099,50,156,0.05355,0.14843
1988,30-45 y.,Upper Secondary Level,Easy,0.02747,45,344,0.01017,0.04477
1988,30-45 y.,Upper Secondary Level,Difficult,0.15717,244,344,0.11865,0.19568
1988,30-45 y.,Upper Secondary Level,Almost impossible,0.03635,55,344,0.01655,0.05616
1988,46-65 y.,Primary Level,Almost impossible,0.26272,81,81,0.16627,0.35916
1988,46-65 y.,Lower Secondary Level,Difficult,0.10520,94,263,0.06805,0.14235
1988,46-65 y.,Lower Secondary Level,Almost impossible,0.18889,169,263,0.14149,0.23628
1988,46-65 y.,Upper Secondary Level,Difficult,0.06640,101,255,0.03578,0.09703
1988,46-65 y.,Upper Secondary Level,Almost impossible,0.10557,154,255,0.06778,0.14336
1989,17-29 y.,Pre-primary Level,Easy,0.22090,42,131,0.14959,0.29222
1989,17-29 y.,Pre-primary Level,Difficult,0.55669,89,131,0.47129,0.64209
1989,17-29 y.,Primary Level,Difficult,0.22230,36,36,0.08455,0.36005
1989,17-29 y.,Lower Secondary Level,Easy,0.05991,59,282,0.03216,0.08766
1989,17-29 y.,Lower Secondary Level,Difficult,0.18690,173,282,0.14132,0.23248
1989,17-29 y.,Lower Secondary Level,Almost impossible,0.05239,50,282,0.02634,0.07844
1989,17-29 y.,Upper Secondary Level,Easy,0.07936,103,335,0.05037,0.10835
1989,17-29 y.,Upper Secondary Level,Difficult,0.12546,177,335,0.08994,0.16099
1989,17-29 y.,Upper Secondary Level,Almost impossible,0.04019,55,335,0.01913,0.06125
1989,30-45 y.,Primary Level,Difficult,0.12795,33,78,0.05334,0.20256
1989,30-45 y.,Primary Level,Almost impossible,0.26293,45,78,0.16460,0.36126
1989,30-45 y.,Lower Secondary Level,Difficult,0.16809,80,124,0.10200,0.23417
1989,30-45 y.,Lower Secondary Level,Almost impossible,0.08995,44,124,0.03939,0.14052
1989,30-45 y.,Upper Secondary Level,Easy,0.02952,47,315,0.01080,0.04824
1989,30-45 y.,Upper Secondary Level,Difficult,0.14374,208,315,0.10493,0.18254
1989,30-45 y.,Upper Secondary Level,Almost impossible,0.03595,60,315,0.01536,0.05654
1989,46-65 y.,Primary Level,Almost impossible,0.24192,78,78,0.14626,0.33757
1989,46-65 y.,Lower Secondary Level,Difficult,0.08039,74,236,0.04562,0.11515
1989,46-65 y.,Lower Secondary Level,Almost impossible,0.20464,162,236,0.15306,0.25622
1989,46-65 y.,Upper Secondary Level,Difficult,0.07841,113,235,0.04397,0.11286
1989,46-65 y.,Upper Secondary Level,Almost impossible,0.08279,122,235,0.04748,0.11810
1990,17-29 y.,Pre-primary Level,Easy,0.20874,46,173,0.14800,0.26948
1990,17-29 y.,Pre-primary Level,Difficult,0.50120,94,173,0.42647,0.57592
1990,17-29 y.,Pre-primary Level,Almost impossible,0.17157,33,173,0.11523,0.22791
1990,17-29 y.,Primary Level,Difficult,0.21010,32,32,0.06669,0.35351
1990,17-29 y.,Lower Secondary Level,Easy,0.07494,73,308,0.04549,0.10440
1990,17-29 y.,Lower Secondary Level,Difficult,0.17110,175,308,0.12897,0.21323
