year,sampreg,ple0013,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,West,Yes,0.04226,674,13477,0.03886,0.04565
2009,West,No,0.79560,12803,13477,0.78879,0.80241
2009,East,Yes,0.04314,195,4541,0.03723,0.04905
2009,East,No,0.82629,4346,4541,0.81527,0.83731
2011,West,Yes,0.04345,868,15840,0.04028,0.04663
2011,West,No,0.71688,14972,15840,0.70986,0.72390
2011,East,Yes,0.04112,238,4905,0.03556,0.04668
2011,East,No,0.75649,4667,4905,0.74448,0.76850
2013,West,Yes,0.04547,908,14414,0.04207,0.04887
2013,West,No,0.65120,13506,14414,0.64342,0.65898
2013,East,Yes,0.04035,220,4452,0.03457,0.04613
2013,East,No,0.74043,4232,4452,0.72756,0.75331
2015,West,Yes,0.05416,1240,19787,0.05101,0.05732
2015,West,No,0.76682,18547,19787,0.76092,0.77271
2015,East,Yes,0.04722,289,5253,0.04148,0.05295
2015,East,No,0.79799,4964,5253,0.78713,0.80885
2017,West,Yes,0.05719,1396,20959,0.05404,0.06033
2017,West,No,0.77507,19563,20959,0.76942,0.78072
2017,East,Yes,0.05402,334,5590,0.04809,0.05994
2017,East,No,0.78844,5256,5590,0.77773,0.79915
2019,West,Yes,0.06153,1481,20103,0.05821,0.06485
2019,West,No,0.76764,18622,20103,0.76180,0.77348
2019,East,Yes,0.05834,351,5546,0.05217,0.06451
2019,East,No,0.78302,5195,5546,0.77217,0.79387
2021,West,Yes,0.07170,1202,15317,0.06762,0.07579
2021,West,No,0.75065,14115,15317,0.74380,0.75750
2021,East,Yes,0.06162,275,3847,0.05402,0.06922
2021,East,No,0.76479,3572,3847,0.75138,0.77819
