year,regtyp,ple0013,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,Yes,0.04422,591,11682,0.04050,0.04795
2009,Urban regions,No,0.79696,11091,11682,0.78967,0.80426
2009,Rural regions,Yes,0.03864,278,6336,0.03389,0.04338
2009,Rural regions,No,0.81006,6058,6336,0.80040,0.81972
2011,Urban regions,Yes,0.04502,761,13360,0.04151,0.04854
2011,Urban regions,No,0.72107,12599,13360,0.71346,0.72868
2011,Rural regions,Yes,0.03894,345,7385,0.03452,0.04335
2011,Rural regions,No,0.72969,7040,7385,0.71956,0.73982
2013,Urban regions,Yes,0.04564,759,12047,0.04191,0.04937
2013,Urban regions,No,0.65137,11288,12047,0.64286,0.65988
2013,Rural regions,Yes,0.04237,369,6819,0.03759,0.04716
2013,Rural regions,No,0.69873,6450,6819,0.68784,0.70963
2015,Urban regions,Yes,0.05436,1023,16171,0.05087,0.05786
2015,Urban regions,No,0.76555,15148,16171,0.75902,0.77208
2015,Rural regions,Yes,0.04996,506,8869,0.04542,0.05449
2015,Rural regions,No,0.78647,8363,8869,0.77794,0.79500
2017,Urban regions,Yes,0.05858,1154,17147,0.05507,0.06210
2017,Urban regions,No,0.77325,15993,17147,0.76698,0.77951
2017,Rural regions,Yes,0.05241,576,9402,0.04790,0.05691
2017,Rural regions,No,0.78637,8826,9402,0.77808,0.79465
2019,Urban regions,Yes,0.06055,1202,16365,0.05690,0.06421
2019,Urban regions,No,0.76905,15163,16365,0.76259,0.77551
2019,Rural regions,Yes,0.06127,582,8806,0.05626,0.06628
2019,Rural regions,No,0.77269,8224,8806,0.76393,0.78144
2021,Urban regions,Yes,0.07234,1031,12996,0.06788,0.07679
2021,Urban regions,No,0.74960,11965,12996,0.74215,0.75705
2021,Rural regions,Yes,0.06504,446,6167,0.05888,0.07119
2021,Rural regions,No,0.76025,5721,6167,0.74960,0.77091
