year,sex,ple0013,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,male,Yes,0.03847,385,8598,0.03440,0.04253
2009,male,No,0.79732,8213,8598,0.78882,0.80581
2009,female,Yes,0.04624,484,9420,0.04200,0.05048
2009,female,No,0.80495,8936,9420,0.79694,0.81295
2011,male,Yes,0.04021,480,9789,0.03632,0.04411
2011,male,No,0.72605,9309,9789,0.71722,0.73489
2011,female,Yes,0.04575,626,10956,0.04184,0.04966
2011,female,No,0.72182,10330,10956,0.71343,0.73021
2013,male,Yes,0.03909,471,8834,0.03505,0.04313
2013,male,No,0.66744,8363,8834,0.65762,0.67727
2013,female,Yes,0.04986,657,10032,0.04560,0.05412
2013,female,No,0.66622,9375,10032,0.65699,0.67545
2015,male,Yes,0.04764,619,11458,0.04374,0.05154
2015,male,No,0.76951,10839,11458,0.76180,0.77722
2015,female,Yes,0.05810,910,13582,0.05416,0.06203
2015,female,No,0.77496,12672,13582,0.76794,0.78199
2017,male,Yes,0.04809,731,12261,0.04430,0.05188
2017,male,No,0.77672,11530,12261,0.76935,0.78409
2017,female,Yes,0.06506,999,14288,0.06102,0.06911
2017,female,No,0.77804,13289,14288,0.77122,0.78485
2019,male,Yes,0.05428,817,12278,0.05027,0.05829
2019,male,No,0.76818,11461,12278,0.76071,0.77564
2019,female,Yes,0.06762,1020,13440,0.06337,0.07186
2019,female,No,0.77268,12420,13440,0.76560,0.77977
2021,male,Yes,0.05711,590,9292,0.05239,0.06183
2021,male,No,0.76077,8702,9292,0.75210,0.76945
2021,female,Yes,0.08240,883,9865,0.07697,0.08782
2021,female,No,0.74568,8982,9865,0.73708,0.75427
