year,ple0013,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Yes,0.04242,869,18018,0.03948,0.04536
2009,No,0.80120,17149,18018,0.79537,0.80702
2011,Yes,0.04304,1106,20745,0.04028,0.04580
2011,No,0.72388,19639,20745,0.71779,0.72996
2013,Yes,0.04457,1128,18866,0.04163,0.04752
2013,No,0.66681,17738,18866,0.66009,0.67354
2015,Yes,0.05295,1529,25040,0.05018,0.05572
2015,No,0.77226,23511,25040,0.76707,0.77746
2017,Yes,0.05665,1730,26549,0.05386,0.05943
2017,No,0.77736,24819,26549,0.77236,0.78236
2019,Yes,0.06100,1838,25725,0.05808,0.06393
2019,No,0.77027,23887,25725,0.76513,0.77541
2021,Yes,0.06999,1477,19164,0.06638,0.07361
2021,No,0.75305,17687,19164,0.74694,0.75915
