year,migback,regtyp,plb0426,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1994,No migration background,Urban regions,In my current field/ field I was trained in,0.40749414519906324,16642,0.40002862074762796,0.4149596696504985
1994,No migration background,Urban regions,Does not matter,0.23185011709601874,16642,0.22543831725131136,0.23826191694072613
1994,No migration background,Urban regions,Does not apply/do not (yet) have a job,0.20843091334894615,16642,0.2022595830525473,0.214602243645345
1994,No migration background,Urban regions,Do something new,0.1522248243559719,16642,0.14676678829026035,0.15768286042168345
1994,No migration background,Rural regions,Does not matter,0.3770491803278688,16642,0.3696857667530207,0.384412593902717
1994,No migration background,Rural regions,In my current field/ field I was trained in,0.3377049180327869,16642,0.3305195706355923,0.3448902654299815
1994,No migration background,Rural regions,Do something new,0.1557377049180328,16642,0.15022850040380284,0.16124690943226275
1994,No migration background,Rural regions,Does not apply/do not (yet) have a job,0.12950819672131147,16642,0.12440685655875917,0.1346095368838638
1994,Direct migration background,Urban regions,Does not matter,0.34065934065934067,16642,0.33345874553092053,0.3478599357877608
1994,Direct migration background,Urban regions,Does not apply/do not (yet) have a job,0.32967032967032966,16642,0.3225280399154904,0.33681261942516894
1994,Direct migration background,Urban regions,In my current field/ field I was trained in,0.21611721611721613,16642,0.2098637103029194,0.22237072193151286
1994,Direct migration background,Urban regions,Do something new,0.11355311355311355,16642,0.10873275664508326,0.11837347046114384
1994,Direct migration background,Rural regions,In my current field/ field I was trained in,0.36,16642,0.3527071958624656,0.3672928041375344
1994,Direct migration background,Rural regions,Does not matter,0.26,16642,0.2533356799386898,0.26666432006131024
1994,Direct migration background,Rural regions,Does not apply/do not (yet) have a job,0.24,16642,0.23351117996223394,0.24648882003776604
1994,Direct migration background,Rural regions,Do something new,0.14,16642,0.13472810737773477,0.14527189262226525
1994,Indirect migration background,Urban regions,Does not apply/do not (yet) have a job,0.6696428571428571,16642,0.6624967950818048,0.6767889192039094
1994,Indirect migration background,Urban regions,In my current field/ field I was trained in,0.14285714285714285,16642,0.13754058067529248,0.14817370503899321
1994,Indirect migration background,Urban regions,Do something new,0.09821428571428571,16642,0.09369268384907548,0.10273588757949595
1994,Indirect migration background,Urban regions,Does not matter,0.08928571428571429,16642,0.08495324616529824,0.09361818240613033
