year,pgisced97,sex,plb0426,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1994,Pre-primary Level,male,Does not apply/do not (yet) have a job,1.00000,70,1603,1.00000,1.00000
1994,Pre-primary Level,female,Does not apply/do not (yet) have a job,1.00000,101,1603,1.00000,1.00000
1994,Lower Secondary Level,male,Does not matter,0.33601,36,1603,0.33457,0.33744
1994,Lower Secondary Level,male,Does not apply/do not (yet) have a job,0.66399,66,1603,0.66256,0.66543
1994,Lower Secondary Level,female,In my current field/ field I was trained in,0.15764,32,1603,0.15687,0.15840
1994,Lower Secondary Level,female,Does not matter,0.33388,71,1603,0.33289,0.33487
1994,Lower Secondary Level,female,Does not apply/do not (yet) have a job,0.50848,115,1603,0.50743,0.50953
1994,Upper Secondary Level,male,In my current field/ field I was trained in,0.41494,126,1603,0.41417,0.41571
1994,Upper Secondary Level,male,Do something new,0.17330,52,1603,0.17271,0.17389
1994,Upper Secondary Level,male,Does not matter,0.23637,94,1603,0.23571,0.23703
1994,Upper Secondary Level,male,Does not apply/do not (yet) have a job,0.17539,61,1603,0.17479,0.17598
1994,Upper Secondary Level,female,In my current field/ field I was trained in,0.44569,281,1603,0.44514,0.44624
1994,Upper Secondary Level,female,Do something new,0.17820,115,1603,0.17778,0.17862
1994,Upper Secondary Level,female,Does not matter,0.30508,243,1603,0.30457,0.30559
1994,Upper Secondary Level,female,Does not apply/do not (yet) have a job,0.07103,54,1603,0.07075,0.07132
1994,Second Stage of Tertiary Education,male,In my current field/ field I was trained in,1.00000,31,1603,1.00000,1.00000
1994,Second Stage of Tertiary Education,female,In my current field/ field I was trained in,1.00000,55,1603,1.00000,1.00000
1996,Pre-primary Level,male,Does not apply/do not (yet) have a job,1.00000,107,1717,1.00000,1.00000
1996,Pre-primary Level,female,Does not apply/do not (yet) have a job,1.00000,118,1717,1.00000,1.00000
1996,Lower Secondary Level,male,Does not matter,0.44097,37,1717,0.43925,0.44269
1996,Lower Secondary Level,male,Does not apply/do not (yet) have a job,0.55903,53,1717,0.55731,0.56075
1996,Lower Secondary Level,female,In my current field/ field I was trained in,0.17881,39,1717,0.17800,0.17961
1996,Lower Secondary Level,female,Does not matter,0.35438,75,1717,0.35338,0.35538
1996,Lower Secondary Level,female,Does not apply/do not (yet) have a job,0.46681,117,1717,0.46577,0.46786
1996,Upper Secondary Level,male,In my current field/ field I was trained in,0.33455,124,1717,0.33381,0.33528
1996,Upper Secondary Level,male,Do something new,0.23305,76,1717,0.23239,0.23371
1996,Upper Secondary Level,male,Does not matter,0.28726,108,1717,0.28655,0.28796
1996,Upper Secondary Level,male,Does not apply/do not (yet) have a job,0.14514,58,1717,0.14459,0.14569
1996,Upper Secondary Level,female,In my current field/ field I was trained in,0.36255,234,1717,0.36201,0.36309
1996,Upper Secondary Level,female,Do something new,0.21452,122,1717,0.21406,0.21498
1996,Upper Secondary Level,female,Does not matter,0.35871,262,1717,0.35817,0.35924
1996,Upper Secondary Level,female,Does not apply/do not (yet) have a job,0.06422,58,1717,0.06394,0.06449
1996,Second Stage of Tertiary Education,male,In my current field/ field I was trained in,1.00000,42,1717,1.00000,1.00000
1996,Second Stage of Tertiary Education,female,In my current field/ field I was trained in,0.67319,55,1717,0.67174,0.67465
1996,Second Stage of Tertiary Education,female,Does not matter,0.32681,32,1717,0.32535,0.32826
1997,Pre-primary Level,male,Does not apply/do not (yet) have a job,1.00000,119,1653,1.00000,1.00000
1997,Pre-primary Level,female,Does not apply/do not (yet) have a job,1.00000,123,1653,1.00000,1.00000
1997,Lower Secondary Level,male,Does not matter,0.41776,44,1653,0.41605,0.41946
