year,bula_h,sex,plb0426,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,Lower Saxony,female,In my current field/ field I was trained in,0.41367,31,31,0.23744,0.58991
1994,North Rhine-Westphalia,male,In my current field/ field I was trained in,0.29912,41,97,0.20753,0.39071
1994,North Rhine-Westphalia,male,Does not apply/do not (yet) have a job,0.41212,56,97,0.31366,0.51059
1994,North Rhine-Westphalia,female,In my current field/ field I was trained in,0.44248,98,261,0.38211,0.50285
1994,North Rhine-Westphalia,female,Do something new,0.12231,33,261,0.08248,0.16214
1994,North Rhine-Westphalia,female,Does not matter,0.17684,52,261,0.13046,0.22321
1994,North Rhine-Westphalia,female,Does not apply/do not (yet) have a job,0.25837,78,261,0.20516,0.31158
1994,Hesse,female,Does not apply/do not (yet) have a job,0.30792,32,32,0.14541,0.47043
1994,Baden-Wuerttemberg,male,Does not apply/do not (yet) have a job,0.38349,39,39,0.22889,0.53810
1994,Baden-Wuerttemberg,female,In my current field/ field I was trained in,0.33638,52,157,0.26224,0.41052
1994,Baden-Wuerttemberg,female,Does not matter,0.26797,38,157,0.19846,0.33747
1994,Baden-Wuerttemberg,female,Does not apply/do not (yet) have a job,0.29645,67,157,0.22478,0.36811
1994,Bavaria,female,In my current field/ field I was trained in,0.42817,65,103,0.33214,0.52420
1994,Bavaria,female,Does not matter,0.25960,38,103,0.17452,0.34468
1994,Saxony,female,In my current field/ field I was trained in,0.37180,43,97,0.27512,0.46847
1994,Saxony,female,Does not matter,0.41493,54,97,0.31636,0.51349
1994,Saxony-Anhalt,female,Does not matter,0.48142,35,35,0.31347,0.64937
1994,Thuringa,female,Does not matter,0.54993,45,45,0.40293,0.69694
1996,Lower Saxony,female,In my current field/ field I was trained in,0.33095,36,36,0.17505,0.48684
1996,North Rhine-Westphalia,male,In my current field/ field I was trained in,0.25873,38,93,0.16924,0.34822
1996,North Rhine-Westphalia,male,Does not apply/do not (yet) have a job,0.38714,55,93,0.28761,0.48668
1996,North Rhine-Westphalia,female,In my current field/ field I was trained in,0.36983,95,284,0.31359,0.42608
