year,age_gr,regtyp,plb0426,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,17-29 y.,Urban regions,In my current field/ field I was trained in,0.28954,183,711,0.25618,0.32290
1994,17-29 y.,Urban regions,Do something new,0.12981,93,711,0.10509,0.15453
1994,17-29 y.,Urban regions,Does not matter,0.09032,91,711,0.06924,0.11140
1994,17-29 y.,Urban regions,Does not apply/do not (yet) have a job,0.49033,344,711,0.45356,0.52710
1994,17-29 y.,Rural regions,In my current field/ field I was trained in,0.30366,100,330,0.25397,0.35335
1994,17-29 y.,Rural regions,Do something new,0.19721,57,330,0.15421,0.24020
1994,17-29 y.,Rural regions,Does not matter,0.18156,61,330,0.13990,0.22321
1994,17-29 y.,Rural regions,Does not apply/do not (yet) have a job,0.31757,112,330,0.26727,0.36788
1994,30-45 y.,Urban regions,In my current field/ field I was trained in,0.48968,193,425,0.44210,0.53726
1994,30-45 y.,Urban regions,Do something new,0.14715,60,425,0.11343,0.18087
1994,30-45 y.,Urban regions,Does not matter,0.28289,125,425,0.24001,0.32576
1994,30-45 y.,Urban regions,Does not apply/do not (yet) have a job,0.08028,47,425,0.05442,0.10615
1994,30-45 y.,Rural regions,In my current field/ field I was trained in,0.35584,73,226,0.29328,0.41840
1994,30-45 y.,Rural regions,Do something new,0.20373,39,226,0.15110,0.25636
1994,30-45 y.,Rural regions,Does not matter,0.39560,114,226,0.33170,0.45949
1994,46-65 y.,Urban regions,In my current field/ field I was trained in,0.33452,52,136,0.25493,0.41411
1994,46-65 y.,Urban regions,Does not matter,0.45740,84,136,0.37336,0.54143
1994,46-65 y.,Rural regions,In my current field/ field I was trained in,0.44543,53,122,0.35687,0.53399
1994,46-65 y.,Rural regions,Does not matter,0.42468,69,122,0.33661,0.51276
1996,17-29 y.,Urban regions,In my current field/ field I was trained in,0.22461,150,696,0.19359,0.25564
1996,17-29 y.,Urban regions,Do something new,0.16621,91,696,0.13853,0.19388
1996,17-29 y.,Urban regions,Does not matter,0.12787,98,696,0.10305,0.15270
1996,17-29 y.,Urban regions,Does not apply/do not (yet) have a job,0.48131,357,696,0.44416,0.51845
1996,17-29 y.,Rural regions,In my current field/ field I was trained in,0.28896,95,343,0.24092,0.33700
1996,17-29 y.,Rural regions,Do something new,0.14114,47,343,0.10424,0.17804
1996,17-29 y.,Rural regions,Does not matter,0.19328,66,343,0.15143,0.23513
1996,17-29 y.,Rural regions,Does not apply/do not (yet) have a job,0.37662,135,343,0.32527,0.42798
1996,30-45 y.,Urban regions,In my current field/ field I was trained in,0.37363,177,478,0.33022,0.41704
1996,30-45 y.,Urban regions,Do something new,0.25591,89,478,0.21675,0.29507
1996,30-45 y.,Urban regions,Does not matter,0.29651,155,478,0.25552,0.33749
1996,30-45 y.,Urban regions,Does not apply/do not (yet) have a job,0.07395,57,478,0.05047,0.09744
1996,30-45 y.,Rural regions,In my current field/ field I was trained in,0.29849,77,252,0.24187,0.35510
1996,30-45 y.,Rural regions,Do something new,0.21827,54,252,0.16717,0.26938
1996,30-45 y.,Rural regions,Does not matter,0.43361,121,252,0.37230,0.49492
1996,46-65 y.,Urban regions,In my current field/ field I was trained in,0.28048,59,165,0.21173,0.34924
1996,46-65 y.,Urban regions,Does not matter,0.51094,106,165,0.43444,0.58745
1996,46-65 y.,Rural regions,In my current field/ field I was trained in,0.45383,55,128,0.36724,0.54042
1996,46-65 y.,Rural regions,Does not matter,0.44851,73,128,0.36201,0.53501
1997,17-29 y.,Urban regions,In my current field/ field I was trained in,0.19124,124,671,0.16146,0.22102
1997,17-29 y.,Urban regions,Do something new,0.11673,68,671,0.09241,0.14104
1997,17-29 y.,Urban regions,Does not matter,0.16459,99,671,0.13652,0.19267
1997,17-29 y.,Urban regions,Does not apply/do not (yet) have a job,0.52744,380,671,0.48964,0.56524
1997,17-29 y.,Rural regions,In my current field/ field I was trained in,0.28441,86,321,0.23498,0.33384
1997,17-29 y.,Rural regions,Do something new,0.13681,42,321,0.09916,0.17446
1997,17-29 y.,Rural regions,Does not matter,0.15701,54,321,0.11715,0.19687
1997,17-29 y.,Rural regions,Does not apply/do not (yet) have a job,0.42177,139,321,0.36766,0.47588
1997,30-45 y.,Urban regions,In my current field/ field I was trained in,0.38667,171,480,0.34306,0.43028
