year,age_gr,sex,plb0426,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,17-29 y.,male,In my current field/ field I was trained in,0.28231,119,442,0.24030,0.32432
1994,17-29 y.,male,Do something new,0.14811,67,442,0.11495,0.18126
1994,17-29 y.,male,Does not matter,0.07776,49,442,0.05277,0.10276
1994,17-29 y.,male,Does not apply/do not (yet) have a job,0.49182,207,442,0.44516,0.53848
1994,17-29 y.,female,In my current field/ field I was trained in,0.30304,164,599,0.26621,0.33988
1994,17-29 y.,female,Do something new,0.15072,83,599,0.12204,0.17939
1994,17-29 y.,female,Does not matter,0.14939,103,599,0.12082,0.17796
1994,17-29 y.,female,Does not apply/do not (yet) have a job,0.39685,249,599,0.35764,0.43607
1994,30-45 y.,male,In my current field/ field I was trained in,0.43019,64,128,0.34408,0.51629
1994,30-45 y.,male,Does not matter,0.35192,64,128,0.26886,0.43498
1994,30-45 y.,female,In my current field/ field I was trained in,0.45390,202,505,0.41044,0.49737
1994,30-45 y.,female,Do something new,0.16294,79,505,0.13070,0.19518
1994,30-45 y.,female,Does not matter,0.30693,175,505,0.26667,0.34720
1994,30-45 y.,female,Does not apply/do not (yet) have a job,0.07622,49,505,0.05306,0.09939
1994,46-65 y.,male,In my current field/ field I was trained in,0.46512,52,113,0.37275,0.55750
1994,46-65 y.,male,Does not matter,0.41019,61,113,0.31909,0.50128
1994,46-65 y.,female,In my current field/ field I was trained in,0.32551,53,145,0.24898,0.40205
1994,46-65 y.,female,Does not matter,0.46634,92,145,0.38486,0.54782
1996,17-29 y.,male,In my current field/ field I was trained in,0.20574,96,449,0.16830,0.24317
1996,17-29 y.,male,Do something new,0.18725,69,449,0.15113,0.22338
1996,17-29 y.,male,Does not matter,0.11920,60,449,0.08920,0.14921
1996,17-29 y.,male,Does not apply/do not (yet) have a job,0.48781,224,449,0.44152,0.53410
1996,17-29 y.,female,In my current field/ field I was trained in,0.27504,149,590,0.23898,0.31111
1996,17-29 y.,female,Do something new,0.13555,69,590,0.10791,0.16320
1996,17-29 y.,female,Does not matter,0.17069,104,590,0.14030,0.20107
1996,17-29 y.,female,Does not apply/do not (yet) have a job,0.41872,268,590,0.37887,0.45856
1996,30-45 y.,male,In my current field/ field I was trained in,0.35956,73,170,0.28721,0.43191
1996,30-45 y.,male,Do something new,0.27018,38,170,0.20323,0.33713
1996,30-45 y.,male,Does not matter,0.31254,59,170,0.24265,0.38242
1996,30-45 y.,female,In my current field/ field I was trained in,0.34814,181,563,0.30876,0.38753
1996,30-45 y.,female,Do something new,0.23655,105,563,0.20141,0.27168
1996,30-45 y.,female,Does not matter,0.34599,217,563,0.30666,0.38532
1996,30-45 y.,female,Does not apply/do not (yet) have a job,0.06932,60,563,0.04832,0.09032
1996,46-65 y.,male,In my current field/ field I was trained in,0.43171,54,129,0.34590,0.51752
1996,46-65 y.,male,Does not matter,0.46521,75,129,0.37880,0.55163
1996,46-65 y.,female,In my current field/ field I was trained in,0.28584,60,164,0.21648,0.35520
1996,46-65 y.,female,Does not matter,0.50328,104,164,0.42652,0.58003
1997,17-29 y.,male,In my current field/ field I was trained in,0.19205,80,420,0.15433,0.22977
1997,17-29 y.,male,Do something new,0.11782,45,420,0.08695,0.14869
1997,17-29 y.,male,Does not matter,0.13838,54,420,0.10531,0.17144
1997,17-29 y.,male,Does not apply/do not (yet) have a job,0.55175,241,420,0.50413,0.59937
1997,17-29 y.,female,In my current field/ field I was trained in,0.24140,131,573,0.20633,0.27647
1997,17-29 y.,female,Do something new,0.12563,65,573,0.09847,0.15279
1997,17-29 y.,female,Does not matter,0.17925,99,573,0.14782,0.21069
1997,17-29 y.,female,Does not apply/do not (yet) have a job,0.45372,278,573,0.41292,0.49452
1997,30-45 y.,male,In my current field/ field I was trained in,0.31111,57,172,0.24172,0.38050
1997,30-45 y.,male,Do something new,0.26529,34,172,0.19912,0.33146
1997,30-45 y.,male,Does not matter,0.35560,81,172,0.28385,0.42735
1997,30-45 y.,female,In my current field/ field I was trained in,0.36026,188,556,0.32032,0.40020
1997,30-45 y.,female,Do something new,0.20253,88,556,0.16909,0.23596
1997,30-45 y.,female,Does not matter,0.36384,227,556,0.32382,0.40387
1997,30-45 y.,female,Does not apply/do not (yet) have a job,0.07337,53,556,0.05168,0.09506
1997,46-65 y.,male,In my current field/ field I was trained in,0.40892,53,144,0.32834,0.48950
1997,46-65 y.,male,Does not matter,0.43809,91,144,0.35677,0.51941
1997,46-65 y.,female,In my current field/ field I was trained in,0.24817,53,145,0.17761,0.31872
1997,46-65 y.,female,Does not matter,0.48013,92,145,0.39853,0.56173
