,Unnamed: 0,year,age_gr,migback,plb0426,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1994,17-29 y.,No migration background,In my current field/ field I was trained in,0.31953,228,1790,0.29504,0.34927
1,1,1994,17-29 y.,No migration background,Do something new,0.15498,117,1790,0.13605,0.17546
2,2,1994,17-29 y.,No migration background,Does not matter,0.11585,102,1790,0.10077,0.13024
3,3,1994,17-29 y.,No migration background,Does not apply/do not (yet) have a job,0.40964,292,1790,0.38525,0.43991
4,4,1994,17-29 y.,Direct migration background,In my current field/ field I was trained in,0.31436,36,1790,0.24067,0.40179
5,5,1994,17-29 y.,Direct migration background,Does not matter,0.25459,39,1790,0.19023,0.32187
6,6,1994,17-29 y.,Direct migration background,Does not apply/do not (yet) have a job,0.43106,54,1790,0.35804,0.52059
7,7,1994,17-29 y.,Indirect migration background,Does not apply/do not (yet) have a job,1.0,110,1790,0.86213,1.19345
8,8,1994,30-45 y.,No migration background,In my current field/ field I was trained in,0.48793,236,1790,0.45522,0.53825
9,9,1994,30-45 y.,No migration background,Do something new,0.18418,87,1790,0.15502,0.21381
10,10,1994,30-45 y.,No migration background,Does not matter,0.3279,201,1790,0.29365,0.35718
11,11,1994,30-45 y.,Direct migration background,Does not matter,0.62177,37,1790,0.44951,0.8861
12,12,1994,30-45 y.,Direct migration background,Does not apply/do not (yet) have a job,0.37823,33,1790,0.30997,0.45241
13,13,1994,46-65 y.,No migration background,In my current field/ field I was trained in,0.47017,93,1790,0.40638,0.5368
14,14,1994,46-65 y.,No migration background,Does not matter,0.52983,125,1790,0.47852,0.59364
15,15,1996,17-29 y.,No migration background,In my current field/ field I was trained in,0.26361,191,1947,0.23804,0.29275
16,16,1996,17-29 y.,No migration background,Do something new,0.16235,99,1947,0.13952,0.19392
17,17,1996,17-29 y.,No migration background,Does not matter,0.15464,103,1947,0.13512,0.17951
18,18,1996,17-29 y.,No migration background,Does not apply/do not (yet) have a job,0.4194,294,1947,0.38828,0.45082
