year,sex,plb0426,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,male,In my current field/ field I was trained in,0.34778,235,731,0.31323,0.38233
1994,male,Do something new,0.13816,97,731,0.11313,0.16319
1994,male,Does not matter,0.20504,177,731,0.17575,0.23433
1994,male,Does not apply/do not (yet) have a job,0.30902,222,731,0.27550,0.34254
1994,female,In my current field/ field I was trained in,0.36832,419,1290,0.34199,0.39465
1994,female,Do something new,0.14981,180,1290,0.13033,0.16929
1994,female,Does not matter,0.26597,370,1290,0.24185,0.29009
1994,female,Does not apply/do not (yet) have a job,0.21590,321,1290,0.19344,0.23836
1996,male,In my current field/ field I was trained in,0.28651,224,783,0.25482,0.31820
1996,male,Do something new,0.18467,121,783,0.15748,0.21187
1996,male,Does not matter,0.23682,196,783,0.20702,0.26662
1996,male,Does not apply/do not (yet) have a job,0.29200,242,783,0.26013,0.32387
1996,female,In my current field/ field I was trained in,0.30752,390,1358,0.28296,0.33207
1996,female,Do something new,0.18031,197,1358,0.15985,0.20076
1996,female,Does not matter,0.30393,426,1358,0.27946,0.32840
1996,female,Does not apply/do not (yet) have a job,0.20825,345,1358,0.18664,0.22985
1997,male,In my current field/ field I was trained in,0.27663,191,787,0.24535,0.30790
1997,male,Do something new,0.15669,101,787,0.13127,0.18210
1997,male,Does not matter,0.26882,227,787,0.23783,0.29982
1997,male,Does not apply/do not (yet) have a job,0.29787,268,787,0.26589,0.32984
1997,female,In my current field/ field I was trained in,0.29158,372,1329,0.26714,0.31603
1997,female,Do something new,0.16486,178,1329,0.14490,0.18482
1997,female,Does not matter,0.31145,419,1329,0.28654,0.33636
1997,female,Does not apply/do not (yet) have a job,0.23210,360,1329,0.20940,0.25481
1998,male,In my current field/ field I was trained in,0.25599,217,842,0.22650,0.28549
1998,male,Do something new,0.12961,100,842,0.10691,0.15231
1998,male,Does not matter,0.26437,211,842,0.23457,0.29418
1998,male,Does not apply/do not (yet) have a job,0.35002,314,842,0.31778,0.38226
1998,female,In my current field/ field I was trained in,0.31691,414,1372,0.29228,0.34153
1998,female,Do something new,0.14411,172,1372,0.12552,0.16270
1998,female,Does not matter,0.28822,423,1372,0.26425,0.31220
1998,female,Does not apply/do not (yet) have a job,0.25076,363,1372,0.22781,0.27370
