year,pgisced97,sampreg,plb0426,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,Pre-primary Level,West,Does not apply/do not (yet) have a job,0.76478,113,113,0.68623,0.84333
1994,Pre-primary Level,East,Does not apply/do not (yet) have a job,0.63557,58,58,0.51063,0.76051
1994,Primary Level,West,Does not apply/do not (yet) have a job,0.08940,39,39,-0.00132,0.18012
1994,Lower Secondary Level,West,In my current field/ field I was trained in,0.01807,52,319,0.00343,0.03270
1994,Lower Secondary Level,West,Do something new,0.01213,32,319,0.00010,0.02415
1994,Lower Secondary Level,West,Does not matter,0.03044,81,319,0.01155,0.04932
1994,Lower Secondary Level,West,Does not apply/do not (yet) have a job,0.05516,154,319,0.03007,0.08025
1994,Upper Secondary Level,West,In my current field/ field I was trained in,0.05823,288,620,0.03978,0.07667
1994,Upper Secondary Level,West,Do something new,0.01955,98,620,0.00864,0.03046
1994,Upper Secondary Level,West,Does not matter,0.02550,142,620,0.01308,0.03791
1994,Upper Secondary Level,West,Does not apply/do not (yet) have a job,0.01585,92,620,0.00601,0.02569
1994,Upper Secondary Level,East,In my current field/ field I was trained in,0.05874,119,383,0.03516,0.08233
1994,Upper Secondary Level,East,Do something new,0.03926,69,383,0.01978,0.05873
1994,Upper Secondary Level,East,Does not matter,0.08466,195,383,0.05674,0.11258
1994,Post-secondary Non-tertiary Level,West,In my current field/ field I was trained in,0.09847,31,31,-0.00815,0.20509
1994,Second Stage of Tertiary Education,West,In my current field/ field I was trained in,0.06335,47,47,-0.00705,0.13374
1994,Second Stage of Tertiary Education,East,In my current field/ field I was trained in,0.04525,39,72,-0.00310,0.09361
1994,Second Stage of Tertiary Education,East,Does not matter,0.04253,33,72,-0.00441,0.08946
1996,Pre-primary Level,West,Does not apply/do not (yet) have a job,0.77551,149,149,0.70828,0.84273
1996,Pre-primary Level,East,Does not apply/do not (yet) have a job,0.78909,76,76,0.69676,0.88142
1996,Primary Level,West,Does not apply/do not (yet) have a job,0.06830,33,33,-0.01910,0.15571
1996,Lower Secondary Level,West,In my current field/ field I was trained in,0.02109,52,294,0.00464,0.03755
1996,Lower Secondary Level,West,Does not matter,0.03451,88,294,0.01361,0.05541
1996,Lower Secondary Level,West,Does not apply/do not (yet) have a job,0.05088,154,294,0.02572,0.07604
1996,Upper Secondary Level,West,In my current field/ field I was trained in,0.04207,227,643,0.02654,0.05760
1996,Upper Secondary Level,West,Do something new,0.02986,138,643,0.01670,0.04303
1996,Upper Secondary Level,West,Does not matter,0.03316,183,643,0.01931,0.04701
1996,Upper Secondary Level,West,Does not apply/do not (yet) have a job,0.01352,95,643,0.00459,0.02245
1996,Upper Secondary Level,East,In my current field/ field I was trained in,0.06434,131,378,0.03957,0.08910
1996,Upper Secondary Level,East,Do something new,0.02635,60,378,0.01018,0.04251
1996,Upper Secondary Level,East,Does not matter,0.08685,187,378,0.05842,0.11528
1996,Post-secondary Non-tertiary Level,West,In my current field/ field I was trained in,0.08392,39,39,-0.00424,0.17208
