year,migback,plb0426,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,No migration background,In my current field/ field I was trained in,0.38455,557,1538,0.36023,0.40887
1994,No migration background,Do something new,0.14913,225,1538,0.13132,0.16694
1994,No migration background,Does not matter,0.24625,429,1538,0.22471,0.26778
1994,No migration background,Does not apply/do not (yet) have a job,0.22008,327,1538,0.19936,0.24079
1994,Direct migration background,In my current field/ field I was trained in,0.28165,77,327,0.23282,0.33048
1994,Direct migration background,Do something new,0.14674,38,327,0.10833,0.18515
1994,Direct migration background,Does not matter,0.30525,106,327,0.25526,0.35524
1994,Direct migration background,Does not apply/do not (yet) have a job,0.26636,106,327,0.21838,0.31435
1994,Indirect migration background,Does not apply/do not (yet) have a job,0.77488,110,110,0.69647,0.85329
1996,No migration background,In my current field/ field I was trained in,0.31738,492,1516,0.29394,0.34082
1996,No migration background,Do something new,0.18923,248,1516,0.16950,0.20895
1996,No migration background,Does not matter,0.28401,452,1516,0.26130,0.30672
1996,No migration background,Does not apply/do not (yet) have a job,0.20938,324,1516,0.18889,0.22987
1996,Direct migration background,In my current field/ field I was trained in,0.25590,95,443,0.21522,0.29658
1996,Direct migration background,Do something new,0.18692,58,443,0.15058,0.22327
1996,Direct migration background,Does not matter,0.30792,145,443,0.26488,0.35096
1996,Direct migration background,Does not apply/do not (yet) have a job,0.24926,145,443,0.20893,0.28959
1996,Indirect migration background,Does not apply/do not (yet) have a job,0.69860,118,118,0.61545,0.78175
1997,No migration background,In my current field/ field I was trained in,0.29631,450,1491,0.27312,0.31949
1997,No migration background,Do something new,0.17655,219,1491,0.15719,0.19591
1997,No migration background,Does not matter,0.30725,474,1491,0.28382,0.33067
1997,No migration background,Does not apply/do not (yet) have a job,0.21990,348,1491,0.19887,0.24093
1997,Direct migration background,In my current field/ field I was trained in,0.28011,88,446,0.23839,0.32183
1997,Direct migration background,Do something new,0.11281,43,446,0.08342,0.14221
1997,Direct migration background,Does not matter,0.30589,156,446,0.26307,0.34870
1997,Direct migration background,Does not apply/do not (yet) have a job,0.30119,159,446,0.25856,0.34381
1997,Indirect migration background,Does not apply/do not (yet) have a job,0.69771,121,121,0.61554,0.77988
1998,No migration background,In my current field/ field I was trained in,0.31449,514,1642,0.29202,0.33695
1998,No migration background,Do something new,0.14468,213,1642,0.12766,0.16170
1998,No migration background,Does not matter,0.27724,486,1642,0.25558,0.29889
1998,No migration background,Does not apply/do not (yet) have a job,0.26360,429,1642,0.24228,0.28492
1998,Direct migration background,In my current field/ field I was trained in,0.27327,93,392,0.22910,0.31744
1998,Direct migration background,Do something new,0.10710,39,392,0.07645,0.13776
1998,Direct migration background,Does not matter,0.33517,124,392,0.28838,0.38196
1998,Direct migration background,Does not apply/do not (yet) have a job,0.28446,136,392,0.23974,0.32918
1998,Indirect migration background,Does not apply/do not (yet) have a job,0.62407,112,112,0.53396,0.71418
1999,No migration background,In my current field/ field I was trained in,0.27306,395,1441,0.25005,0.29607
1999,No migration background,Do something new,0.14923,199,1441,0.13083,0.16764
1999,No migration background,Does not matter,0.29645,445,1441,0.27286,0.32004
1999,No migration background,Does not apply/do not (yet) have a job,0.28126,402,1441,0.25804,0.30448
1999,Direct migration background,In my current field/ field I was trained in,0.26579,74,285,0.21442,0.31717
1999,Direct migration background,Does not matter,0.34969,104,285,0.29422,0.40515
1999,Direct migration background,Does not apply/do not (yet) have a job,0.30999,107,285,0.25620,0.36378
1999,Indirect migration background,Does not apply/do not (yet) have a job,0.65814,109,109,0.56868,0.74760
2000,No migration background,In my current field/ field I was trained in,0.29454,753,2556,0.27686,0.31221
2000,No migration background,Do something new,0.16281,393,2556,0.14850,0.17713
2000,No migration background,Does not matter,0.26573,713,2556,0.24860,0.28286
2000,No migration background,Does not apply/do not (yet) have a job,0.27692,697,2556,0.25957,0.29428
2000,Direct migration background,In my current field/ field I was trained in,0.27879,153,557,0.24152,0.31606
2000,Direct migration background,Do something new,0.11278,54,557,0.08649,0.13908
2000,Direct migration background,Does not matter,0.26701,153,557,0.23023,0.30378
2000,Direct migration background,Does not apply/do not (yet) have a job,0.34142,197,557,0.30201,0.38084
2000,Indirect migration background,In my current field/ field I was trained in,0.13200,40,240,0.08909,0.17491
2000,Indirect migration background,Does not matter,0.15956,39,240,0.11313,0.20599
2000,Indirect migration background,Does not apply/do not (yet) have a job,0.62465,161,240,0.56326,0.68604
2001,No migration background,In my current field/ field I was trained in,0.29530,648,2306,0.27668,0.31392
2001,No migration background,Do something new,0.14910,330,2306,0.13456,0.16364
2001,No migration background,Does not matter,0.27393,642,2306,0.25572,0.29213
2001,No migration background,Does not apply/do not (yet) have a job,0.28167,686,2306,0.26331,0.30003
2001,Direct migration background,In my current field/ field I was trained in,0.26747,125,451,0.22657,0.30836
2001,Direct migration background,Do something new,0.13791,53,451,0.10606,0.16977
2001,Direct migration background,Does not matter,0.26765,120,451,0.22675,0.30856
2001,Direct migration background,Does not apply/do not (yet) have a job,0.32697,153,451,0.28362,0.37031
2001,Indirect migration background,In my current field/ field I was trained in,0.16768,38,224,0.11865,0.21671
2001,Indirect migration background,Does not matter,0.12796,35,224,0.08412,0.17181
2001,Indirect migration background,Does not apply/do not (yet) have a job,0.63274,151,224,0.56947,0.69601
2003,No migration background,In my current field/ field I was trained in,0.24357,571,2447,0.22656,0.26058
2003,No migration background,Do something new,0.12886,291,2447,0.11558,0.14214
2003,No migration background,Does not matter,0.33818,763,2447,0.31943,0.35693
2003,No migration background,Does not apply/do not (yet) have a job,0.28939,822,2447,0.27142,0.30736
2003,Direct migration background,In my current field/ field I was trained in,0.24467,100,418,0.20341,0.28593
2003,Direct migration background,Do something new,0.09212,42,418,0.06436,0.11987
2003,Direct migration background,Does not matter,0.34896,142,418,0.30321,0.39471
2003,Direct migration background,Does not apply/do not (yet) have a job,0.31425,134,418,0.26970,0.35881
2003,Indirect migration background,In my current field/ field I was trained in,0.18001,32,208,0.12767,0.23235
2003,Indirect migration background,Does not matter,0.19358,42,208,0.13976,0.24741
2003,Indirect migration background,Does not apply/do not (yet) have a job,0.54480,134,208,0.47696,0.61264
2005,No migration background,In my current field/ field I was trained in,0.20735,412,2025,0.18968,0.22501
2005,No migration background,Do something new,0.10547,203,2025,0.09209,0.11885
2005,No migration background,Does not matter,0.39397,744,2025,0.37269,0.41526
2005,No migration background,Does not apply/do not (yet) have a job,0.29321,666,2025,0.27338,0.31305
2005,Direct migration background,In my current field/ field I was trained in,0.21681,64,313,0.17109,0.26254
2005,Direct migration background,Does not matter,0.42369,145,313,0.36886,0.47852
2005,Direct migration background,Does not apply/do not (yet) have a job,0.31327,104,313,0.26180,0.36474
2005,Indirect migration background,In my current field/ field I was trained in,0.15355,31,200,0.10346,0.20364
2005,Indirect migration background,Does not matter,0.17193,45,200,0.11950,0.22435
