year,bula_h,regtyp,plb0426,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,North Rhine-Westphalia,Urban regions,In my current field/ field I was trained in,0.38163,133,390,0.33336,0.42991
1994,North Rhine-Westphalia,Urban regions,Do something new,0.12793,49,390,0.09474,0.16112
1994,North Rhine-Westphalia,Urban regions,Does not matter,0.16714,74,390,0.13006,0.20421
1994,North Rhine-Westphalia,Urban regions,Does not apply/do not (yet) have a job,0.32330,134,390,0.27682,0.36979
1994,Hesse,Urban regions,In my current field/ field I was trained in,0.34560,35,76,0.23797,0.45323
1994,Hesse,Urban regions,Does not apply/do not (yet) have a job,0.31077,41,76,0.20603,0.41552
1994,Baden-Wuerttemberg,Urban regions,In my current field/ field I was trained in,0.35720,71,214,0.29285,0.42155
1994,Baden-Wuerttemberg,Urban regions,Does not matter,0.22882,56,214,0.17240,0.28523
1994,Baden-Wuerttemberg,Urban regions,Does not apply/do not (yet) have a job,0.31205,87,214,0.24983,0.37428
1994,Bavaria,Urban regions,In my current field/ field I was trained in,0.39889,50,50,0.26178,0.53599
1994,Bavaria,Rural regions,In my current field/ field I was trained in,0.46996,44,44,0.32079,0.61914
1994,Berlin,Urban regions,In my current field/ field I was trained in,0.41382,31,31,0.23758,0.59007
1994,Brandenburg,Rural regions,Does not matter,0.35071,32,32,0.18273,0.51869
1994,Saxony,Urban regions,In my current field/ field I was trained in,0.29141,35,80,0.19121,0.39162
1994,Saxony,Urban regions,Does not matter,0.39757,45,80,0.28965,0.50549
1994,Saxony,Rural regions,In my current field/ field I was trained in,0.43699,35,73,0.32242,0.55157
1994,Saxony,Rural regions,Does not matter,0.41058,38,73,0.29695,0.52421
1994,Saxony-Anhalt,Rural regions,Does not matter,0.51722,45,45,0.36956,0.66487
1994,Thuringa,Rural regions,Does not matter,0.50630,54,54,0.37170,0.64091
1996,Lower Saxony,Rural regions,In my current field/ field I was trained in,0.33880,33,33,0.17481,0.50280
1996,North Rhine-Westphalia,Urban regions,In my current field/ field I was trained in,0.33783,131,420,0.29254,0.38312
1996,North Rhine-Westphalia,Urban regions,Do something new,0.15495,57,420,0.12030,0.18960
1996,North Rhine-Westphalia,Urban regions,Does not matter,0.23038,98,420,0.19006,0.27069
1996,North Rhine-Westphalia,Urban regions,Does not apply/do not (yet) have a job,0.27684,134,420,0.23400,0.31968
1996,Hesse,Urban regions,Does not matter,0.37865,38,79,0.27101,0.48630
1996,Hesse,Urban regions,Does not apply/do not (yet) have a job,0.29864,41,79,0.19707,0.40021
1996,Baden-Wuerttemberg,Urban regions,In my current field/ field I was trained in,0.22714,51,242,0.17424,0.28003
1996,Baden-Wuerttemberg,Urban regions,Do something new,0.19039,33,242,0.14082,0.23996
1996,Baden-Wuerttemberg,Urban regions,Does not matter,0.26702,61,242,0.21117,0.32288
1996,Baden-Wuerttemberg,Urban regions,Does not apply/do not (yet) have a job,0.31545,97,242,0.25678,0.37412
1996,Bavaria,Urban regions,In my current field/ field I was trained in,0.31225,48,114,0.22681,0.39769
1996,Bavaria,Urban regions,Does not matter,0.21932,31,114,0.14303,0.29562
1996,Bavaria,Urban regions,Does not apply/do not (yet) have a job,0.25446,35,114,0.17415,0.33477
1996,Bavaria,Rural regions,In my current field/ field I was trained in,0.34013,36,71,0.22915,0.45112
1996,Bavaria,Rural regions,Does not matter,0.23455,35,71,0.13529,0.33381
1996,Brandenburg,Rural regions,In my current field/ field I was trained in,0.40720,34,72,0.29292,0.52149
1996,Brandenburg,Rural regions,Does not matter,0.33171,38,72,0.22219,0.44123
1996,Mecklenburg-Western Pomerania,Rural regions,Does not matter,0.54892,33,33,0.37651,0.72133
1996,Saxony,Urban regions,Does not matter,0.46626,42,42,0.31355,0.61896
1996,Saxony,Rural regions,Does not matter,0.40689,37,37,0.24641,0.56736
1996,Saxony-Anhalt,Rural regions,Does not matter,0.48319,38,38,0.32217,0.64421
1996,Thuringa,Rural regions,Does not matter,0.41148,36,36,0.24845,0.57452
1997,Lower Saxony,Urban regions,Does not apply/do not (yet) have a job,0.35075,32,32,0.18276,0.51874
1997,North Rhine-Westphalia,Urban regions,In my current field/ field I was trained in,0.34018,116,388,0.29298,0.38738
1997,North Rhine-Westphalia,Urban regions,Do something new,0.14675,51,388,0.11150,0.18201
1997,North Rhine-Westphalia,Urban regions,Does not matter,0.22403,92,388,0.18249,0.26558
1997,North Rhine-Westphalia,Urban regions,Does not apply/do not (yet) have a job,0.28903,129,388,0.24387,0.33420
1997,Hesse,Urban regions,Does not apply/do not (yet) have a job,0.31299,46,46,0.17750,0.44848
1997,Baden-Wuerttemberg,Urban regions,In my current field/ field I was trained in,0.20648,49,236,0.15473,0.25824
1997,Baden-Wuerttemberg,Urban regions,Does not matter,0.28808,70,236,0.23018,0.34598
1997,Baden-Wuerttemberg,Urban regions,Does not apply/do not (yet) have a job,0.39627,117,236,0.33373,0.45880
1997,Bavaria,Urban regions,In my current field/ field I was trained in,0.35293,52,90,0.25364,0.45221
1997,Bavaria,Urban regions,Does not apply/do not (yet) have a job,0.24790,38,90,0.15819,0.33761
1997,Bavaria,Rural regions,In my current field/ field I was trained in,0.36143,43,79,0.25481,0.46805
1997,Bavaria,Rural regions,Does not matter,0.18421,36,79,0.09818,0.27024
1997,Brandenburg,Rural regions,Does not matter,0.34712,33,33,0.18218,0.51207
1997,Saxony,Urban regions,Does not matter,0.47959,43,43,0.32850,0.63068
1997,Saxony,Rural regions,Does not matter,0.46491,38,38,0.30419,0.62562
1997,Saxony-Anhalt,Rural regions,Does not matter,0.44677,40,40,0.29073,0.60280
1997,Thuringa,Rural regions,Does not matter,0.55380,52,52,0.41737,0.69023
1998,North Rhine-Westphalia,Urban regions,In my current field/ field I was trained in,0.31594,123,427,0.27179,0.36009
1998,North Rhine-Westphalia,Urban regions,Do something new,0.16301,60,427,0.12794,0.19809
1998,North Rhine-Westphalia,Urban regions,Does not matter,0.22362,100,427,0.18405,0.26319
1998,North Rhine-Westphalia,Urban regions,Does not apply/do not (yet) have a job,0.29742,144,427,0.25402,0.34083
1998,Hesse,Urban regions,Does not apply/do not (yet) have a job,0.29326,40,40,0.15038,0.43614
1998,Baden-Wuerttemberg,Urban regions,In my current field/ field I was trained in,0.29599,64,227,0.23647,0.35550
1998,Baden-Wuerttemberg,Urban regions,Does not matter,0.25723,60,227,0.20024,0.31422
1998,Baden-Wuerttemberg,Urban regions,Does not apply/do not (yet) have a job,0.35767,103,227,0.29518,0.42016
1998,Bavaria,Urban regions,In my current field/ field I was trained in,0.23578,44,93,0.14904,0.32253
1998,Bavaria,Urban regions,Does not apply/do not (yet) have a job,0.40546,49,93,0.30513,0.50579
1998,Bavaria,Rural regions,In my current field/ field I was trained in,0.30991,45,123,0.22785,0.39197
1998,Bavaria,Rural regions,Does not matter,0.24237,34,123,0.16633,0.31841
1998,Bavaria,Rural regions,Does not apply/do not (yet) have a job,0.30299,44,123,0.22145,0.38454
1998,Brandenburg,Rural regions,In my current field/ field I was trained in,0.31395,31,73,0.20675,0.42115
1998,Brandenburg,Rural regions,Does not matter,0.36746,42,73,0.25610,0.47882
1998,Saxony,Urban regions,In my current field/ field I was trained in,0.30328,34,78,0.20061,0.40596
1998,Saxony,Urban regions,Does not matter,0.53250,44,78,0.42105,0.64394
1998,Saxony,Rural regions,Does not matter,0.45137,52,52,0.31479,0.58794
1998,Saxony-Anhalt,Rural regions,Does not matter,0.40299,36,36,0.24048,0.56549
1998,Thuringa,Rural regions,In my current field/ field I was trained in,0.36624,32,79,0.25932,0.47316
1998,Thuringa,Rural regions,Does not matter,0.35135,47,79,0.24540,0.45729
1999,North Rhine-Westphalia,Urban regions,In my current field/ field I was trained in,0.28037,93,357,0.23371,0.32703
1999,North Rhine-Westphalia,Urban regions,Do something new,0.12237,45,357,0.08833,0.15642
1999,North Rhine-Westphalia,Urban regions,Does not matter,0.22966,91,357,0.18597,0.27335
1999,North Rhine-Westphalia,Urban regions,Does not apply/do not (yet) have a job,0.36760,128,357,0.31751,0.41768
1999,Hesse,Urban regions,Does not apply/do not (yet) have a job,0.37082,47,47,0.23123,0.51040
1999,Baden-Wuerttemberg,Urban regions,In my current field/ field I was trained in,0.30115,58,193,0.23626,0.36604
1999,Baden-Wuerttemberg,Urban regions,Does not matter,0.28568,59,193,0.22178,0.34958
1999,Baden-Wuerttemberg,Urban regions,Does not apply/do not (yet) have a job,0.29263,76,193,0.22828,0.35699
1999,Bavaria,Urban regions,In my current field/ field I was trained in,0.30080,33,65,0.18844,0.41316
1999,Bavaria,Urban regions,Does not apply/do not (yet) have a job,0.34022,32,65,0.22414,0.45629
1999,Bavaria,Rural regions,In my current field/ field I was trained in,0.30830,33,64,0.19427,0.42233
1999,Bavaria,Rural regions,Does not matter,0.24160,31,64,0.13590,0.34730
1999,Berlin,Urban regions,Does not apply/do not (yet) have a job,0.33714,34,34,0.17585,0.49844
1999,Brandenburg,Rural regions,Does not matter,0.33494,31,31,0.16605,0.50383
1999,Saxony,Urban regions,Does not matter,0.40479,36,36,0.24217,0.56741
1999,Saxony,Rural regions,Does not matter,0.45098,49,49,0.31021,0.59175
1999,Saxony-Anhalt,Rural regions,Does not matter,0.55234,40,40,0.39627,0.70840
1999,Thuringa,Rural regions,Does not matter,0.51083,40,40,0.35394,0.66772
2000,Lower Saxony,Urban regions,In my current field/ field I was trained in,0.32007,34,75,0.21378,0.42636
2000,Lower Saxony,Urban regions,Does not apply/do not (yet) have a job,0.31615,41,75,0.21020,0.42209
2000,Lower Saxony,Rural regions,In my current field/ field I was trained in,0.21189,33,112,0.13587,0.28791
2000,Lower Saxony,Rural regions,Does not matter,0.32447,36,112,0.23738,0.41157
2000,Lower Saxony,Rural regions,Does not apply/do not (yet) have a job,0.29972,43,112,0.21449,0.38495
2000,North Rhine-Westphalia,Urban regions,In my current field/ field I was trained in,0.27490,171,630,0.24000,0.30979
2000,North Rhine-Westphalia,Urban regions,Do something new,0.12694,78,630,0.10092,0.15295
2000,North Rhine-Westphalia,Urban regions,Does not matter,0.25010,159,630,0.21625,0.28394
2000,North Rhine-Westphalia,Urban regions,Does not apply/do not (yet) have a job,0.34807,222,630,0.31084,0.38530
2000,Hesse,Urban regions,In my current field/ field I was trained in,0.30494,58,183,0.23805,0.37182
2000,Hesse,Urban regions,Does not matter,0.23764,46,183,0.17580,0.29948
2000,Hesse,Urban regions,Does not apply/do not (yet) have a job,0.36954,79,183,0.29942,0.43967
2000,"Rhineland-Palatinate, Saarland",Urban regions,In my current field/ field I was trained in,0.27849,42,123,0.19895,0.35804
2000,"Rhineland-Palatinate, Saarland",Urban regions,Does not matter,0.19747,32,123,0.12683,0.26811
2000,"Rhineland-Palatinate, Saarland",Urban regions,Does not apply/do not (yet) have a job,0.37002,49,123,0.28434,0.45569
2000,Baden-Wuerttemberg,Urban regions,In my current field/ field I was trained in,0.29982,108,362,0.25255,0.34708
2000,Baden-Wuerttemberg,Urban regions,Do something new,0.12779,40,362,0.09335,0.16223
2000,Baden-Wuerttemberg,Urban regions,Does not matter,0.22243,80,362,0.17953,0.26533
2000,Baden-Wuerttemberg,Urban regions,Does not apply/do not (yet) have a job,0.34997,134,362,0.30076,0.39917
2000,Bavaria,Urban regions,In my current field/ field I was trained in,0.31092,66,198,0.24629,0.37556
2000,Bavaria,Urban regions,Do something new,0.17070,34,198,0.11816,0.22324
2000,Bavaria,Urban regions,Does not matter,0.16777,38,198,0.11559,0.21994
2000,Bavaria,Urban regions,Does not apply/do not (yet) have a job,0.35061,60,198,0.28398,0.41724
2000,Bavaria,Rural regions,In my current field/ field I was trained in,0.31493,66,200,0.25039,0.37947
2000,Bavaria,Rural regions,Do something new,0.20580,34,200,0.14963,0.26197
2000,Bavaria,Rural regions,Does not matter,0.21344,48,200,0.15651,0.27036
2000,Bavaria,Rural regions,Does not apply/do not (yet) have a job,0.26584,52,200,0.20446,0.32722
2000,Berlin,Urban regions,In my current field/ field I was trained in,0.30370,45,97,0.21171,0.39569
2000,Berlin,Urban regions,Does not apply/do not (yet) have a job,0.34946,52,97,0.25408,0.44484
2000,Brandenburg,Rural regions,In my current field/ field I was trained in,0.28132,37,137,0.20575,0.35689
2000,Brandenburg,Rural regions,Does not matter,0.35428,62,137,0.27389,0.43466
2000,Brandenburg,Rural regions,Does not apply/do not (yet) have a job,0.24603,38,137,0.17364,0.31841
2000,Saxony,Urban regions,In my current field/ field I was trained in,0.28393,43,128,0.20551,0.36235
2000,Saxony,Urban regions,Does not matter,0.33221,53,128,0.25029,0.41413
2000,Saxony,Urban regions,Does not apply/do not (yet) have a job,0.19303,32,128,0.12439,0.26167
2000,Saxony,Rural regions,In my current field/ field I was trained in,0.26712,43,140,0.19356,0.34067
2000,Saxony,Rural regions,Does not matter,0.35245,62,140,0.27303,0.43187
2000,Saxony,Rural regions,Does not apply/do not (yet) have a job,0.20008,35,140,0.13358,0.26659
2000,Saxony-Anhalt,Rural regions,In my current field/ field I was trained in,0.25960,36,122,0.18148,0.33771
2000,Saxony-Anhalt,Rural regions,Does not matter,0.45700,52,122,0.36824,0.54576
2000,Saxony-Anhalt,Rural regions,Does not apply/do not (yet) have a job,0.17395,34,122,0.10641,0.24149
2000,Thuringa,Rural regions,Does not matter,0.49317,58,58,0.36338,0.62296
2001,Lower Saxony,Urban regions,Does not apply/do not (yet) have a job,0.27132,38,38,0.12805,0.41460
2001,Lower Saxony,Rural regions,In my current field/ field I was trained in,0.29383,38,80,0.19338,0.39428
2001,Lower Saxony,Rural regions,Does not apply/do not (yet) have a job,0.32390,42,80,0.22070,0.42709
2001,North Rhine-Westphalia,Urban regions,In my current field/ field I was trained in,0.29704,164,553,0.25892,0.33516
2001,North Rhine-Westphalia,Urban regions,Do something new,0.13338,76,553,0.10502,0.16174
2001,North Rhine-Westphalia,Urban regions,Does not matter,0.22507,114,553,0.19023,0.25991
2001,North Rhine-Westphalia,Urban regions,Does not apply/do not (yet) have a job,0.34451,199,553,0.30487,0.38416
2001,Hesse,Urban regions,In my current field/ field I was trained in,0.36158,51,151,0.28469,0.43847
2001,Hesse,Urban regions,Does not matter,0.24216,36,151,0.17360,0.31071
2001,Hesse,Urban regions,Does not apply/do not (yet) have a job,0.33639,64,151,0.26078,0.41200
