year,sampreg,sex,plb0426,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,West,male,In my current field/ field I was trained in,0.02908,158,485,0.01411,0.04405
1994,West,male,Do something new,0.01016,62,485,0.00123,0.01910
1994,West,male,Does not matter,0.01140,89,485,0.00194,0.02085
1994,West,male,Does not apply/do not (yet) have a job,0.02839,176,485,0.01360,0.04319
1994,West,female,In my current field/ field I was trained in,0.04961,309,868,0.03515,0.06406
1994,West,female,Do something new,0.01792,117,868,0.00909,0.02675
1994,West,female,Does not matter,0.02736,184,868,0.01650,0.03822
1994,West,female,Does not apply/do not (yet) have a job,0.03165,258,868,0.02000,0.04331
1994,East,male,In my current field/ field I was trained in,0.03214,77,246,0.01005,0.05422
1994,East,male,Do something new,0.01833,35,246,0.00153,0.03512
1994,East,male,Does not matter,0.04196,88,246,0.01686,0.06707
1994,East,male,Does not apply/do not (yet) have a job,0.01834,46,246,0.00154,0.03514
1994,East,female,In my current field/ field I was trained in,0.04735,110,422,0.02706,0.06764
1994,East,female,Do something new,0.02840,63,422,0.01253,0.04427
1994,East,female,Does not matter,0.06839,186,422,0.04428,0.09250
1994,East,female,Does not apply/do not (yet) have a job,0.01735,63,422,0.00487,0.02982
1996,West,male,In my current field/ field I was trained in,0.02203,141,514,0.00933,0.03473
1996,West,male,Do something new,0.01549,83,514,0.00480,0.02618
1996,West,male,Does not matter,0.01501,107,514,0.00449,0.02553
1996,West,male,Does not apply/do not (yet) have a job,0.02626,183,514,0.01242,0.04009
1996,West,female,In my current field/ field I was trained in,0.04275,283,970,0.03001,0.05548
1996,West,female,Do something new,0.02720,145,970,0.01696,0.03744
1996,West,female,Does not matter,0.03726,254,970,0.02533,0.04918
1996,West,female,Does not apply/do not (yet) have a job,0.03254,288,970,0.02137,0.04371
1996,East,male,In my current field/ field I was trained in,0.03521,83,269,0.01315,0.05728
1996,East,male,Do something new,0.01716,38,269,0.00161,0.03271
1996,East,male,Does not matter,0.04282,89,269,0.01858,0.06705
1996,East,male,Does not apply/do not (yet) have a job,0.01958,59,269,0.00299,0.03617
1996,East,female,In my current field/ field I was trained in,0.04834,107,388,0.02697,0.06971
1996,East,female,Do something new,0.01920,52,388,0.00553,0.03287
1996,East,female,Does not matter,0.06912,172,388,0.04385,0.09440
1996,East,female,Does not apply/do not (yet) have a job,0.01737,57,388,0.00435,0.03039
1997,West,male,In my current field/ field I was trained in,0.02069,113,514,0.00838,0.03301
1997,West,male,Do something new,0.01327,67,514,0.00337,0.02317
1997,West,male,Does not matter,0.01970,126,514,0.00767,0.03172
1997,West,male,Does not apply/do not (yet) have a job,0.02797,208,514,0.01370,0.04224
1997,West,female,In my current field/ field I was trained in,0.04213,284,961,0.02943,0.05484
1997,West,female,Do something new,0.02408,133,961,0.01438,0.03377
1997,West,female,Does not matter,0.03797,252,961,0.02588,0.05006
1997,West,female,Does not apply/do not (yet) have a job,0.03558,292,961,0.02386,0.04729
1997,East,male,In my current field/ field I was trained in,0.04211,78,273,0.01825,0.06598
1997,East,male,Do something new,0.01716,34,273,0.00173,0.03260
1997,East,male,Does not matter,0.04272,101,273,0.01868,0.06675
