,Unnamed: 0,year,age_gr,plb0426,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1994,17-29 y.,In my current field/ field I was trained in,0.29377,283,1960,0.27074,0.31392
1,1,1994,17-29 y.,Do something new,0.14954,150,1960,0.13104,0.16531
2,2,1994,17-29 y.,Does not matter,0.11703,152,1960,0.10376,0.13048
3,3,1994,17-29 y.,Does not apply/do not (yet) have a job,0.43967,456,1960,0.41485,0.4683
4,4,1994,30-45 y.,In my current field/ field I was trained in,0.44821,266,1960,0.40627,0.49019
5,5,1994,30-45 y.,Do something new,0.16479,99,1960,0.14319,0.19745
6,6,1994,30-45 y.,Does not matter,0.31784,239,1960,0.28633,0.34622
7,7,1994,30-45 y.,Does not apply/do not (yet) have a job,0.06915,57,1960,0.05651,0.07934
8,8,1994,46-65 y.,In my current field/ field I was trained in,0.46453,105,1960,0.39948,0.52124
9,9,1994,46-65 y.,Does not matter,0.53547,153,1960,0.48183,0.59578
10,10,1996,17-29 y.,In my current field/ field I was trained in,0.24416,245,2114,0.22251,0.27082
11,11,1996,17-29 y.,Do something new,0.15865,138,2114,0.1355,0.18357
12,12,1996,17-29 y.,Does not matter,0.14776,164,2114,0.12936,0.16934
13,13,1996,17-29 y.,Does not apply/do not (yet) have a job,0.44943,492,2114,0.42248,0.47268
14,14,1996,30-45 y.,In my current field/ field I was trained in,0.35078,254,2114,0.32545,0.37547
15,15,1996,30-45 y.,Do something new,0.24467,143,2114,0.20798,0.29606
16,16,1996,30-45 y.,Does not matter,0.3381,276,2114,0.30927,0.37054
17,17,1996,30-45 y.,Does not apply/do not (yet) have a job,0.06645,73,2114,0.05282,0.081
18,18,1996,46-65 y.,In my current field/ field I was trained in,0.35997,114,2114,0.30525,0.41449
19,19,1996,46-65 y.,Do something new,0.12866,36,2114,0.10111,0.15976
20,20,1996,46-65 y.,Does not matter,0.51136,179,2114,0.444,0.57156
21,21,1997,17-29 y.,In my current field/ field I was trained in,0.22054,211,2113,0.19858,0.23827
22,22,1997,17-29 y.,Do something new,0.12236,110,2113,0.10288,0.14323
23,23,1997,17-29 y.,Does not matter,0.16197,153,2113,0.14041,0.18765
24,24,1997,17-29 y.,Does not apply/do not (yet) have a job,0.49513,519,2113,0.46494,0.52648
