year,migback,quintil_oecd,plb0426,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,No migration background,1st Quintile,In my current field/ field I was trained in,0.05013,119,450,0.02994,0.07031
1994,No migration background,1st Quintile,Do something new,0.02808,74,450,0.01280,0.04336
1994,No migration background,1st Quintile,Does not matter,0.05897,174,450,0.03718,0.08076
1994,No migration background,1st Quintile,Does not apply/do not (yet) have a job,0.03446,83,450,0.01759,0.05133
1994,No migration background,2nd Quintile,In my current field/ field I was trained in,0.04707,123,349,0.02482,0.06932
1994,No migration background,2nd Quintile,Do something new,0.02116,51,349,0.00604,0.03629
1994,No migration background,2nd Quintile,Does not matter,0.03263,116,349,0.01396,0.05129
1994,No migration background,2nd Quintile,Does not apply/do not (yet) have a job,0.02159,59,349,0.00632,0.03686
1994,No migration background,3rd Quintile,In my current field/ field I was trained in,0.04281,122,292,0.01955,0.06606
1994,No migration background,3rd Quintile,Do something new,0.01464,44,292,0.00084,0.02844
1994,No migration background,3rd Quintile,Does not matter,0.01699,56,292,0.00214,0.03184
1994,No migration background,3rd Quintile,Does not apply/do not (yet) have a job,0.02145,70,292,0.00480,0.03809
1994,No migration background,4th Quintile,In my current field/ field I was trained in,0.03755,109,263,0.01453,0.06058
1994,No migration background,4th Quintile,Do something new,0.01242,35,263,-0.00099,0.02584
1994,No migration background,4th Quintile,Does not matter,0.01596,51,263,0.00078,0.03113
1994,No migration background,4th Quintile,Does not apply/do not (yet) have a job,0.02451,68,263,0.00579,0.04323
1994,No migration background,5th Quintile,In my current field/ field I was trained in,0.03243,84,163,0.00515,0.05971
1994,No migration background,5th Quintile,Does not matter,0.01260,32,163,-0.00458,0.02977
1994,No migration background,5th Quintile,Does not apply/do not (yet) have a job,0.01844,47,163,-0.00228,0.03915
1994,Direct migration background,1st Quintile,Does not matter,0.05551,48,104,0.01129,0.09973
1994,Direct migration background,1st Quintile,Does not apply/do not (yet) have a job,0.06999,56,104,0.02072,0.11926
1994,Direct migration background,2nd Quintile,Does not apply/do not (yet) have a job,0.04831,33,33,-0.02598,0.12260
1994,Indirect migration background,1st Quintile,Does not apply/do not (yet) have a job,0.07699,37,37,-0.01009,0.16408
1996,No migration background,1st Quintile,In my current field/ field I was trained in,0.04927,117,445,0.02914,0.06940
1996,No migration background,1st Quintile,Do something new,0.03986,76,445,0.02166,0.05805
1996,No migration background,1st Quintile,Does not matter,0.06506,171,445,0.04211,0.08800
1996,No migration background,1st Quintile,Does not apply/do not (yet) have a job,0.02987,81,445,0.01404,0.04571
1996,No migration background,2nd Quintile,In my current field/ field I was trained in,0.03701,107,339,0.01688,0.05713
1996,No migration background,2nd Quintile,Do something new,0.02318,58,339,0.00714,0.03922
1996,No migration background,2nd Quintile,Does not matter,0.03842,111,339,0.01793,0.05891
1996,No migration background,2nd Quintile,Does not apply/do not (yet) have a job,0.02234,63,339,0.00658,0.03809
1996,No migration background,3rd Quintile,In my current field/ field I was trained in,0.03405,95,280,0.01277,0.05533
1996,No migration background,3rd Quintile,Do something new,0.01830,49,280,0.00257,0.03403
1996,No migration background,3rd Quintile,Does not matter,0.02534,74,280,0.00690,0.04378
1996,No migration background,3rd Quintile,Does not apply/do not (yet) have a job,0.02146,62,280,0.00446,0.03847
1996,No migration background,4th Quintile,In my current field/ field I was trained in,0.02499,88,244,0.00536,0.04461
1996,No migration background,4th Quintile,Do something new,0.01271,32,244,-0.00137,0.02680
1996,No migration background,4th Quintile,Does not matter,0.02044,61,244,0.00265,0.03823
1996,No migration background,4th Quintile,Does not apply/do not (yet) have a job,0.01911,63,244,0.00189,0.03632
1996,No migration background,5th Quintile,In my current field/ field I was trained in,0.02912,85,208,0.00621,0.05202
1996,No migration background,5th Quintile,Do something new,0.01189,33,208,-0.00288,0.02665
1996,No migration background,5th Quintile,Does not matter,0.01094,35,208,-0.00323,0.02510
1996,No migration background,5th Quintile,Does not apply/do not (yet) have a job,0.02163,55,208,0.00182,0.04145
1996,Direct migration background,1st Quintile,In my current field/ field I was trained in,0.05364,39,186,0.02117,0.08611
1996,Direct migration background,1st Quintile,Does not matter,0.07791,76,186,0.03928,0.11653
1996,Direct migration background,1st Quintile,Does not apply/do not (yet) have a job,0.05293,71,186,0.02067,0.08520
1996,Direct migration background,2nd Quintile,Does not matter,0.04036,35,73,-0.00510,0.08582
1996,Direct migration background,2nd Quintile,Does not apply/do not (yet) have a job,0.04116,38,73,-0.00473,0.08706
1996,Indirect migration background,1st Quintile,Does not apply/do not (yet) have a job,0.07021,50,50,-0.00133,0.14175
1997,No migration background,1st Quintile,In my current field/ field I was trained in,0.04600,96,388,0.02513,0.06688
1997,No migration background,1st Quintile,Do something new,0.03644,57,388,0.01777,0.05511
1997,No migration background,1st Quintile,Does not matter,0.07472,171,388,0.04853,0.10092
1997,No migration background,1st Quintile,Does not apply/do not (yet) have a job,0.02763,64,388,0.01130,0.04396
1997,No migration background,2nd Quintile,In my current field/ field I was trained in,0.03817,113,375,0.01875,0.05759
1997,No migration background,2nd Quintile,Do something new,0.02067,54,375,0.00625,0.03509
1997,No migration background,2nd Quintile,Does not matter,0.03850,118,375,0.01900,0.05800
1997,No migration background,2nd Quintile,Does not apply/do not (yet) have a job,0.03016,90,375,0.01283,0.04750
1997,No migration background,3rd Quintile,In my current field/ field I was trained in,0.03576,103,310,0.01505,0.05646
1997,No migration background,3rd Quintile,Do something new,0.02040,42,310,0.00464,0.03616
1997,No migration background,3rd Quintile,Does not matter,0.02831,86,310,0.00982,0.04680
1997,No migration background,3rd Quintile,Does not apply/do not (yet) have a job,0.02427,79,310,0.00711,0.04143
1997,No migration background,4th Quintile,In my current field/ field I was trained in,0.02845,83,243,0.00750,0.04940
1997,No migration background,4th Quintile,Do something new,0.01254,38,243,-0.00148,0.02656
1997,No migration background,4th Quintile,Does not matter,0.02247,61,243,0.00379,0.04114
1997,No migration background,4th Quintile,Does not apply/do not (yet) have a job,0.01947,61,243,0.00206,0.03688
1997,No migration background,5th Quintile,In my current field/ field I was trained in,0.01852,55,147,-0.00335,0.04038
1997,No migration background,5th Quintile,Does not matter,0.01385,38,147,-0.00511,0.03281
1997,No migration background,5th Quintile,Does not apply/do not (yet) have a job,0.02098,54,147,-0.00227,0.04422
1997,Direct migration background,1st Quintile,Does not matter,0.09521,87,175,0.05160,0.13882
1997,Direct migration background,1st Quintile,Does not apply/do not (yet) have a job,0.08030,88,175,0.03992,0.12067
1997,Direct migration background,2nd Quintile,Does not matter,0.03997,37,70,-0.00625,0.08619
1997,Direct migration background,2nd Quintile,Does not apply/do not (yet) have a job,0.03824,33,70,-0.00701,0.08349
1997,Indirect migration background,1st Quintile,Does not apply/do not (yet) have a job,0.07170,43,43,-0.00632,0.14973
1997,Indirect migration background,2nd Quintile,Does not apply/do not (yet) have a job,0.06657,33,33,-0.01980,0.15293
1998,No migration background,1st Quintile,In my current field/ field I was trained in,0.04589,91,415,0.02574,0.06605
1998,No migration background,1st Quintile,Do something new,0.03065,61,415,0.01405,0.04726
1998,No migration background,1st Quintile,Does not matter,0.07816,171,415,0.05230,0.10401
1998,No migration background,1st Quintile,Does not apply/do not (yet) have a job,0.04219,92,415,0.02283,0.06156
1998,No migration background,2nd Quintile,In my current field/ field I was trained in,0.04290,112,328,0.02094,0.06486
1998,No migration background,2nd Quintile,Do something new,0.01470,39,328,0.00165,0.02774
1998,No migration background,2nd Quintile,Does not matter,0.03301,108,328,0.01365,0.05238
1998,No migration background,2nd Quintile,Does not apply/do not (yet) have a job,0.02392,69,328,0.00736,0.04048
1998,No migration background,3rd Quintile,In my current field/ field I was trained in,0.03072,98,285,0.01065,0.05079
1998,No migration background,3rd Quintile,Do something new,0.01198,31,285,-0.00067,0.02463
1998,No migration background,3rd Quintile,Does not matter,0.02095,71,285,0.00429,0.03761
1998,No migration background,3rd Quintile,Does not apply/do not (yet) have a job,0.02408,85,285,0.00625,0.04191
1998,No migration background,4th Quintile,In my current field/ field I was trained in,0.02721,82,192,0.00414,0.05029
1998,No migration background,4th Quintile,Does not matter,0.01422,46,192,-0.00257,0.03102
1998,No migration background,4th Quintile,Does not apply/do not (yet) have a job,0.02285,64,192,0.00166,0.04404
1998,No migration background,5th Quintile,In my current field/ field I was trained in,0.01903,52,118,-0.00573,0.04379
1998,No migration background,5th Quintile,Does not apply/do not (yet) have a job,0.02631,66,118,-0.00269,0.05531
1998,Direct migration background,1st Quintile,In my current field/ field I was trained in,0.04974,34,164,0.01636,0.08312
1998,Direct migration background,1st Quintile,Does not matter,0.08026,57,164,0.03855,0.12197
1998,Direct migration background,1st Quintile,Does not apply/do not (yet) have a job,0.07781,73,164,0.03668,0.11893
1998,Indirect migration background,1st Quintile,Does not apply/do not (yet) have a job,0.08832,42,42,0.00146,0.17517
1998,Indirect migration background,2nd Quintile,Does not apply/do not (yet) have a job,0.07843,34,34,-0.01330,0.17015
1999,No migration background,1st Quintile,In my current field/ field I was trained in,0.03788,102,440,0.02003,0.05574
1999,No migration background,1st Quintile,Do something new,0.02587,61,440,0.01102,0.04072
1999,No migration background,1st Quintile,Does not matter,0.06429,172,440,0.04135,0.08724
1999,No migration background,1st Quintile,Does not apply/do not (yet) have a job,0.04496,105,440,0.02558,0.06435
1999,No migration background,2nd Quintile,In my current field/ field I was trained in,0.02780,89,332,0.01009,0.04551
1999,No migration background,2nd Quintile,Do something new,0.02018,53,332,0.00503,0.03533
1999,No migration background,2nd Quintile,Does not matter,0.03348,106,332,0.01410,0.05286
1999,No migration background,2nd Quintile,Does not apply/do not (yet) have a job,0.02677,84,332,0.00938,0.04416
1999,No migration background,3rd Quintile,In my current field/ field I was trained in,0.03434,99,295,0.01353,0.05516
1999,No migration background,3rd Quintile,Do something new,0.01291,40,295,0.00001,0.02582
1999,No migration background,3rd Quintile,Does not matter,0.02576,84,295,0.00765,0.04386
1999,No migration background,3rd Quintile,Does not apply/do not (yet) have a job,0.02291,72,295,0.00581,0.04001
1999,No migration background,4th Quintile,In my current field/ field I was trained in,0.01993,69,177,-0.00072,0.04058
1999,No migration background,4th Quintile,Does not matter,0.01342,51,177,-0.00358,0.03041
1999,No migration background,4th Quintile,Does not apply/do not (yet) have a job,0.01695,57,177,-0.00212,0.03602
1999,No migration background,5th Quintile,In my current field/ field I was trained in,0.01338,36,152,-0.00495,0.03170
1999,No migration background,5th Quintile,Does not matter,0.01223,32,152,-0.00530,0.02975
