,Unnamed: 0,year,regtyp,sampreg,plb0426,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1994,Urban regions,West,In my current field/ field I was trained in,0.37391,360,2021,0.34361,0.40259
1,1,1994,Urban regions,West,Do something new,0.12485,134,2021,0.11117,0.14197
2,2,1994,Urban regions,West,Does not matter,0.19299,226,2021,0.17448,0.21474
3,3,1994,Urban regions,West,Does not apply/do not (yet) have a job,0.30825,365,2021,0.28635,0.3348
4,4,1994,Urban regions,East,In my current field/ field I was trained in,0.29169,66,2021,0.25365,0.33342
5,5,1994,Urban regions,East,Do something new,0.18307,38,2021,0.14751,0.22107
6,6,1994,Urban regions,East,Does not matter,0.3268,75,2021,0.29266,0.37931
7,7,1994,Urban regions,East,Does not apply/do not (yet) have a job,0.19844,50,2021,0.17256,0.23434
8,8,1994,Rural regions,West,In my current field/ field I was trained in,0.41577,107,2021,0.36857,0.48244
9,9,1994,Rural regions,West,Do something new,0.17882,45,2021,0.14182,0.23021
10,10,1994,Rural regions,West,Does not matter,0.17688,47,2021,0.14555,0.21167
11,11,1994,Rural regions,West,Does not apply/do not (yet) have a job,0.22852,69,2021,0.19681,0.26516
12,12,1994,Rural regions,East,In my current field/ field I was trained in,0.29215,121,2021,0.2605,0.31547
13,13,1994,Rural regions,East,Do something new,0.16556,60,2021,0.14162,0.1897
14,14,1994,Rural regions,East,Does not matter,0.44913,199,2021,0.4103,0.49446
15,15,1994,Rural regions,East,Does not apply/do not (yet) have a job,0.09315,59,2021,0.08273,0.10606
16,16,1996,Urban regions,West,In my current field/ field I was trained in,0.28556,326,2111,0.26307,0.31003
17,17,1996,Urban regions,West,Do something new,0.20288,177,2111,0.17459,0.2297
18,18,1996,Urban regions,West,Does not matter,0.23898,282,2111,0.21649,0.2627
19,19,1996,Urban regions,West,Does not apply/do not (yet) have a job,0.27258,386,2111,0.25368,0.29211
20,20,1996,Urban regions,East,In my current field/ field I was trained in,0.35176,60,2111,0.29969,0.42456
21,21,1996,Urban regions,East,Does not matter,0.46305,79,2111,0.4125,0.50812
22,22,1996,Urban regions,East,Does not apply/do not (yet) have a job,0.18519,44,2111,0.16391,0.20851
23,23,1996,Rural regions,West,In my current field/ field I was trained in,0.33662,98,2111,0.29291,0.38716
24,24,1996,Rural regions,West,Do something new,0.16856,51,2111,0.13361,0.21237
25,25,1996,Rural regions,West,Does not matter,0.24381,79,2111,0.19481,0.29525
26,26,1996,Rural regions,West,Does not apply/do not (yet) have a job,0.25101,85,2111,0.21869,0.29029
27,27,1996,Rural regions,East,In my current field/ field I was trained in,0.31813,130,2111,0.28519,0.34902
28,28,1996,Rural regions,East,Do something new,0.12471,60,2111,0.10992,0.14642
29,29,1996,Rural regions,East,Does not matter,0.43081,182,2111,0.39565,0.47718
30,30,1996,Rural regions,East,Does not apply/do not (yet) have a job,0.12635,72,2111,0.11186,0.1465
31,31,1997,Urban regions,West,In my current field/ field I was trained in,0.27727,295,2090,0.25423,0.30356
32,32,1997,Urban regions,West,Do something new,0.16225,150,2090,0.1429,0.18492
33,33,1997,Urban regions,West,Does not matter,0.25514,286,2090,0.23332,0.28156
34,34,1997,Urban regions,West,Does not apply/do not (yet) have a job,0.30534,418,2090,0.28617,0.3281
35,35,1997,Urban regions,East,In my current field/ field I was trained in,0.35622,57,2090,0.28995,0.43004
36,36,1997,Urban regions,East,Does not matter,0.45024,82,2090,0.38288,0.51922
37,37,1997,Urban regions,East,Does not apply/do not (yet) have a job,0.19354,53,2090,0.17443,0.22922
38,38,1997,Rural regions,West,In my current field/ field I was trained in,0.30211,101,2090,0.25825,0.35142
39,39,1997,Rural regions,West,Do something new,0.19039,50,2090,0.15382,0.22987
40,40,1997,Rural regions,West,Does not matter,0.28021,92,2090,0.22497,0.3344
41,41,1997,Rural regions,West,Does not apply/do not (yet) have a job,0.22729,82,2090,0.19461,0.25913
42,42,1997,Rural regions,East,In my current field/ field I was trained in,0.27927,109,2090,0.25084,0.31132
43,43,1997,Rural regions,East,Do something new,0.14855,54,2090,0.12657,0.17327
44,44,1997,Rural regions,East,Does not matter,0.42666,186,2090,0.38575,0.4658
45,45,1997,Rural regions,East,Does not apply/do not (yet) have a job,0.14552,75,2090,0.1262,0.16899
46,46,1998,Urban regions,West,In my current field/ field I was trained in,0.28569,331,2194,0.26467,0.30767
47,47,1998,Urban regions,West,Do something new,0.13984,150,2194,0.12616,0.15237
48,48,1998,Urban regions,West,Does not matter,0.24499,282,2194,0.22762,0.26547
