year,quintil_oecd,regtyp,plb0426,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,1st Quintile,Urban regions,In my current field/ field I was trained in,0.04640,93,394,0.02561,0.06720
1994,1st Quintile,Urban regions,Do something new,0.02280,53,394,0.00804,0.03756
1994,1st Quintile,Urban regions,Does not matter,0.04177,109,394,0.02199,0.06155
1994,1st Quintile,Urban regions,Does not apply/do not (yet) have a job,0.05436,139,394,0.03194,0.07677
1994,1st Quintile,Rural regions,In my current field/ field I was trained in,0.04382,59,257,0.01875,0.06890
1994,1st Quintile,Rural regions,Do something new,0.03450,43,257,0.01215,0.05686
1994,1st Quintile,Rural regions,Does not matter,0.07656,118,257,0.04399,0.10914
1994,1st Quintile,Rural regions,Does not apply/do not (yet) have a job,0.02132,37,257,0.00363,0.03902
1994,2nd Quintile,Urban regions,In my current field/ field I was trained in,0.04653,90,305,0.02285,0.07020
1994,2nd Quintile,Urban regions,Do something new,0.01983,42,305,0.00416,0.03551
1994,2nd Quintile,Urban regions,Does not matter,0.03513,80,305,0.01443,0.05582
1994,2nd Quintile,Urban regions,Does not apply/do not (yet) have a job,0.03527,93,305,0.01453,0.05600
1994,2nd Quintile,Rural regions,In my current field/ field I was trained in,0.03976,56,117,0.00420,0.07532
1994,2nd Quintile,Rural regions,Does not matter,0.02904,61,117,-0.00152,0.05960
1994,3rd Quintile,Urban regions,In my current field/ field I was trained in,0.04405,95,243,0.01819,0.06990
1994,3rd Quintile,Urban regions,Do something new,0.01421,31,243,-0.00070,0.02911
1994,3rd Quintile,Urban regions,Does not matter,0.01764,47,243,0.00105,0.03422
1994,3rd Quintile,Urban regions,Does not apply/do not (yet) have a job,0.02769,70,243,0.00702,0.04837
1994,3rd Quintile,Rural regions,In my current field/ field I was trained in,0.04129,49,115,0.00476,0.07781
1994,3rd Quintile,Rural regions,Does not matter,0.02096,33,115,-0.00534,0.04726
1994,3rd Quintile,Rural regions,Does not apply/do not (yet) have a job,0.01960,33,115,-0.00585,0.04505
1994,4th Quintile,Urban regions,In my current field/ field I was trained in,0.03356,78,178,0.00703,0.06009
1994,4th Quintile,Urban regions,Does not matter,0.01409,37,178,-0.00327,0.03146
1994,4th Quintile,Urban regions,Does not apply/do not (yet) have a job,0.02639,63,178,0.00277,0.05000
1994,4th Quintile,Rural regions,In my current field/ field I was trained in,0.03465,38,38,-0.02428,0.09359
1994,5th Quintile,Urban regions,In my current field/ field I was trained in,0.02904,71,120,-0.00113,0.05921
1994,5th Quintile,Urban regions,Does not apply/do not (yet) have a job,0.01882,49,120,-0.00559,0.04324
1996,1st Quintile,Urban regions,In my current field/ field I was trained in,0.04715,104,477,0.02811,0.06620
1996,1st Quintile,Urban regions,Do something new,0.04483,70,477,0.02624,0.06342
1996,1st Quintile,Urban regions,Does not matter,0.05960,149,477,0.03833,0.08087
1996,1st Quintile,Urban regions,Does not apply/do not (yet) have a job,0.04505,154,477,0.02642,0.06369
1996,1st Quintile,Rural regions,In my current field/ field I was trained in,0.04660,58,253,0.02057,0.07262
1996,1st Quintile,Rural regions,Do something new,0.02597,38,253,0.00633,0.04561
1996,1st Quintile,Rural regions,Does not matter,0.06927,109,253,0.03792,0.10061
1996,1st Quintile,Rural regions,Does not apply/do not (yet) have a job,0.02412,48,253,0.00518,0.04307
1996,2nd Quintile,Urban regions,In my current field/ field I was trained in,0.03592,81,317,0.01540,0.05644
1996,2nd Quintile,Urban regions,Do something new,0.02619,44,317,0.00858,0.04379
1996,2nd Quintile,Urban regions,Does not matter,0.03474,89,317,0.01455,0.05493
