year,bula_h,migback,plb0426,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,Lower Saxony,No migration background,In my current field/ field I was trained in,0.43990,45,45,0.29323,0.58657
1994,North Rhine-Westphalia,No migration background,In my current field/ field I was trained in,0.43528,111,265,0.37548,0.49509
1994,North Rhine-Westphalia,No migration background,Do something new,0.13123,36,265,0.09050,0.17196
1994,North Rhine-Westphalia,No migration background,Does not matter,0.16518,48,265,0.12038,0.20997
1994,North Rhine-Westphalia,No migration background,Does not apply/do not (yet) have a job,0.26831,70,265,0.21486,0.32175
1994,North Rhine-Westphalia,Indirect migration background,Does not apply/do not (yet) have a job,0.80794,35,35,0.67553,0.94035
1994,Hesse,No migration background,In my current field/ field I was trained in,0.39240,31,31,0.21767,0.56713
1994,Baden-Wuerttemberg,No migration background,In my current field/ field I was trained in,0.39821,60,96,0.29977,0.49665
1994,Baden-Wuerttemberg,No migration background,Does not apply/do not (yet) have a job,0.26542,36,96,0.17663,0.35421
1994,Baden-Wuerttemberg,Direct migration background,Does not apply/do not (yet) have a job,0.38901,39,39,0.23400,0.54402
1994,Baden-Wuerttemberg,Indirect migration background,Does not apply/do not (yet) have a job,0.73011,31,31,0.57126,0.88896
1994,Bavaria,No migration background,In my current field/ field I was trained in,0.44452,74,74,0.33053,0.55851
1994,Brandenburg,No migration background,Does not matter,0.30511,31,31,0.14034,0.46988
1994,Mecklenburg-Western Pomerania,No migration background,Does not matter,0.42102,35,35,0.25506,0.58697
1994,Saxony,No migration background,In my current field/ field I was trained in,0.35637,66,179,0.28601,0.42672
1994,Saxony,No migration background,Does not matter,0.40248,80,179,0.33043,0.47452
1994,Saxony,No migration background,Does not apply/do not (yet) have a job,0.13505,33,179,0.08484,0.18526
1994,Saxony-Anhalt,No migration background,Does not matter,0.47117,50,50,0.33140,0.61094
1994,Thuringa,No migration background,Does not matter,0.49849,63,63,0.37403,0.62295
1996,Lower Saxony,No migration background,In my current field/ field I was trained in,0.32592,40,40,0.17882,0.47303
1996,North Rhine-Westphalia,No migration background,In my current field/ field I was trained in,0.38176,100,265,0.32315,0.44036
1996,North Rhine-Westphalia,No migration background,Do something new,0.15143,39,265,0.10819,0.19468
1996,North Rhine-Westphalia,No migration background,Does not matter,0.20778,55,265,0.15884,0.25672
1996,North Rhine-Westphalia,No migration background,Does not apply/do not (yet) have a job,0.25903,71,265,0.20618,0.31187
1996,North Rhine-Westphalia,Direct migration background,Does not matter,0.33000,35,67,0.21656,0.44344
1996,North Rhine-Westphalia,Direct migration background,Does not apply/do not (yet) have a job,0.22189,32,67,0.12164,0.32214
1996,North Rhine-Westphalia,Indirect migration background,Does not apply/do not (yet) have a job,0.67932,33,33,0.51760,0.84104
1996,Baden-Wuerttemberg,No migration background,In my current field/ field I was trained in,0.27157,39,111,0.18845,0.35469
1996,Baden-Wuerttemberg,No migration background,Does not matter,0.26154,34,111,0.17941,0.34366
1996,Baden-Wuerttemberg,No migration background,Does not apply/do not (yet) have a job,0.24242,38,111,0.16233,0.32251
1996,Baden-Wuerttemberg,Direct migration background,Does not matter,0.41534,32,82,0.30802,0.52266
1996,Baden-Wuerttemberg,Direct migration background,Does not apply/do not (yet) have a job,0.38045,50,82,0.27472,0.48618
1996,Bavaria,No migration background,In my current field/ field I was trained in,0.30226,55,88,0.20575,0.39876
1996,Bavaria,No migration background,Do something new,0.25567,33,88,0.16400,0.34734
1996,Bavaria,Direct migration background,Does not matter,0.29903,33,33,0.14040,0.45766
1996,Brandenburg,No migration background,In my current field/ field I was trained in,0.43003,36,73,0.31567,0.54438
1996,Brandenburg,No migration background,Does not matter,0.30608,37,73,0.19963,0.41253
1996,Mecklenburg-Western Pomerania,No migration background,Does not matter,0.53240,39,39,0.37376,0.69105
1996,Saxony,No migration background,In my current field/ field I was trained in,0.32127,50,165,0.24980,0.39274
1996,Saxony,No migration background,Does not matter,0.44476,78,165,0.36870,0.52082
1996,Saxony,No migration background,Does not apply/do not (yet) have a job,0.15968,37,165,0.10361,0.21574
1996,Saxony-Anhalt,No migration background,In my current field/ field I was trained in,0.26503,31,77,0.16580,0.36426
1996,Saxony-Anhalt,No migration background,Does not matter,0.47077,46,77,0.35855,0.58299
1996,Thuringa,No migration background,Does not matter,0.41320,45,45,0.26771,0.55870
1997,North Rhine-Westphalia,No migration background,In my current field/ field I was trained in,0.36204,88,242,0.30137,0.42272
1997,North Rhine-Westphalia,No migration background,Do something new,0.16314,35,242,0.11649,0.20979
1997,North Rhine-Westphalia,No migration background,Does not matter,0.21844,52,242,0.16627,0.27061
1997,North Rhine-Westphalia,No migration background,Does not apply/do not (yet) have a job,0.25638,67,242,0.20125,0.31151
1997,North Rhine-Westphalia,Direct migration background,Does not matter,0.30565,38,70,0.19695,0.41435
1997,North Rhine-Westphalia,Direct migration background,Does not apply/do not (yet) have a job,0.26886,32,70,0.16425,0.37348
1997,North Rhine-Westphalia,Indirect migration background,Does not apply/do not (yet) have a job,0.67369,34,34,0.51371,0.83366
1997,Baden-Wuerttemberg,No migration background,In my current field/ field I was trained in,0.22699,33,109,0.14798,0.30599
1997,Baden-Wuerttemberg,No migration background,Does not matter,0.28226,32,109,0.19737,0.36715
1997,Baden-Wuerttemberg,No migration background,Does not apply/do not (yet) have a job,0.34737,44,109,0.25757,0.43717
1997,Baden-Wuerttemberg,Direct migration background,Does not matter,0.30392,44,100,0.21332,0.39453
1997,Baden-Wuerttemberg,Direct migration background,Does not apply/do not (yet) have a job,0.40970,56,100,0.31283,0.50658
1997,Baden-Wuerttemberg,Indirect migration background,Does not apply/do not (yet) have a job,0.78213,31,31,0.63442,0.92985
1997,Bavaria,No migration background,In my current field/ field I was trained in,0.34563,70,174,0.27476,0.41649
1997,Bavaria,No migration background,Do something new,0.24410,31,174,0.18009,0.30810
1997,Bavaria,No migration background,Does not matter,0.21572,38,174,0.15443,0.27701
1997,Bavaria,No migration background,Does not apply/do not (yet) have a job,0.19456,35,174,0.13557,0.25355
1997,Brandenburg,No migration background,Does not matter,0.35662,34,34,0.19319,0.52005
1997,Saxony,No migration background,In my current field/ field I was trained in,0.27766,43,158,0.20761,0.34772
1997,Saxony,No migration background,Does not matter,0.48497,80,158,0.40679,0.56315
1997,Saxony,No migration background,Does not apply/do not (yet) have a job,0.14202,35,158,0.08741,0.19662
1997,Saxony-Anhalt,No migration background,Does not matter,0.41542,47,47,0.27301,0.55783
1997,Thuringa,No migration background,Does not matter,0.48057,65,65,0.35817,0.60298
1998,Lower Saxony,No migration background,In my current field/ field I was trained in,0.30125,39,39,0.15537,0.44713
1998,North Rhine-Westphalia,No migration background,In my current field/ field I was trained in,0.33112,88,271,0.27499,0.38726
1998,North Rhine-Westphalia,No migration background,Do something new,0.16132,39,271,0.11745,0.20520
1998,North Rhine-Westphalia,No migration background,Does not matter,0.21209,57,271,0.16333,0.26085
1998,North Rhine-Westphalia,No migration background,Does not apply/do not (yet) have a job,0.29546,87,271,0.24104,0.34988
