year,age_gr,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Secondary School Degree,0.40258,1368,3400,0.38610,0.41907
1984,17-29 y.,Intermediate School Degree,0.29340,822,3400,0.27809,0.30870
1984,17-29 y.,Technical School Degree,0.04313,122,3400,0.03630,0.04995
1984,17-29 y.,Upper Secondary Degree,0.14183,394,3400,0.13010,0.15355
1984,17-29 y.,Other Degree,0.02740,307,3400,0.02191,0.03289
1984,17-29 y.,"Dropout, No School Degree",0.02558,186,3400,0.02028,0.03089
1984,17-29 y.,No School Degree Yet,0.06502,201,3400,0.05673,0.07330
1984,30-45 y.,Secondary School Degree,0.58325,1685,3865,0.56770,0.59880
1984,30-45 y.,Intermediate School Degree,0.18854,559,3865,0.17621,0.20088
1984,30-45 y.,Technical School Degree,0.03561,106,3865,0.02977,0.04146
1984,30-45 y.,Upper Secondary Degree,0.10685,312,3865,0.09711,0.11659
1984,30-45 y.,Other Degree,0.05396,757,3865,0.04684,0.06109
1984,30-45 y.,"Dropout, No School Degree",0.02510,349,3865,0.02017,0.03003
1984,30-45 y.,No School Attended,0.00668,97,3865,0.00411,0.00925
1984,46-65 y.,Secondary School Degree,0.72865,2096,3529,0.71397,0.74332
1984,46-65 y.,Intermediate School Degree,0.13704,395,3529,0.12569,0.14839
1984,46-65 y.,Technical School Degree,0.02686,77,3529,0.02152,0.03219
1984,46-65 y.,Upper Secondary Degree,0.06328,185,3529,0.05524,0.07131
1984,46-65 y.,Other Degree,0.02137,359,3529,0.01659,0.02614
1984,46-65 y.,"Dropout, No School Degree",0.01814,321,3529,0.01374,0.02254
1984,46-65 y.,No School Attended,0.00467,96,3529,0.00242,0.00692
1984,66 and older,Secondary School Degree,0.76679,962,1217,0.74303,0.79056
1984,66 and older,Intermediate School Degree,0.14687,181,1217,0.12698,0.16677
1984,66 and older,Upper Secondary Degree,0.05552,74,1217,0.04265,0.06839
1985,17-29 y.,Secondary School Degree,0.38250,1212,3055,0.36526,0.39974
1985,17-29 y.,Intermediate School Degree,0.31124,794,3055,0.29482,0.32766
1985,17-29 y.,Technical School Degree,0.04256,110,3055,0.03540,0.04972
1985,17-29 y.,Upper Secondary Degree,0.13925,372,3055,0.12697,0.15152
1985,17-29 y.,Other Degree,0.02661,230,3055,0.02090,0.03231
1985,17-29 y.,"Dropout, No School Degree",0.02595,145,3055,0.02031,0.03159
1985,17-29 y.,No School Degree Yet,0.07116,192,3055,0.06205,0.08028
1985,30-45 y.,Secondary School Degree,0.56286,1492,3433,0.54627,0.57946
1985,30-45 y.,Intermediate School Degree,0.19824,534,3433,0.18490,0.21158
1985,30-45 y.,Technical School Degree,0.03707,99,3433,0.03074,0.04339
1985,30-45 y.,Upper Secondary Degree,0.11858,312,3433,0.10777,0.12940
1985,30-45 y.,Other Degree,0.05363,643,3433,0.04609,0.06117
1985,30-45 y.,"Dropout, No School Degree",0.02323,271,3433,0.01819,0.02827
