year,migback,quintil_oecd,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,1st Quintile,Secondary School Degree,0.60753,1059,1379,0.58175,0.63332
1984,No migration background,1st Quintile,Intermediate School Degree,0.08160,152,1379,0.06715,0.09605
1984,No migration background,1st Quintile,Technical School Degree,0.02128,41,1379,0.01366,0.02890
1984,No migration background,1st Quintile,Upper Secondary Degree,0.06020,127,1379,0.04764,0.07276
1984,No migration background,2nd Quintile,Secondary School Degree,0.61508,1197,1578,0.59106,0.63909
1984,No migration background,2nd Quintile,Intermediate School Degree,0.11587,238,1578,0.10007,0.13167
1984,No migration background,2nd Quintile,Technical School Degree,0.01504,31,1578,0.00903,0.02104
1984,No migration background,2nd Quintile,Upper Secondary Degree,0.03450,74,1578,0.02550,0.04351
1984,No migration background,2nd Quintile,No School Degree Yet,0.01776,38,1578,0.01124,0.02428
1984,No migration background,3rd Quintile,Secondary School Degree,0.55811,1147,1701,0.53450,0.58172
1984,No migration background,3rd Quintile,Intermediate School Degree,0.16553,350,1701,0.14786,0.18320
1984,No migration background,3rd Quintile,Technical School Degree,0.02165,50,1701,0.01473,0.02856
1984,No migration background,3rd Quintile,Upper Secondary Degree,0.05567,122,1701,0.04477,0.06657
1984,No migration background,3rd Quintile,No School Degree Yet,0.01445,32,1701,0.00878,0.02013
1984,No migration background,4th Quintile,Secondary School Degree,0.51507,1093,1842,0.49224,0.53790
1984,No migration background,4th Quintile,Intermediate School Degree,0.20537,453,1842,0.18692,0.22382
1984,No migration background,4th Quintile,Technical School Degree,0.02658,59,1842,0.01923,0.03393
1984,No migration background,4th Quintile,Upper Secondary Degree,0.08786,199,1842,0.07493,0.10079
1984,No migration background,4th Quintile,No School Degree Yet,0.01661,38,1842,0.01077,0.02245
1984,No migration background,5th Quintile,Secondary School Degree,0.42034,930,1975,0.39857,0.44212
1984,No migration background,5th Quintile,Intermediate School Degree,0.26144,591,1975,0.24206,0.28083
1984,No migration background,5th Quintile,Technical School Degree,0.04965,111,1975,0.04007,0.05923
1984,No migration background,5th Quintile,Upper Secondary Degree,0.15122,343,1975,0.13541,0.16702
1984,Direct migration background,1st Quintile,Secondary School Degree,0.19174,159,917,0.16625,0.21723
1984,Direct migration background,1st Quintile,Other Degree,0.25242,409,917,0.22429,0.28056
1984,Direct migration background,1st Quintile,"Dropout, No School Degree",0.16117,249,917,0.13736,0.18498
1984,Direct migration background,1st Quintile,No School Attended,0.06311,100,917,0.04736,0.07885
1984,Direct migration background,2nd Quintile,Secondary School Degree,0.33269,142,721,0.29827,0.36710
1984,Direct migration background,2nd Quintile,Intermediate School Degree,0.09447,31,721,0.07311,0.11584
1984,Direct migration background,2nd Quintile,Other Degree,0.23914,300,721,0.20798,0.27030
1984,Direct migration background,2nd Quintile,"Dropout, No School Degree",0.13711,200,721,0.11199,0.16224
1984,Direct migration background,2nd Quintile,No School Attended,0.03412,48,721,0.02086,0.04738
1984,Direct migration background,3rd Quintile,Secondary School Degree,0.38356,120,528,0.34204,0.42507
1984,Direct migration background,3rd Quintile,Other Degree,0.24149,270,528,0.20495,0.27803
1984,Direct migration background,3rd Quintile,"Dropout, No School Degree",0.09903,138,528,0.07353,0.12454
1984,Direct migration background,4th Quintile,Secondary School Degree,0.32683,114,500,0.28568,0.36799
1984,Direct migration background,4th Quintile,Other Degree,0.23088,245,500,0.19391,0.26786
1984,Direct migration background,4th Quintile,"Dropout, No School Degree",0.13184,141,500,0.10215,0.16152
1984,Direct migration background,5th Quintile,Secondary School Degree,0.28836,70,335,0.23978,0.33694
1984,Direct migration background,5th Quintile,Intermediate School Degree,0.17348,35,335,0.13287,0.21409
1984,Direct migration background,5th Quintile,Other Degree,0.17918,161,335,0.13805,0.22031
1984,Direct migration background,5th Quintile,"Dropout, No School Degree",0.05940,69,335,0.03405,0.08475
1985,No migration background,1st Quintile,Secondary School Degree,0.57844,915,1205,0.55054,0.60633
1985,No migration background,1st Quintile,Intermediate School Degree,0.11162,187,1205,0.09384,0.12941
1985,No migration background,1st Quintile,Upper Secondary Degree,0.05716,103,1205,0.04404,0.07027
1985,No migration background,2nd Quintile,Secondary School Degree,0.60311,1077,1414,0.57759,0.62862
1985,No migration background,2nd Quintile,Intermediate School Degree,0.11800,216,1414,0.10118,0.13483
1985,No migration background,2nd Quintile,Technical School Degree,0.01677,32,1414,0.01007,0.02347
1985,No migration background,2nd Quintile,Upper Secondary Degree,0.04376,89,1414,0.03309,0.05443
1985,No migration background,3rd Quintile,Secondary School Degree,0.56922,1050,1587,0.54485,0.59360
1985,No migration background,3rd Quintile,Intermediate School Degree,0.17174,339,1587,0.15318,0.19030
1985,No migration background,3rd Quintile,Technical School Degree,0.01581,35,1587,0.00967,0.02195
1985,No migration background,3rd Quintile,Upper Secondary Degree,0.05732,123,1587,0.04588,0.06876
1985,No migration background,3rd Quintile,No School Degree Yet,0.02034,40,1587,0.01339,0.02729
1985,No migration background,4th Quintile,Secondary School Degree,0.51449,977,1679,0.49057,0.53840
1985,No migration background,4th Quintile,Intermediate School Degree,0.21403,411,1679,0.19440,0.23365
1985,No migration background,4th Quintile,Technical School Degree,0.03331,66,1679,0.02473,0.04190
1985,No migration background,4th Quintile,Upper Secondary Degree,0.09230,194,1679,0.07845,0.10615
1985,No migration background,4th Quintile,No School Degree Yet,0.01523,31,1679,0.00937,0.02109
1985,No migration background,5th Quintile,Secondary School Degree,0.40442,818,1837,0.38197,0.42687
1985,No migration background,5th Quintile,Intermediate School Degree,0.26796,552,1837,0.24770,0.28822
1985,No migration background,5th Quintile,Technical School Degree,0.05414,108,1837,0.04379,0.06450
1985,No migration background,5th Quintile,Upper Secondary Degree,0.15663,327,1837,0.14001,0.17326
1985,No migration background,5th Quintile,No School Degree Yet,0.01550,32,1837,0.00985,0.02116
1985,Direct migration background,1st Quintile,Secondary School Degree,0.22157,158,835,0.19338,0.24976
1985,Direct migration background,1st Quintile,Intermediate School Degree,0.07058,32,835,0.05320,0.08796
1985,Direct migration background,1st Quintile,Other Degree,0.24574,349,835,0.21652,0.27496
1985,Direct migration background,1st Quintile,"Dropout, No School Degree",0.15222,220,835,0.12784,0.17660
1985,Direct migration background,1st Quintile,No School Attended,0.05299,76,835,0.03778,0.06819
1985,Direct migration background,2nd Quintile,Secondary School Degree,0.33279,121,583,0.29451,0.37108
1985,Direct migration background,2nd Quintile,Other Degree,0.26961,283,583,0.23355,0.30566
1985,Direct migration background,2nd Quintile,"Dropout, No School Degree",0.10022,135,583,0.07582,0.12462
1985,Direct migration background,2nd Quintile,No School Attended,0.03729,44,583,0.02190,0.05268
1985,Direct migration background,3rd Quintile,Secondary School Degree,0.39861,125,470,0.35430,0.44292
1985,Direct migration background,3rd Quintile,Other Degree,0.22763,218,470,0.18968,0.26558
1985,Direct migration background,3rd Quintile,"Dropout, No School Degree",0.11454,127,470,0.08572,0.14336
1985,Direct migration background,4th Quintile,Secondary School Degree,0.40923,103,404,0.36122,0.45723
1985,Direct migration background,4th Quintile,Other Degree,0.19099,192,404,0.15262,0.22937
1985,Direct migration background,4th Quintile,"Dropout, No School Degree",0.11689,109,404,0.08552,0.14825
1985,Direct migration background,5th Quintile,Secondary School Degree,0.29372,59,263,0.23856,0.34887
1985,Direct migration background,5th Quintile,Intermediate School Degree,0.21987,38,263,0.16972,0.27002
1985,Direct migration background,5th Quintile,Other Degree,0.16254,118,263,0.11786,0.20721
1985,Direct migration background,5th Quintile,"Dropout, No School Degree",0.05785,48,263,0.02958,0.08612
1986,No migration background,1st Quintile,Secondary School Degree,0.58634,861,1153,0.55790,0.61478
1986,No migration background,1st Quintile,Intermediate School Degree,0.09843,153,1153,0.08123,0.11563
1986,No migration background,1st Quintile,Technical School Degree,0.02377,36,1153,0.01498,0.03257
1986,No migration background,1st Quintile,Upper Secondary Degree,0.06367,103,1153,0.04957,0.07777
1986,No migration background,2nd Quintile,Secondary School Degree,0.59568,990,1281,0.56880,0.62257
1986,No migration background,2nd Quintile,Intermediate School Degree,0.13370,224,1281,0.11506,0.15235
1986,No migration background,2nd Quintile,Upper Secondary Degree,0.03526,67,1281,0.02515,0.04536
1986,No migration background,3rd Quintile,Secondary School Degree,0.55016,957,1488,0.52487,0.57544
1986,No migration background,3rd Quintile,Intermediate School Degree,0.16650,305,1488,0.14756,0.18543
1986,No migration background,3rd Quintile,Technical School Degree,0.02596,50,1488,0.01788,0.03404
1986,No migration background,3rd Quintile,Upper Secondary Degree,0.06495,134,1488,0.05242,0.07748
1986,No migration background,3rd Quintile,No School Degree Yet,0.01892,42,1488,0.01199,0.02584
1986,No migration background,4th Quintile,Secondary School Degree,0.50175,947,1634,0.47750,0.52600
