"pgpsbil","year","bildungsniveau","sex","n","percent","lower_confidence","upper_confidence"
"Hauptschulabschluss","1984","(noch) kein Abschluss","maennlich","","","",""
"Hauptschulabschluss","1984","(noch) kein Abschluss","weiblich","","","",""
"Hauptschulabschluss","1984","Hauptschulabschluss","maennlich","2819","0.95002098108929","0.942825626000291","0.95721633617829"
"Hauptschulabschluss","1984","Hauptschulabschluss","weiblich","3270","0.973099573337299","0.967932243804543","0.978266902870055"
"Hauptschulabschluss","1984","Realschulabschluss","maennlich","","","",""
"Hauptschulabschluss","1984","Realschulabschluss","weiblich","","","",""
"Hauptschulabschluss","1984","(Fach-)Abitur","maennlich","","","",""
"Hauptschulabschluss","1984","(Fach-)Abitur","weiblich","","","",""
"Hauptschulabschluss","1984","AkademikerInnen","maennlich","","","",""
"Hauptschulabschluss","1984","AkademikerInnen","weiblich","","","",""
"Realschulabschluss","1984","(noch) kein Abschluss","maennlich","","","",""
"Realschulabschluss","1984","(noch) kein Abschluss","weiblich","","","",""
"Realschulabschluss","1984","Hauptschulabschluss","maennlich","","","",""
"Realschulabschluss","1984","Hauptschulabschluss","weiblich","","","",""
"Realschulabschluss","1984","Realschulabschluss","maennlich","788","1","1","1"
"Realschulabschluss","1984","Realschulabschluss","weiblich","1100","1","1","1"
"Realschulabschluss","1984","(Fach-)Abitur","maennlich","","","",""
"Realschulabschluss","1984","(Fach-)Abitur","weiblich","","","",""
"Realschulabschluss","1984","AkademikerInnen","maennlich","45","0.0943366392680557","0.0696145854442821","0.119058693091829"
"Realschulabschluss","1984","AkademikerInnen","weiblich","","","",""
"Fachhochschulreife","1984","(noch) kein Abschluss","maennlich","","","",""
"Fachhochschulreife","1984","(noch) kein Abschluss","weiblich","","","",""
"Fachhochschulreife","1984","Hauptschulabschluss","maennlich","","","",""
"Fachhochschulreife","1984","Hauptschulabschluss","weiblich","","","",""
"Fachhochschulreife","1984","Realschulabschluss","maennlich","","","",""
"Fachhochschulreife","1984","Realschulabschluss","weiblich","","","",""
"Fachhochschulreife","1984","(Fach-)Abitur","maennlich","123","0.296725739810948","0.257424668950399","0.336026810671498"
"Fachhochschulreife","1984","(Fach-)Abitur","weiblich","75","0.253342159432481","0.207907078260551","0.298777240604412"
"Fachhochschulreife","1984","AkademikerInnen","maennlich","91","0.182614591495156","0.149937595374112","0.2152915876162"
"Fachhochschulreife","1984","AkademikerInnen","weiblich","39","0.165648925012068","0.120108525712317","0.211189324311819"
"Abitur","1984","(noch) kein Abschluss","maennlich","","","",""
"Abitur","1984","(noch) kein Abschluss","weiblich","","","",""
"Abitur","1984","Hauptschulabschluss","maennlich","","","",""
"Abitur","1984","Hauptschulabschluss","weiblich","","","",""
"Abitur","1984","Realschulabschluss","maennlich","","","",""
"Abitur","1984","Realschulabschluss","weiblich","","","",""
