year,bula_h,migback,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,No migration background,Secondary School Degree,0.50808,203,290,0.45044,0.56572
1984,Schleswig-Holstein,No migration background,Intermediate School Degree,0.20086,87,290,0.15467,0.24705
1984,Hamburg,No migration background,Secondary School Degree,0.54104,121,178,0.46763,0.61445
1984,Hamburg,No migration background,Intermediate School Degree,0.22512,57,178,0.16359,0.28665
1984,Hamburg,Direct migration background,Other Degree,0.34782,46,46,0.20867,0.48698
1984,Lower Saxony,No migration background,Secondary School Degree,0.53135,639,957,0.49972,0.56298
1984,Lower Saxony,No migration background,Intermediate School Degree,0.18195,226,957,0.15749,0.20640
1984,Lower Saxony,No migration background,Upper Secondary Degree,0.06749,92,957,0.05159,0.08339
1984,Lower Saxony,Direct migration background,Secondary School Degree,0.36908,41,164,0.29500,0.44316
1984,Lower Saxony,Direct migration background,Other Degree,0.18576,81,164,0.12605,0.24546
1984,Lower Saxony,Direct migration background,"Dropout, No School Degree",0.10678,42,164,0.05937,0.15420
1984,Bremen,No migration background,Secondary School Degree,0.68479,68,68,0.57354,0.79604
1984,North Rhine-Westphalia,No migration background,Secondary School Degree,0.53122,1400,2230,0.51051,0.55194
1984,North Rhine-Westphalia,No migration background,Intermediate School Degree,0.15537,443,2230,0.14033,0.17041
1984,North Rhine-Westphalia,No migration background,Technical School Degree,0.03018,87,2230,0.02308,0.03728
1984,North Rhine-Westphalia,No migration background,Upper Secondary Degree,0.08895,252,2230,0.07713,0.10077
1984,North Rhine-Westphalia,No migration background,No School Degree Yet,0.01678,48,2230,0.01144,0.02211
1984,North Rhine-Westphalia,Direct migration background,Secondary School Degree,0.26948,159,876,0.24008,0.29888
1984,North Rhine-Westphalia,Direct migration background,Intermediate School Degree,0.07973,38,876,0.06178,0.09768
1984,North Rhine-Westphalia,Direct migration background,Other Degree,0.22995,368,876,0.20207,0.25783
1984,North Rhine-Westphalia,Direct migration background,"Dropout, No School Degree",0.14690,244,876,0.12344,0.17035
1984,North Rhine-Westphalia,Direct migration background,No School Attended,0.04233,67,876,0.02898,0.05567
1984,Hesse,No migration background,Secondary School Degree,0.50526,438,714,0.46856,0.54196
1984,Hesse,No migration background,Intermediate School Degree,0.18690,172,714,0.15828,0.21551
1984,Hesse,No migration background,Upper Secondary Degree,0.11623,104,714,0.09270,0.13976
1984,Hesse,Direct migration background,Secondary School Degree,0.34565,101,397,0.29881,0.39249
1984,Hesse,Direct migration background,Other Degree,0.23648,199,397,0.19463,0.27833
1984,Hesse,Direct migration background,"Dropout, No School Degree",0.10899,97,397,0.07830,0.13969
1984,"Rhineland-Palatinate, Saarland",No migration background,Secondary School Degree,0.64607,512,663,0.60964,0.68249
1984,"Rhineland-Palatinate, Saarland",No migration background,Intermediate School Degree,0.13199,107,663,0.10621,0.15778
1984,"Rhineland-Palatinate, Saarland",No migration background,Upper Secondary Degree,0.04860,44,663,0.03222,0.06498
1984,"Rhineland-Palatinate, Saarland",Direct migration background,Other Degree,0.22343,49,101,0.14179,0.30507
