"pgpsbil","year","bildungsniveau","sampreg","n","percent","lower_confidence","upper_confidence"
"Hauptschulabschluss","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Hauptschulabschluss","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Hauptschulabschluss","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","6089","0.962649446426728","0.958296365710506","0.967002527142951"
"Hauptschulabschluss","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Hauptschulabschluss","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Hauptschulabschluss","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Hauptschulabschluss","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"Hauptschulabschluss","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Hauptschulabschluss","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"Hauptschulabschluss","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Realschulabschluss","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Realschulabschluss","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Realschulabschluss","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Realschulabschluss","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Realschulabschluss","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","1888","1","1","1"
"Realschulabschluss","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Realschulabschluss","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"Realschulabschluss","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Realschulabschluss","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","68","0.0945990915759336","0.0742298225898949","0.114968360561972"
"Realschulabschluss","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Fachhochschulreife","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Fachhochschulreife","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Fachhochschulreife","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Fachhochschulreife","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Fachhochschulreife","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Fachhochschulreife","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Fachhochschulreife","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","198","0.278946217679217","0.249162213668552","0.308730221689882"
"Fachhochschulreife","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Fachhochschulreife","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","130","0.177045679574534","0.150478709366586","0.203612649782482"
"Fachhochschulreife","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Abitur","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Abitur","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Abitur","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Abitur","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Abitur","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Abitur","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Abitur","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","458","0.659636200284009","0.628168649927336","0.691103750640682"
"Abitur","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Abitur","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","509","0.67442559435382","0.641811625866609","0.70703956284103"
"Abitur","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Anderer Abschluss","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Anderer Abschluss","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Anderer Abschluss","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","1200","0.0373505535732716","0.0329974728570492","0.041703634289494"
"Anderer Abschluss","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Anderer Abschluss","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Anderer Abschluss","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Anderer Abschluss","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","194","0.0569297130914482","0.0415417710455716","0.0723176551373247"
"Anderer Abschluss","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Anderer Abschluss","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","59","0.019248414069718","0.00968553897695231","0.0288112891624837"
"Anderer Abschluss","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Ohne Abschluss verlassen","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","891","0.505829636938289","0.47877624919346","0.532883024683118"
"Ohne Abschluss verlassen","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Ohne Abschluss verlassen","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Ohne Abschluss verlassen","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Ohne Abschluss verlassen","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Ohne Abschluss verlassen","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Ohne Abschluss verlassen","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"Ohne Abschluss verlassen","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Ohne Abschluss verlassen","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"Ohne Abschluss verlassen","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Noch kein Abschluss","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","209","0.407323369523626","0.380736957011148","0.433909782036103"
"Noch kein Abschluss","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Noch kein Abschluss","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Noch kein Abschluss","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Noch kein Abschluss","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Noch kein Abschluss","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Noch kein Abschluss","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"Noch kein Abschluss","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Noch kein Abschluss","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"Noch kein Abschluss","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Keine Schule besucht","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","212","0.086846993538085","0.0716089101975569","0.102085076878613"
"Keine Schule besucht","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Keine Schule besucht","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Keine Schule besucht","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Keine Schule besucht","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Keine Schule besucht","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Keine Schule besucht","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"Keine Schule besucht","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Keine Schule besucht","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"Keine Schule besucht","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Hauptschulabschluss","1985","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Hauptschulabschluss","1985","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Hauptschulabschluss","1985","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","5455","0.961677525769418","0.957000493778054","0.966354557760782"
"Hauptschulabschluss","1985","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Hauptschulabschluss","1985","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Hauptschulabschluss","1985","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Hauptschulabschluss","1985","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"Hauptschulabschluss","1985","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Hauptschulabschluss","1985","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"Hauptschulabschluss","1985","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Realschulabschluss","1985","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Realschulabschluss","1985","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Realschulabschluss","1985","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Realschulabschluss","1985","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Realschulabschluss","1985","Realschulabschluss","Westdeutschland, alte Bundeslaender","1819","1","1","1"
"Realschulabschluss","1985","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Realschulabschluss","1985","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"Realschulabschluss","1985","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Realschulabschluss","1985","AkademikerInnen","Westdeutschland, alte Bundeslaender","62","0.0902845207312553","0.0698555430476683","0.110713498414842"
"Realschulabschluss","1985","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Fachhochschulreife","1985","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Fachhochschulreife","1985","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Fachhochschulreife","1985","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Fachhochschulreife","1985","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Fachhochschulreife","1985","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Fachhochschulreife","1985","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Fachhochschulreife","1985","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","179","0.275734813002746","0.244631539201613","0.306838086803879"
"Fachhochschulreife","1985","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Fachhochschulreife","1985","AkademikerInnen","Westdeutschland, alte Bundeslaender","122","0.17286286899727","0.145908646424844","0.199817091569696"
"Fachhochschulreife","1985","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Abitur","1985","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Abitur","1985","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Abitur","1985","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Abitur","1985","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Abitur","1985","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Abitur","1985","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Abitur","1985","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","439","0.667043837227906","0.63424320503483","0.699844469420983"
"Abitur","1985","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Abitur","1985","AkademikerInnen","Westdeutschland, alte Bundeslaender","493","0.680674319458119","0.647440994099286","0.713907644816951"
"Abitur","1985","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Anderer Abschluss","1985","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Anderer Abschluss","1985","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Anderer Abschluss","1985","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","1017","0.0383224742305818","0.0336454422392175","0.042999506221946"
"Anderer Abschluss","1985","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Anderer Abschluss","1985","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Anderer Abschluss","1985","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Anderer Abschluss","1985","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","158","0.0532170187277987","0.0375941066244807","0.0688399308311168"
"Anderer Abschluss","1985","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
