year,age_gr,bula_h,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Schleswig-Holstein,Secondary School Degree,0.33721,31,63,0.21953,0.45489
1984,17-29 y.,Schleswig-Holstein,Intermediate School Degree,0.35831,32,63,0.23896,0.47767
1984,17-29 y.,Lower Saxony,Secondary School Degree,0.38788,127,293,0.33199,0.44377
1984,17-29 y.,Lower Saxony,Intermediate School Degree,0.33903,99,293,0.28473,0.39333
1984,17-29 y.,Lower Saxony,Upper Secondary Degree,0.11058,36,293,0.07461,0.14655
1984,17-29 y.,Lower Saxony,No School Degree Yet,0.10006,31,293,0.06564,0.13448
1984,17-29 y.,North Rhine-Westphalia,Secondary School Degree,0.36044,347,954,0.32996,0.39093
1984,17-29 y.,North Rhine-Westphalia,Intermediate School Degree,0.28136,219,954,0.25281,0.30991
1984,17-29 y.,North Rhine-Westphalia,Technical School Degree,0.05577,46,954,0.04120,0.07034
1984,17-29 y.,North Rhine-Westphalia,Upper Secondary Degree,0.16329,120,954,0.13982,0.18676
1984,17-29 y.,North Rhine-Westphalia,Other Degree,0.02870,95,954,0.01810,0.03930
1984,17-29 y.,North Rhine-Westphalia,"Dropout, No School Degree",0.03284,60,954,0.02152,0.04415
1984,17-29 y.,North Rhine-Westphalia,No School Degree Yet,0.07550,67,954,0.05872,0.09227
1984,17-29 y.,Hesse,Secondary School Degree,0.28593,126,323,0.23657,0.33528
1984,17-29 y.,Hesse,Intermediate School Degree,0.31300,85,323,0.26235,0.36365
1984,17-29 y.,Hesse,Upper Secondary Degree,0.22477,58,323,0.17918,0.27036
1984,17-29 y.,Hesse,Other Degree,0.04369,54,323,0.02136,0.06602
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Secondary School Degree,0.54111,130,185,0.46910,0.61311
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Intermediate School Degree,0.24990,55,185,0.18734,0.31246
1984,17-29 y.,Baden-Wuerttemberg,Secondary School Degree,0.46140,292,621,0.42216,0.50064
1984,17-29 y.,Baden-Wuerttemberg,Intermediate School Degree,0.26700,130,621,0.23218,0.30182
1984,17-29 y.,Baden-Wuerttemberg,Upper Secondary Degree,0.10065,46,621,0.07696,0.12433
1984,17-29 y.,Baden-Wuerttemberg,Other Degree,0.03989,76,621,0.02449,0.05530
1984,17-29 y.,Baden-Wuerttemberg,"Dropout, No School Degree",0.01453,39,621,0.00511,0.02395
1984,17-29 y.,Baden-Wuerttemberg,No School Degree Yet,0.07404,38,621,0.05343,0.09465
1984,17-29 y.,Bavaria,Secondary School Degree,0.47308,256,482,0.42847,0.51770
