year,bula_h,sex,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,male,Secondary School Degree,0.57787,98,138,0.49517,0.66058
1984,Schleswig-Holstein,male,Intermediate School Degree,0.20942,40,138,0.14128,0.27756
1984,Schleswig-Holstein,female,Secondary School Degree,0.62829,113,167,0.55477,0.70180
1984,Schleswig-Holstein,female,Intermediate School Degree,0.27198,54,167,0.20429,0.33967
1984,Hamburg,male,Secondary School Degree,0.56034,67,67,0.44059,0.68009
1984,Hamburg,female,Secondary School Degree,0.54597,67,67,0.42585,0.66609
1984,Lower Saxony,male,Secondary School Degree,0.60012,313,539,0.55872,0.64151
1984,Lower Saxony,male,Intermediate School Degree,0.19678,105,539,0.16319,0.23038
1984,Lower Saxony,male,Upper Secondary Degree,0.10400,61,539,0.07821,0.12980
1984,Lower Saxony,male,Other Degree,0.02681,60,539,0.01316,0.04046
1984,Lower Saxony,female,Secondary School Degree,0.64430,370,539,0.60385,0.68475
1984,Lower Saxony,female,Intermediate School Degree,0.22334,131,539,0.18815,0.25854
1984,Lower Saxony,female,Upper Secondary Degree,0.06207,38,539,0.04168,0.08246
1984,Bremen,male,Secondary School Degree,0.62634,32,32,0.45604,0.79665
1984,Bremen,female,Secondary School Degree,0.74769,41,41,0.61308,0.88229
1984,North Rhine-Westphalia,male,Secondary School Degree,0.56092,715,1563,0.53630,0.58553
1984,North Rhine-Westphalia,male,Intermediate School Degree,0.15893,216,1563,0.14080,0.17707
1984,North Rhine-Westphalia,male,Technical School Degree,0.05130,68,1563,0.04036,0.06224
1984,North Rhine-Westphalia,male,Upper Secondary Degree,0.13796,173,1563,0.12085,0.15506
1984,North Rhine-Westphalia,male,Other Degree,0.03972,240,1563,0.03003,0.04940
1984,North Rhine-Westphalia,male,"Dropout, No School Degree",0.02615,115,1563,0.01824,0.03407
1984,North Rhine-Westphalia,male,No School Degree Yet,0.02165,36,1563,0.01443,0.02887
1984,North Rhine-Westphalia,female,Secondary School Degree,0.64262,864,1638,0.61941,0.66584
1984,North Rhine-Westphalia,female,Intermediate School Degree,0.19300,273,1638,0.17389,0.21212
1984,North Rhine-Westphalia,female,Technical School Degree,0.01985,31,1638,0.01310,0.02661
1984,North Rhine-Westphalia,female,Upper Secondary Degree,0.07236,102,1638,0.05981,0.08491
1984,North Rhine-Westphalia,female,Other Degree,0.02087,139,1638,0.01395,0.02780
1984,North Rhine-Westphalia,female,"Dropout, No School Degree",0.02689,154,1638,0.01906,0.03473
1984,North Rhine-Westphalia,female,No School Degree Yet,0.01798,31,1638,0.01155,0.02442
1984,North Rhine-Westphalia,female,No School Attended,0.00642,44,1638,0.00255,0.01028
1984,Hesse,male,Secondary School Degree,0.52234,258,592,0.48206,0.56261
1984,Hesse,male,Intermediate School Degree,0.17756,85,592,0.14675,0.20837
1984,Hesse,male,Upper Secondary Degree,0.17031,77,592,0.14000,0.20061
1984,Hesse,male,Other Degree,0.04705,118,592,0.02998,0.06412
1984,Hesse,male,"Dropout, No School Degree",0.03067,54,592,0.01677,0.04457
1984,Hesse,female,Secondary School Degree,0.59699,287,573,0.55679,0.63719
1984,Hesse,female,Intermediate School Degree,0.22648,107,573,0.19218,0.26078
1984,Hesse,female,Upper Secondary Degree,0.08891,43,573,0.06558,0.11223
1984,Hesse,female,Other Degree,0.02986,87,573,0.01592,0.04381
1984,Hesse,female,"Dropout, No School Degree",0.01542,49,573,0.00532,0.02551
1984,"Rhineland-Palatinate, Saarland",male,Secondary School Degree,0.69661,255,369,0.64964,0.74358
1984,"Rhineland-Palatinate, Saarland",male,Intermediate School Degree,0.13074,49,369,0.09630,0.16519
1984,"Rhineland-Palatinate, Saarland",male,Upper Secondary Degree,0.08119,32,369,0.05328,0.10910
1984,"Rhineland-Palatinate, Saarland",male,Other Degree,0.03213,33,369,0.01411,0.05015
1984,"Rhineland-Palatinate, Saarland",female,Secondary School Degree,0.74626,290,353,0.70080,0.79172
1984,"Rhineland-Palatinate, Saarland",female,Intermediate School Degree,0.16274,63,353,0.12418,0.20130
