year,migback,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Secondary School Degree,0.64408,5437,8648,0.63399,0.65417
1984,No migration background,Intermediate School Degree,0.20016,1785,8648,0.19172,0.20859
1984,No migration background,Technical School Degree,0.03227,292,8648,0.02854,0.03599
1984,No migration background,Upper Secondary Degree,0.09458,871,8648,0.08841,0.10075
1984,No migration background,Other Degree,0.00411,37,8648,0.00276,0.00546
1984,No migration background,"Dropout, No School Degree",0.00782,67,8648,0.00596,0.00968
1984,No migration background,No School Degree Yet,0.01697,159,8648,0.01425,0.01969
1984,Direct migration background,Secondary School Degree,0.33956,606,3299,0.32339,0.35572
1984,Direct migration background,Intermediate School Degree,0.10413,145,3299,0.09370,0.11455
1984,Direct migration background,Technical School Degree,0.02558,33,3299,0.02020,0.03097
1984,Direct migration background,Upper Secondary Degree,0.07796,88,3299,0.06881,0.08711
1984,Direct migration background,Other Degree,0.26606,1386,3299,0.25097,0.28114
1984,Direct migration background,"Dropout, No School Degree",0.14186,799,3299,0.12995,0.15377
1984,Direct migration background,No School Degree Yet,0.00703,34,3299,0.00418,0.00989
1984,Direct migration background,No School Attended,0.03783,208,3299,0.03131,0.04434
1984,Indirect migration background,Secondary School Degree,0.53009,68,68,0.41058,0.64960
1985,No migration background,Secondary School Degree,0.62646,4838,7920,0.61580,0.63711
1985,No migration background,Intermediate School Degree,0.21048,1707,7920,0.20150,0.21946
1985,No migration background,Technical School Degree,0.03284,270,7920,0.02892,0.03677
1985,No migration background,Upper Secondary Degree,0.09759,838,7920,0.09105,0.10412
1985,No migration background,Other Degree,0.00499,42,7920,0.00344,0.00654
1985,No migration background,"Dropout, No School Degree",0.00913,70,7920,0.00704,0.01123
1985,No migration background,No School Degree Yet,0.01850,155,7920,0.01553,0.02147
1985,Direct migration background,Secondary School Degree,0.36030,566,2768,0.34241,0.37818
1985,Direct migration background,Intermediate School Degree,0.11387,142,2768,0.10203,0.12570
1985,Direct migration background,Upper Secondary Degree,0.07793,85,2768,0.06794,0.08792
1985,Direct migration background,Other Degree,0.25208,1160,2768,0.23590,0.26826
1985,Direct migration background,"Dropout, No School Degree",0.12856,641,2768,0.11608,0.14103
1985,Direct migration background,No School Attended,0.03585,174,2768,0.02892,0.04278
1985,Indirect migration background,Secondary School Degree,0.50818,74,74,0.39349,0.62286
1986,No migration background,Secondary School Degree,0.61435,4503,7543,0.60336,0.62533
1986,No migration background,Intermediate School Degree,0.21621,1657,7543,0.20692,0.22550
1986,No migration background,Technical School Degree,0.03483,272,7543,0.03069,0.03896
1986,No migration background,Upper Secondary Degree,0.10467,852,7543,0.09776,0.11158
1986,No migration background,Other Degree,0.00495,41,7543,0.00337,0.00654
1986,No migration background,"Dropout, No School Degree",0.00967,71,7543,0.00746,0.01188
1986,No migration background,No School Degree Yet,0.01531,147,7543,0.01254,0.01808
1986,Direct migration background,Secondary School Degree,0.37396,585,2719,0.35577,0.39215
1986,Direct migration background,Intermediate School Degree,0.11577,151,2719,0.10374,0.12780
1986,Direct migration background,Upper Secondary Degree,0.07922,86,2719,0.06907,0.08937
1986,Direct migration background,Other Degree,0.24545,1113,2719,0.22927,0.26163
1986,Direct migration background,"Dropout, No School Degree",0.12095,588,2719,0.10869,0.13321
