year,migback,sex,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,male,Secondary School Degree,0.51250,2486,4084,0.49717,0.52784
1984,No migration background,male,Intermediate School Degree,0.14560,747,4084,0.13479,0.15642
1984,No migration background,male,Technical School Degree,0.03785,193,4084,0.03200,0.04371
1984,No migration background,male,Upper Secondary Degree,0.10480,543,4084,0.09541,0.11420
1984,No migration background,male,"Dropout, No School Degree",0.00674,32,4084,0.00423,0.00925
1984,No migration background,male,No School Degree Yet,0.01530,83,4084,0.01154,0.01907
1984,No migration background,female,Secondary School Degree,0.56658,2951,4527,0.55214,0.58102
1984,No migration background,female,Intermediate School Degree,0.18834,1038,4527,0.17695,0.19973
1984,No migration background,female,Technical School Degree,0.01745,99,4527,0.01364,0.02127
1984,No migration background,female,Upper Secondary Degree,0.05668,328,4527,0.04994,0.06341
1984,No migration background,female,"Dropout, No School Degree",0.00641,35,4527,0.00408,0.00873
1984,No migration background,female,No School Degree Yet,0.01331,76,4527,0.00997,0.01665
1984,Direct migration background,male,Secondary School Degree,0.27169,329,1706,0.25058,0.29281
1984,Direct migration background,male,Intermediate School Degree,0.08192,68,1706,0.06890,0.09493
1984,Direct migration background,male,Upper Secondary Degree,0.06681,45,1706,0.05495,0.07866
1984,Direct migration background,male,Other Degree,0.27591,825,1706,0.25470,0.29713
1984,Direct migration background,male,"Dropout, No School Degree",0.11597,370,1706,0.10077,0.13117
1984,Direct migration background,male,No School Attended,0.01917,69,1706,0.01266,0.02568
1984,Direct migration background,female,Secondary School Degree,0.32531,277,1526,0.30179,0.34882
1984,Direct migration background,female,Intermediate School Degree,0.10126,77,1526,0.08612,0.11640
1984,Direct migration background,female,Upper Secondary Degree,0.06994,43,1526,0.05714,0.08274
1984,Direct migration background,female,Other Degree,0.18739,561,1526,0.16780,0.20697
1984,Direct migration background,female,"Dropout, No School Degree",0.13327,429,1526,0.11621,0.15033
1984,Direct migration background,female,No School Attended,0.04812,139,1526,0.03738,0.05886
1984,Indirect migration background,female,Secondary School Degree,0.07566,39,39,-0.00843,0.15974
1985,No migration background,male,Secondary School Degree,0.50390,2214,3760,0.48792,0.51988
1985,No migration background,male,Intermediate School Degree,0.15293,712,3760,0.14142,0.16444
1985,No migration background,male,Technical School Degree,0.03905,178,3760,0.03286,0.04525
1985,No migration background,male,Upper Secondary Degree,0.10768,523,3760,0.09777,0.11759
1985,No migration background,male,"Dropout, No School Degree",0.00860,37,3760,0.00565,0.01155
1985,No migration background,male,No School Degree Yet,0.02040,96,3760,0.01588,0.02492
1985,No migration background,female,Secondary School Degree,0.55671,2624,4118,0.54154,0.57189
1985,No migration background,female,Intermediate School Degree,0.20172,995,4118,0.18946,0.21397
1985,No migration background,female,Technical School Degree,0.01786,92,4118,0.01381,0.02190
1985,No migration background,female,Upper Secondary Degree,0.06057,315,4118,0.05328,0.06785
1985,No migration background,female,"Dropout, No School Degree",0.00699,33,4118,0.00445,0.00953
1985,No migration background,female,No School Degree Yet,0.01150,59,4118,0.00824,0.01475
1985,Direct migration background,male,Secondary School Degree,0.30030,316,1472,0.27687,0.32372
1985,Direct migration background,male,Intermediate School Degree,0.09320,66,1472,0.07834,0.10806
1985,Direct migration background,male,Upper Secondary Degree,0.06893,43,1472,0.05598,0.08188
1985,Direct migration background,male,Other Degree,0.27088,698,1472,0.24817,0.29359
1985,Direct migration background,male,"Dropout, No School Degree",0.10428,289,1472,0.08866,0.11990
1985,Direct migration background,male,No School Attended,0.02177,60,1472,0.01431,0.02923
1985,Direct migration background,female,Secondary School Degree,0.34487,250,1296,0.31898,0.37076
1985,Direct migration background,female,Intermediate School Degree,0.11078,76,1296,0.09368,0.12787
1985,Direct migration background,female,Upper Secondary Degree,0.07042,42,1296,0.05648,0.08435
1985,Direct migration background,female,Other Degree,0.17749,462,1296,0.15668,0.19830
1985,Direct migration background,female,"Dropout, No School Degree",0.12606,352,1296,0.10798,0.14414
1985,Direct migration background,female,No School Attended,0.04282,114,1296,0.03180,0.05385
1985,Indirect migration background,male,Secondary School Degree,0.05986,31,31,-0.02503,0.14476
1985,Indirect migration background,female,Secondary School Degree,0.08438,43,43,0.00032,0.16844
1986,No migration background,male,Secondary School Degree,0.49566,2072,3593,0.47931,0.51201
1986,No migration background,male,Intermediate School Degree,0.15840,696,3593,0.14646,0.17034
1986,No migration background,male,Technical School Degree,0.04014,176,3593,0.03372,0.04656
1986,No migration background,male,Upper Secondary Degree,0.11450,522,3593,0.10409,0.12491
1986,No migration background,male,"Dropout, No School Degree",0.00852,35,3593,0.00552,0.01153
1986,No migration background,male,No School Degree Yet,0.01743,92,3593,0.01315,0.02171
1986,No migration background,female,Secondary School Degree,0.54336,2431,3909,0.52774,0.55897
1986,No migration background,female,Intermediate School Degree,0.20561,961,3909,0.19293,0.21828
1986,No migration background,female,Technical School Degree,0.02001,96,3909,0.01562,0.02440
1986,No migration background,female,Upper Secondary Degree,0.06564,330,3909,0.05787,0.07340
1986,No migration background,female,"Dropout, No School Degree",0.00791,36,3909,0.00513,0.01069
1986,No migration background,female,No School Degree Yet,0.00899,55,3909,0.00603,0.01195
1986,Direct migration background,male,Secondary School Degree,0.31212,330,1437,0.28816,0.33609
1986,Direct migration background,male,Intermediate School Degree,0.09611,69,1437,0.08087,0.11136
1986,Direct migration background,male,Upper Secondary Degree,0.07041,43,1437,0.05718,0.08365
1986,Direct migration background,male,Other Degree,0.26373,672,1437,0.24093,0.28652
1986,Direct migration background,male,"Dropout, No School Degree",0.10055,268,1437,0.08499,0.11610
1986,Direct migration background,male,No School Attended,0.01984,55,1437,0.01262,0.02705
1986,Direct migration background,female,Secondary School Degree,0.36388,255,1246,0.33716,0.39061
1986,Direct migration background,female,Intermediate School Degree,0.11320,82,1246,0.09560,0.13080
1986,Direct migration background,female,Upper Secondary Degree,0.07248,43,1246,0.05808,0.08688
1986,Direct migration background,female,Other Degree,0.17571,441,1246,0.15457,0.19685
1986,Direct migration background,female,"Dropout, No School Degree",0.11812,320,1246,0.10019,0.13605
1986,Direct migration background,female,No School Attended,0.04114,105,1246,0.03011,0.05217
1986,Indirect migration background,male,Secondary School Degree,0.05651,35,35,-0.02110,0.13413
1986,Indirect migration background,female,Secondary School Degree,0.08498,46,46,0.00350,0.16645
1987,No migration background,male,Secondary School Degree,0.49254,2034,3527,0.47603,0.50904
1987,No migration background,male,Intermediate School Degree,0.15780,697,3527,0.14577,0.16983
1987,No migration background,male,Technical School Degree,0.03996,168,3527,0.03349,0.04642
1987,No migration background,male,Upper Secondary Degree,0.11595,516,3527,0.10538,0.12652
1987,No migration background,male,"Dropout, No School Degree",0.00786,33,3527,0.00495,0.01078
1987,No migration background,male,No School Degree Yet,0.01301,79,3527,0.00927,0.01675
1987,No migration background,female,Secondary School Degree,0.54264,2366,3792,0.52678,0.55850
1987,No migration background,female,Intermediate School Degree,0.20451,943,3792,0.19167,0.21734
1987,No migration background,female,Technical School Degree,0.01881,89,3792,0.01448,0.02313
1987,No migration background,female,Upper Secondary Degree,0.06837,322,3792,0.06034,0.07641
1987,No migration background,female,No School Degree Yet,0.01137,72,3792,0.00800,0.01475
1987,Direct migration background,male,Secondary School Degree,0.31479,346,1419,0.29062,0.33897
1987,Direct migration background,male,Intermediate School Degree,0.09432,71,1419,0.07910,0.10953
1987,Direct migration background,male,Upper Secondary Degree,0.07200,42,1419,0.05854,0.08545
1987,Direct migration background,male,Other Degree,0.26925,648,1419,0.24616,0.29234
1987,Direct migration background,male,"Dropout, No School Degree",0.09997,258,1419,0.08436,0.11558
